om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
N/A,🧐 疑業外收益,2025,102.7,-6.4,0.0,-4.95,29.8999996185,8455.TWO,大拓-KY,-7.04,104.35,0.02,2025-12,0.02,109.10000000000001,N/A,⚪ 數據不足
N/A,🔄 轉虧為盈,2025,134.62,26.06,0.0,-5.399999999999999,28.8500003815,9955.TW,佳龍,17.8,50.67,-0.37,2025-12,0.54,108.56,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,110.31,2.46,15.281501340482572,279.75000000000006,285.0,4967.TW,十銓,-15.55,-46.86,3.47,2025-12,13.06,107.85000000000001,N/A,✅ 穩健價值
N/A,🧐 疑業外收益,2025,53.77,-52.73,0.0,-38.4,17.25,8477.TWO,創業家,-51.54,80.0,-0.62,2025-12,-0.92,106.5,N/A,⚪ 數據不足
17.13%,🚀 利潤擴張,2025,108.09,1.8,3.4976152623211445,94.35,22.0,2501.TW,國建,7.39,127.38,1.91,2025-12,2.83,106.29,26.51%,💎 強力關注
N/A,🔄 轉虧為盈,2025,168.25,63.6,0.0,-14.549999999999999,48.5999984741,6465.TWO,威潤,5.09,29.25,-0.75,2025-12,0.86,104.65,N/A,⚪ 數據不足
16.62%,🚀 利潤擴張,2025,143.64,39.88,25.228832951945083,131.09999999999997,220.5,3135.TW,凌航,34.74,-29.03,1.5,2025-12,6.33,103.75999999999999,19.12%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,164.15,61.2,13.026316363120303,79.8,69.3000030518,6150.TWO,撼訊,77.79,156.36,1.55,2025-12,2.63,102.95,N/A,✅ 穩健價值
2.26%,🚀 利潤擴張,2025,107.41,5.42,64.53124880789063,19.2,82.5999984741,2465.TW,麗臺,32.51,102.43,0.09,2025-12,0.43,101.99,10.44%,⚠️ 追價風險
-1.48%,🚀 利潤擴張,2025,100.0,1.84,28.385826170944885,19.05,36.0499992371,2926.TWO,誠品生活,2.58,241.67,0.34,2025-12,0.54,98.16,40.82%,⚠️ 追價風險
7.07%,🚀 利潤擴張,2025,118.87,21.45,4.977168775593607,65.7,21.7999992371,1541.TW,錩泰,28.08,41.94,1.32,2025-12,2.32,97.42,19.55%,💎 強力關注
0.24%,🚀 利潤擴張,2025,110.31,13.61,3.020618625515464,29.099999999999998,5.8600001335,2380.TW,虹光,9.38,133.57,0.47,2025-12,0.72,96.7,24.41%,💎 強力關注
N/A,🚀 利潤擴張,2025,146.97,50.49,0.0,-7.0500000000000025,783.0,4971.TWO,IET-KY,54.63,103.17,0.09,2025-12,1.65,96.47999999999999,N/A,⚪ 數據不足
N/A,🚀 利潤擴張,2025,104.43,8.41,0.0,-7.35,10.9499998093,5516.TWO,雙喜,7.31,116.43,0.34,2025-12,0.16,96.02000000000001,N/A,⚪ 數據不足
-9.15%,🚀 利潤擴張,2025,134.04,38.72,1270.4225352112674,10.65,902.0,3363.TWO,上詮,49.52,317.65,0.37,2025-12,0.16,95.32,12.43%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,191.99,96.69,38.33957912943212,520.3499999999999,1330.0,6739.TWO,竹陞科技,94.38,167.2,10.13,2025-12,16.13,95.30000000000001,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,118.18,23.69,188.70967741935485,4.65,58.5,6125.TWO,廣運,15.42,123.21,0.13,2025-12,0.1,94.49000000000001,N/A,⚠️ 追價風險
