name,om,advice,prev_year,rev_yoy,symbol,est_price,date,expansion,prev_rev_yoy,prev_eps_yoy,eps_yoy,price,gm,prev_eps,status,eps,pe
淳紳,-1090.16%,⚪ 數據不足,2025,40.9,4529.TWO,-28.05,2026-03,-40.9,-22.14,42.64,0.0,3.4200000763,59.04%,-0.74,🏰 高護城河,-0.17,0.0
川湖,69.19%,❌ 暫避觀望,2025,81.21,2059.TW,3584.3999999999996,2026-03,-42.38999999999999,72.77,59.82,38.82,14370.0,76.10%,103.23,🏰 高護城河,36.58,60.135587546032816
華景電,N/A,⚪ 中性觀察,2025,77.29,6788.TWO,626.85,2026-03,-44.06000000000001,19.97,31.09,33.23,352.5,N/A,17.36,⚠️ 獲利稀釋,4.49,8.435032304379039
寒舍,12.46%,⚪ 中性觀察,2025,153.86,2739.TW,85.95,2026-03,-44.18000000000001,2.72,-56.22,109.68,35.7000007629,44.04%,2.36,⚠️ 獲利稀釋,1.3,6.2303666252879575
理銘,N/A,⚪ 中性觀察,2025,-37.96,6212.TWO,157.95000000000002,2026-03,-44.419999999999995,-55.31,-34.98,-82.38,29.4500007629,N/A,3.96,🌑 雙重衰退,0.4,2.7967712025546057
倍利科,N/A,⚪ 數據不足,2025,124.98,7822.TW,0.0,2026-03,-46.32000000000001,187.82,279.4,78.66,897.0,N/A,14.04,⚠️ 獲利稀釋,4.93,0.0
公勝保經,N/A,⚪ 數據不足,2025,11.65,6028.TWO,0.0,2026-03,-46.75,5.26,-34.17,-35.1,99.3000030518,N/A,7.86,📉 獲利侵蝕,2.48,0.0
系微,N/A,⚪ 中性觀察,2025,47.19,6231.TWO,235.35,2026-03,-47.19,4.64,-9.63,0.0,221.0,N/A,6.66,📉 獲利侵蝕,1.7,14.08540471637986
中租-KY,N/A,⚪ 中性觀察,2025,47.02,5871.TW,431.25,2026-03,-47.68,-4.62,-13.92,-0.66,109.5,N/A,11.24,📉 獲利侵蝕,3.26,3.8086956521739133
固緯,18.42%,⚪ 中性觀察,2025,142.03,2423.TW,111.3,2026-03,-48.0,5.54,20.66,94.03,74.9000015259,51.76%,2.92,🏰 高護城河,1.3,10.09433982828841
微程式,N/A,❌ 暫避觀望,2025,88.8,7721.TW,22.050000000000004,2026-03,-48.8,-36.07,-82.84,40.0,62.0,N/A,0.55,⚠️ 獲利稀釋,0.21,42.176870748299315
商丞,N/A,⚪ 數據不足,2025,67.15,8277.TWO,-14.85,2026-03,-48.970000000000006,-16.98,48.61,18.18,7.9899997711,N/A,-0.37,⚠️ 獲利稀釋,-0.09,0.0
聯合再生,-63.16%,⚪ 數據不足,2025,1122.35,3576.TW,-10.5,2026-03,-49.61999999999989,-47.33,41.22,1072.73,17.0499992371,-18.77%,-0.77,🔄 轉虧為盈,1.07,0.0
耀穎,N/A,⚪ 數據不足,2025,-19.71,7772.TWO,0.0,2026-03,-52.29,12.72,43.08,-72.0,89.8000030518,N/A,1.86,🌑 雙重衰退,0.35,0.0
達爾膚,N/A,⚪ 中性觀察,2025,9.64,6523.TWO,283.05,2026-03,-54.99,-5.92,-26.4,-45.35,89.9000015259,N/A,7.78,📉 獲利侵蝕,1.88,4.764176021510333
