rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
315.9,22.56,台聯電,4905.TWO,71.25,2025,-5.15,66.5999984741,2.76,2026-03,70.21000000000004,1.75,14.021052310336843,386.11,🚀 利潤擴張,0.20%,25.49%,✅ 穩健價值
51.84,76.4,創新服務,7828.TWO,0.0,2025,44.08,1780.0,6.33,2026-03,69.89999999999999,1.02,0.0,121.74,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
58.58,4.6,國票金,2889.TW,22.95,2025,3.28,15.6999998093,0.63,2026-03,68.69,0.25,10.26143778385621,127.27,🏰 高護城河,38.94%,90.85%,💎 強力關注
40.15,-4.63,麗豐-KY,4137.TW,257.1,2025,24.43,94.5999984741,7.13,2026-03,67.19999999999999,1.41,5.519253119842474,107.35,🏰 高護城河,20.98%,82.18%,💎 強力關注
110.52,-28.72,研勤,3632.TWO,-15.3,2025,-31.03,8.25,-0.38,2026-03,64.48,0.06,0.0,175.0,🔄 轉虧為盈,3.73%,54.59%,⚪ 數據不足
42.91,2.38,和迅,6986.TWO,0.0,2025,-24.06,44.5999984741,2.43,2026-03,63.99000000000001,0.6,0.0,106.9,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
111.03,-7.78,穎漢,4562.TW,-38.1,2025,-184.44,31.0,-1.28,2026-03,63.97,0.11,0.0,175.0,🔄 轉虧為盈,-45.46%,31.44%,⚪ 數據不足
-1.0,-29.69,泰偉,3064.TWO,-122.4,2025,-7120.0,18.0,-3.51,2026-03,63.5,-0.27,0.0,62.5,🏰 高護城河,-55.72%,93.22%,⚪ 數據不足
171.79,12.14,群益證,6005.TW,101.7,2025,17.33,32.7999992371,2.64,2026-03,63.21000000000001,1.34,4.837757999572272,235.0,🚀 利潤擴張,N/A,N/A,💎 強力關注
438.18,19.69,車王電,1533.TW,10.049999999999997,2025,152.25,33.6500015259,0.58,2026-03,61.81999999999999,0.84,50.22388287447763,500.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
538.23,-4.85,正隆,1904.TW,22.5,2025,34.55,21.3500003815,0.74,2026-03,61.76999999999998,0.56,14.233333587666666,600.0,🚀 利潤擴張,7.12%,20.98%,✅ 穩健價值
