eps,expansion,prev_eps,eps_yoy,advice,symbol,om,name,pe,date,status,rev_yoy,gm,prev_year,prev_rev_yoy,est_price,prev_eps_yoy,price
1.62,26.23,3.24,42.86,⚪ 數據不足,7768.TWO,N/A,未知,0.0,2026-03,🚀 利潤擴張,16.63,N/A,2025,3.08,0.0,-27.83,0.0
4.33,25.689999999999998,13.61,38.11,⚪ 數據不足,1623.TW,16.93%,大東電,0.0,2026-03,🚀 利潤擴張,12.42,21.29%,2025,20.5,0.0,11.37,0.0
1.08,20.689999999999998,2.74,83.05,💎 強力關注,2885.TW,33.03%,元大金,9.829545021051135,2026-03,🏰 高護城河,62.36,80.00%,2025,6.4,105.6,-1.08,69.1999969482
0.32,19.960000000000004,0.85,45.45,✅ 穩健價值,5604.TWO,N/A,中連,13.991031732242153,2026-03,🚀 利潤擴張,25.49,N/A,2025,0.36,33.45,-66.0,31.2000007629
0.89,19.539999999999964,0.76,470.83,💎 強力關注,6015.TWO,N/A,宏遠證,10.731707549695122,2026-03,🚀 利潤擴張,451.29,N/A,2025,0.56,24.599999999999998,-11.63,17.6000003815
-0.19,18.900000000000002,-0.61,45.71,⚪ 數據不足,5202.TWO,N/A,力新,0.0,2026-03,🚀 利潤擴張,26.81,N/A,2025,-8.35,-30.900000000000002,-134.86,14.6000003815
0.55,18.060000000000002,1.9,41.03,💎 強力關注,2880.TW,45.93%,華南金,9.692796610169491,2026-03,🏰 高護城河,22.97,97.25%,2025,4.06,70.8,13.1,45.75
0.31,17.97999999999999,0.81,234.78,⚠️ 追價風險,3581.TWO,8.13%,博磊,160.0,2026-03,🚀 利潤擴張,216.8,31.93%,2025,13.9,9.75,35.0,104.0
0.2,17.229999999999997,0.68,33.33,💎 強力關注,2836.TW,32.37%,高雄銀,7.232142630059523,2026-03,🏰 高護城河,16.1,89.95%,2025,14.52,25.200000000000003,28.3,12.1499996185
1.67,15.160000000000025,0.15,331.43,⚠️ 追價風險,4991.TWO,N/A,環宇-KY,579.375,2026-03,🚀 利潤擴張,316.27,N/A,2025,25.43,11.999999999999998,107.11,463.5
0.42,12.35,2.91,10.53,⚪ 數據不足,7819.TWO,N/A,精誠金融,0.0,2026-03,🧐 疑業外收益,-1.82,N/A,2025,10.14,0.0,14.12,34.3499984741
0.69,12.0,1.74,34.04,💎 強力關注,2883.TW,39.14%,凱基金,10.223097313097114,2026-03,🏰 高護城河,22.04,78.38%,2025,-12.26,57.14999999999999,-10.99,38.9500007629
-0.53,10.350000000000001,-2.92,52.29,⚪ 數據不足,6657.TW,N/A,華安,0.0,2026-03,🚀 利潤擴張,41.94,N/A,2025,-0.97,-109.2,-14.12,32.7999992371
7.98,9.14,25.6,29.13,⚠️ 追價風險,3529.TWO,60.64%,力旺,51.123773345995566,2026-03,🏰 高護城河,19.99,100.00%,2025,6.74,947.7,4.19,3230.0
0.23,8.629999999999995,-0.43,283.33,⚪ 數據不足,1236.TW,-4.59%,宏亞,0.0,2026-03,🔄 轉虧為盈,274.7,24.77%,2025,-8.31,-14.25,-53.57,25.3999996185
0.25,7.890000000000015,-3.35,153.49,⚪ 數據不足,1598.TW,-13.99%,岱宇,0.0,2026-03,🔄 轉虧為盈,145.6,27.77%,2025,-15.19,-89.10000000000001,-827.91,20.3500003815
0.39,7.82,4.66,56.0,✅ 穩健價值,8272.TWO,N/A,全景軟體,7.001102535832414,2026-03,🚀 利潤擴張,48.18,N/A,2025,15.86,136.05,24.93,63.5
0.11,7.48,0.38,37.5,⚠️ 追價風險,2901.TW,20.24%,欣欣,25.94444486833333,2026-03,🏰 高護城河,30.02,84.77%,2025,-2.15,13.5,-7.32,23.3500003815
-0.19,5.7299999999999995,-0.92,-5.56,⚪ 數據不足,4178.TWO,N/A,未知,0.0,2026-03,🌑 雙重衰退,-11.29,N/A,2025,-3.6,0.0,14.95,0.0
-0.19,5.7299999999999995,-0.92,-5.56,⚪ 數據不足,4178.TW,N/A,永笙-KY,0.0,2026-03,🌑 雙重衰退,-11.29,N/A,2025,-3.6,0.0,14.95,16.5
1.5,5.1200000000000045,0.99,114.29,✅ 穩健價值,6195.TWO,N/A,詩肯,6.627358580542452,2026-03,🚀 利潤擴張,109.17,N/A,2025,-3.57,63.6,-38.13,28.1000003815
0.63,4.100000000000001,2.36,16.67,✅ 穩健價值,2886.TW,33.61%,兆豐金,8.091353747814031,2026-03,🏰 高護城河,12.57,83.45%,2025,-1.77,91.94999999999999,0.85,49.5999984741
0.07,3.8000000000000025,0.25,16.67,⚠️ 追價風險,3094.TW,-7.29%,聯傑,110.81632497367347,2026-03,🏰 高護城河,12.87,73.82%,2025,13.2,7.35,41.18,54.2999992371
0.24,3.490000000000009,-0.43,300.0,⚪ 數據不足,4939.TWO,N/A,亞電,0.0,2026-03,🔄 轉虧為盈,296.51,N/A,2025,-8.05,-22.2,-326.32,73.6999969482
0.73,3.3499999999999996,2.56,5.8,⚪ 數據不足,7839.TWO,N/A,達人網,0.0,2026-03,🚀 利潤擴張,2.45,N/A,2025,8.14,0.0,18.52,43.1500015259
-0.25,3.0700000000000003,0.58,35.9,⚠️ 追價風險,7777.TWO,N/A,能率亞洲,43.88888794703704,2026-03,🚀 利潤擴張,32.83,N/A,2025,15.88,12.149999999999999,-16.92,35.5499992371
0.89,2.25,2.35,71.15,✅ 穩健價值,2941.TWO,2.03%,米斯特,4.828101530209268,2026-03,🏰 高護城河,68.9,64.17%,2025,12.71,100.35000000000001,-27.47,32.2999992371
