股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
1776.TW      展宇             16.4          5         40.0           8.28        2            0 📈 持有                
1784.TWO     訊聯             86.6          5        42.86          -1.27        3         -147 📉 觀望/賣出             
1785.TWO     光洋科            82.4          4        66.67           29.0        4        40395 📈 持有                
1789.TW      神隆            21.65          3         62.5           1.96        3          -13 📈 持有                
1795.TW      美時            232.5          5        64.71          10.49        3        -4754 📉 觀望/賣出             
1799.TWO     易威            36.05         10         40.0          15.47        2           32 📈 持有                
1802.TW      台玻             61.7          9         50.0           2.96        2        -1382 📉 觀望/賣出             
1805.TW      寶徠             10.3         16          0.0            0.0        0          -14 📉 觀望/賣出             
1808.TW      潤隆             31.1         15        33.33           0.48        0         1985 📈 持有                
1809.TW      中釉             25.2          8        61.54          31.25        2          729 📈 持有                
1815.TWO     富喬            110.0          3         40.0           5.24        2         1416 📉 觀望/賣出             
1904.TW      正隆            17.55          7        66.67           3.67        2        -3046 📉 觀望/賣出             
2002.TW      中鋼            19.15         13         60.0           4.34        1       -23670 📉 觀望/賣出             
2006.TW      東和鋼鐵           76.3          4         75.0          16.48        2         2416 📉 觀望/賣出             
2009.TW      第一銅           42.05         18        66.67            0.0        1          661 📉 觀望/賣出             
2010.TW      春源            24.05          3        68.75           8.67        3          931 📈 持有                
2012.TW      春雨             15.0          3        22.22          -2.87        5          -98 📉 觀望/賣出             
2013.TW      中鋼構            44.0          3        54.55           1.62        4          101 📈 持有                
2014.TW      中鴻            17.35          5         50.0          11.54        4         5185 📉 觀望/賣出             
2017.TW      官田鋼            9.48          9        43.75           6.62        3         -364 📉 觀望/賣出             
2022.TW      聚亨             8.79          3        27.27          -1.43        5          397 📉 觀望/賣出             
2023.TW      燁輝            14.45         19         40.0          -1.01        2        -2120 📉 觀望/賣出             
2027.TW      大成鋼            36.4          3        41.67          -2.32        5       -11508 📉 觀望/賣出             
2031.TW      新光鋼            39.1         11        33.33           -4.0        3         -271 📈 持有                
2034.TW      允強            20.05         18         50.0          -0.23        1          454 📉 觀望/賣出             
2035.TWO     唐榮             28.2          4         30.0           0.86        4           -1 📉 觀望/賣出             
2049.TW      上銀            233.0          6         50.0          12.84        2         3268 📉 觀望/賣出             
2059.TW      川湖           3320.0          5        53.33           6.84        3          148 📈 持有                
2061.TWO     風青             17.7          3        16.67          -4.89        3           -9 📈 持有                
2066.TWO     世德             50.0          3        55.56          10.78        3           12 📉 觀望/賣出             
2067.TWO     嘉鋼             8.42          3        33.33          -4.71        6           10 📉 觀望/賣出             
2069.TW      運錩            18.95          4        58.82           6.92        3          205 📉 觀望/賣出             
2072.TWO     世紀風電          260.0         16        58.82          11.71        1            0 📉 觀望/賣出             
2103.TW      台橡             20.7         18         61.9          31.82        1        -2157 📈 持有                
2104.TW      國際中橡          12.25          3         60.0           7.51        3          125 📉 觀望/賣出             
2105.TW      正新            30.05          5        61.54           1.39        3       -15128 📈 持有                
2108.TW      南帝             25.4          6        38.46           7.62        3          138 📉 觀望/賣出             
2115.TW      六暉-KY          21.4          3        33.33           5.92        3            3 📉 觀望/賣出             
2201.TW      裕隆             27.7         18          0.0            0.0        0         -920 📉 觀望/賣出             
2204.TW      中華             56.5          3        58.33            3.4        2         -914 📉 觀望/賣出             
2206.TW      三陽工業           58.4          8        66.67           1.68        1        -1240 📉 觀望/賣出             
2208.TW      台船             22.1          4        73.33           14.4        2        -1030 📈 持有                
2211.TW      長榮鋼           103.0          3        33.33          -2.44        4          813 📈 持有                
2230.TWO     泰茂             37.0          5         75.0           7.95        1           -5 📈 持有                
2231.TW      為升             80.8          4         50.0           3.78        4         -316 📉 觀望/賣出             
2233.TW      宇隆            233.0          4         50.0           4.56        3          199 📈 持有                
2235.TWO     謚源            33.65         18        66.67            1.0        1           -1 📉 觀望/賣出             
2236.TW      百達-KY         111.5          3         50.0          -0.91        5          179 📉 觀望/賣出             
2237.TWO     華德動能           30.8          9         50.0          -2.56        4            0 📈 持有                
2239.TW      英利-KY         23.05         13          0.0            0.0        0            0 📉 觀望/賣出             
2241.TW      艾姆勒           29.35         19          0.0          -1.68        1           -1 📉 觀望/賣出             
2243.TW      宏旭-KY         17.15         14        30.77           -1.3        2          -26 📉 觀望/賣出             
2252.TWO     為昇科            13.5         16          0.0          -5.56        1            0 📉 觀望/賣出             
2254.TW      巨鎧精密-創         69.0         20        71.43          15.38        0          -12 📈 持有                
2258.TW      鴻華先進-創         31.9          6         30.0           0.27        3         -460 📉 觀望/賣出             
2301.TW      光寶科           165.0         17        54.55          -6.59        3        -8732 📉 觀望/賣出             
2302.TW      麗正            18.75          4        53.85          11.31        3          148 📈 持有                
2303.TW      聯電             60.5          7         50.0          22.69        2       -20220 📉 觀望/賣出             
2305.TW      全友            14.85          4         50.0          11.65        1        -1422 📈 持有                
2308.TW      台達電          1360.0          5        53.33           9.84        2         -293 📉 觀望/賣出             
2312.TW      金寶            22.85         19          0.0            0.0        0        -7529 📉 觀望/賣出             
2313.TW      華通            221.0         14        58.33          26.64        1       -10937 📉 觀望/賣出             
2314.TW      台揚             18.4         18          0.0            0.0        0           23 📉 觀望/賣出             
2316.TW      楠梓電           100.5          3        45.45          -4.14        6        -1103 📉 觀望/賣出             
2317.TW      鴻海            216.5          3         60.0           6.79        3       -25262 📉 觀望/賣出             
2321.TW      東訊             14.9         20         20.0          -15.6        3            0 📉 觀望/賣出             
