status,advice,gm,eps_yoy,rev_yoy,om,prev_rev_yoy,name,eps,pe,date,symbol,price,expansion,prev_year,prev_eps,est_price,prev_eps_yoy
🚀 利潤擴張,⚪ 數據不足,N/A,42.62,10.24,N/A,19.28,神數,0.87,0.0,2026-03,7821.TW,40.5999984741,32.379999999999995,2025,2.99,0.0,91.67
🚀 利潤擴張,⚪ 數據不足,35.24%,34.92,6.33,30.89%,15.19,未知,11.94,0.0,2025-12,2072.TWO,0.0,28.590000000000003,2025,7.56,0.0,-17.2
🧐 疑業外收益,⚪ 數據不足,N/A,23.4,-3.86,N/A,-5.58,向榮生技,-0.36,0.0,2026-03,6794.TW,77.6999969482,27.259999999999998,2025,-1.89,-70.05,-13.21
🔄 轉虧為盈,⚪ 數據不足,23.39%,450.0,422.96,1.90%,2.23,南緯,0.11,0.0,2026-03,1467.TW,10.3000001907,27.04000000000002,2025,-0.45,-28.950000000000003,-197.83
🚀 利潤擴張,⚪ 數據不足,N/A,42.86,16.63,N/A,3.08,頌勝科技,1.62,0.0,2026-03,7768.TW,295.0,26.23,2025,3.24,0.0,-27.83
🚀 利潤擴張,⚪ 數據不足,N/A,42.86,16.63,N/A,3.08,未知,1.62,0.0,2026-03,7768.TWO,0.0,26.23,2025,3.24,0.0,-27.83
🚀 利潤擴張,⚪ 數據不足,21.29%,38.11,12.42,16.93%,20.5,大東電,4.33,0.0,2026-03,1623.TW,0.0,25.689999999999998,2025,13.61,0.0,11.37
🏰 高護城河,💎 強力關注,80.00%,83.05,62.36,33.03%,6.4,元大金,1.08,8.991477164360797,2026-03,2885.TW,63.2999992371,20.689999999999998,2025,2.74,105.6,-1.08
🚀 利潤擴張,✅ 穩健價值,N/A,45.45,25.49,N/A,0.36,中連,0.32,13.587443604080718,2026-03,5604.TWO,30.2999992371,19.960000000000004,2025,0.85,33.45,-66.0
🚀 利潤擴張,💎 強力關注,N/A,470.83,451.29,N/A,0.56,宏遠證,0.89,9.969512427743902,2026-03,6015.TWO,16.3500003815,19.539999999999964,2025,0.76,24.599999999999998,-11.63
🚀 利潤擴張,⚪ 數據不足,N/A,45.71,26.81,N/A,-8.35,力新,-0.19,0.0,2026-03,5202.TWO,12.8999996185,18.900000000000002,2025,-0.61,-30.900000000000002,-134.86
🏰 高護城河,💎 強力關注,97.25%,41.03,22.97,45.93%,4.06,華南金,0.55,8.739406779661017,2026-03,2880.TW,41.25,18.060000000000002,2025,1.9,70.8,13.1
🚀 利潤擴張,⚠️ 追價風險,31.93%,234.78,216.8,8.13%,13.9,博磊,0.31,181.53846153846152,2026-03,3581.TWO,118.0,17.97999999999999,2025,0.81,9.75,35.0
🏰 高護城河,💎 強力關注,89.95%,33.33,16.1,32.37%,14.52,高雄銀,0.2,7.648809750892856,2026-03,2836.TW,12.8500003815,17.229999999999997,2025,0.68,25.200000000000003,28.3
🚀 利潤擴張,⚠️ 追價風險,N/A,331.43,316.27,N/A,25.43,環宇-KY,1.67,545.0,2026-03,4991.TWO,436.0,15.160000000000025,2025,0.15,11.999999999999998,107.11
🧐 疑業外收益,⚪ 數據不足,N/A,10.53,-1.82,N/A,10.14,精誠金融,0.42,0.0,2026-03,7819.TWO,35.9000015259,12.35,2025,2.91,0.0,14.12
🏰 高護城河,💎 強力關注,78.38%,34.04,22.04,39.14%,-12.26,凱基金,0.69,8.097112961023623,2026-03,2883.TW,30.8500003815,12.0,2025,1.74,57.14999999999999,-10.99
🚀 利潤擴張,⚪ 數據不足,N/A,52.29,41.94,N/A,-0.97,華安,-0.53,0.0,2026-03,6657.TW,35.8499984741,10.350000000000001,2025,-2.92,-109.2,-14.12
🏰 高護城河,⚠️ 追價風險,100.00%,29.13,19.99,60.64%,6.74,力旺,7.98,39.648622981956315,2026-03,3529.TWO,2505.0,9.14,2025,25.6,947.7,4.19
🔄 轉虧為盈,⚪ 數據不足,24.77%,283.33,274.7,-4.59%,-8.31,宏亞,0.23,0.0,2026-03,1236.TW,23.5499992371,8.629999999999995,2025,-0.43,-14.25,-53.57
🔄 轉虧為盈,⚪ 數據不足,27.77%,153.49,145.6,-13.99%,-15.19,岱宇,0.25,0.0,2026-03,1598.TW,19.7000007629,7.890000000000015,2025,-3.35,-89.10000000000001,-827.91
🚀 利潤擴張,✅ 穩健價值,N/A,56.0,48.18,N/A,15.86,全景軟體,0.39,7.298786874112458,2026-03,8272.TWO,66.1999969482,7.82,2025,4.66,136.05,24.93
🏰 高護城河,⚠️ 追價風險,84.77%,37.5,30.02,20.24%,-2.15,欣欣,0.11,27.055555979444442,2026-03,2901.TW,24.3500003815,7.48,2025,0.38,13.5,-7.32
🌑 雙重衰退,⚪ 數據不足,N/A,-5.56,-11.29,N/A,-3.6,未知,-0.19,0.0,2026-03,4178.TWO,0.0,5.7299999999999995,2025,-0.92,0.0,14.95
🌑 雙重衰退,⚪ 數據不足,N/A,-5.56,-11.29,N/A,-3.6,永笙-KY,-0.19,0.0,2026-03,4178.TW,19.1000003815,5.7299999999999995,2025,-0.92,0.0,14.95
🚀 利潤擴張,✅ 穩健價值,N/A,114.29,109.17,N/A,-3.57,詩肯,1.5,6.415094519551887,2026-03,6195.TWO,27.2000007629,5.1200000000000045,2025,0.99,63.6,-38.13
🏰 高護城河,✅ 穩健價值,83.45%,16.67,12.57,33.61%,-1.77,兆豐金,0.63,7.854812646965744,2026-03,2886.TW,48.1500015259,4.100000000000001,2025,2.36,91.94999999999999,0.85
🏰 高護城河,⚠️ 追價風險,73.82%,16.67,12.87,-7.29%,13.2,聯傑,0.07,75.20407851857142,2026-03,3094.TW,36.8499984741,3.8000000000000025,2025,0.25,7.35,41.18
🔄 轉虧為盈,⚪ 數據不足,N/A,300.0,296.51,N/A,-8.05,亞電,0.24,0.0,2026-03,4939.TWO,69.5999984741,3.490000000000009,2025,-0.43,-22.2,-326.32
🚀 利潤擴張,⚪ 數據不足,N/A,5.8,2.45,N/A,8.14,達人網,0.73,0.0,2026-03,7839.TWO,45.9500007629,3.3499999999999996,2025,2.56,0.0,18.52
🚀 利潤擴張,⚠️ 追價風險,N/A,35.9,32.83,N/A,15.88,能率亞洲,-0.25,49.38271604938272,2026-03,7777.TWO,40.0,3.0700000000000003,2025,0.58,12.149999999999999,-16.92
🏰 高護城河,✅ 穩健價值,64.17%,71.15,68.9,2.03%,12.71,米斯特,0.89,4.603886283572496,2026-03,2941.TWO,30.7999992371,2.25,2025,2.35,100.35000000000001,-27.47
