prev_eps_yoy,gm,om,prev_rev_yoy,expansion,name,prev_year,est_price,eps,prev_eps,eps_yoy,advice,date,status,pe,price,symbol,rev_yoy
24.93,N/A,N/A,15.86,7.82,全景軟體,2025,136.05,0.39,4.66,56.0,✅ 穩健價值,2026-03,🚀 利潤擴張,7.122381309162073,64.5999984741,8272.TWO,48.18
-7.32,84.77%,20.24%,-2.15,7.48,欣欣,2025,13.5,0.11,0.38,37.5,⚠️ 追價風險,2026-03,🏰 高護城河,26.99999915233333,24.2999992371,2901.TW,30.02
14.95,N/A,N/A,-3.6,5.7299999999999995,未知,2025,0.0,-0.19,-0.92,-5.56,⚪ 數據不足,2026-03,🌑 雙重衰退,0.0,0.0,4178.TWO,-11.29
14.95,N/A,N/A,-3.6,5.7299999999999995,永笙-KY,2025,0.0,-0.19,-0.92,-5.56,⚪ 數據不足,2026-03,🌑 雙重衰退,0.0,17.8999996185,4178.TW,-11.29
-38.13,N/A,N/A,-3.57,5.1200000000000045,詩肯,2025,63.6,1.5,0.99,114.29,✅ 穩健價值,2026-03,🚀 利潤擴張,6.367924528301886,27.0,6195.TWO,109.17
0.85,83.45%,33.61%,-1.77,4.100000000000001,兆豐金,2025,91.94999999999999,0.63,2.36,16.67,✅ 穩健價值,2026-03,🏰 高護城河,8.41761802187602,51.5999984741,2886.TW,12.57
41.18,73.82%,-7.29%,13.2,3.8000000000000025,聯傑,2025,7.35,0.07,0.25,16.67,⚠️ 追價風險,2026-03,🏰 高護城河,71.73469699163266,35.1500015259,3094.TW,12.87
-326.32,N/A,N/A,-8.05,3.490000000000009,亞電,2025,-22.2,0.24,-0.43,300.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,55.7999992371,4939.TWO,296.51
18.52,N/A,N/A,8.14,3.3499999999999996,達人網,2025,0.0,0.73,2.56,5.8,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,45.7000007629,7839.TWO,2.45
-16.92,N/A,N/A,15.88,3.0700000000000003,能率亞洲,2025,12.149999999999999,-0.25,0.58,35.9,⚠️ 追價風險,2026-03,🚀 利潤擴張,47.71605126654322,38.6500015259,7777.TWO,32.83
