name,gm,prev_eps_yoy,advice,om,status,expansion,eps_yoy,prev_year,est_price,price,pe,prev_rev_yoy,prev_eps,eps,rev_yoy,date,symbol
琉園,N/A,544.54,💎 強力關注,N/A,🚀 利潤擴張,45.849999999999994,112.5,2025,146.54999999999998,24.0499992371,2.4616171174104404,-17.0,5.29,0.03,66.65,2026-03,9949.TWO
漢達,N/A,31.64,💎 強力關注,N/A,🚀 利潤擴張,39.24,55.17,2025,172.35,124.0,10.791993037423847,108.17,4.85,0.46,15.93,2026-03,6620.TWO
威盛,20.64%,-93.75,⚪ 數據不足,-8.17%,🚀 利潤擴張,35.860000000000014,300.0,2025,-30.6,75.1999969482,0.0,-40.0,0.12,0.08,264.14,2026-03,2388.TW
禾瑞亞,50.66%,-5.7,💎 強力關注,14.95%,🏰 高護城河,34.20000000000002,190.24,2025,81.9,55.7000007629,10.201465341190476,1.24,2.15,1.19,156.04,2026-03,3556.TWO
神數,N/A,91.67,⚪ 數據不足,N/A,🚀 利潤擴張,32.379999999999995,42.62,2025,0.0,38.9000015259,0.0,19.28,2.99,0.87,10.24,2026-03,7821.TW
未知,35.24%,-17.2,⚪ 數據不足,30.89%,🚀 利潤擴張,28.590000000000003,34.92,2025,0.0,0.0,0.0,15.19,7.56,11.94,6.33,2025-12,2072.TWO
向榮生技,N/A,-13.21,⚪ 數據不足,N/A,🧐 疑業外收益,27.259999999999998,23.4,2025,-70.05,77.0,0.0,-5.58,-1.89,-0.36,-3.86,2026-03,6794.TW
南緯,23.39%,-197.83,⚪ 數據不足,1.90%,🔄 轉虧為盈,27.04000000000002,450.0,2025,-28.950000000000003,7.9600000381,0.0,2.23,-0.45,0.11,422.96,2026-03,1467.TW
頌勝科技,N/A,-27.83,⚪ 數據不足,N/A,🚀 利潤擴張,26.23,42.86,2025,0.0,263.0,0.0,3.08,3.24,1.62,16.63,2026-03,7768.TW
未知,N/A,-27.83,⚪ 數據不足,N/A,🚀 利潤擴張,26.23,42.86,2025,0.0,0.0,0.0,3.08,3.24,1.62,16.63,2026-03,7768.TWO
大東電,21.29%,11.37,⚪ 數據不足,16.93%,🚀 利潤擴張,25.689999999999998,38.11,2025,0.0,0.0,0.0,20.5,13.61,4.33,12.42,2026-03,1623.TW
元大金,80.00%,-1.08,💎 強力關注,33.03%,🏰 高護城河,20.689999999999998,83.05,2025,105.6,70.0,9.943181818181818,6.4,2.74,1.08,62.36,2026-03,2885.TW
中連,N/A,-66.0,✅ 穩健價值,N/A,🚀 利潤擴張,19.960000000000004,45.45,2025,33.45,31.0499992371,13.923766474035874,0.36,0.85,0.32,25.49,2026-03,5604.TWO
宏遠證,N/A,-11.63,💎 強力關注,N/A,🚀 利潤擴張,19.539999999999964,470.83,2025,24.599999999999998,16.9500007629,10.335366318841464,0.56,0.76,0.89,451.29,2026-03,6015.TWO
力新,N/A,-134.86,⚪ 數據不足,N/A,🚀 利潤擴張,18.900000000000002,45.71,2025,-30.900000000000002,11.75,0.0,-8.35,-0.61,-0.19,26.81,2026-03,5202.TWO
華南金,97.25%,13.1,💎 強力關注,45.93%,🏰 高護城河,18.060000000000002,41.03,2025,70.8,45.8499984741,9.71398272756356,4.06,1.9,0.55,22.97,2026-03,2880.TW
博磊,31.93%,35.0,⚠️ 追價風險,8.13%,🚀 利潤擴張,17.97999999999999,234.78,2025,9.75,98.0,150.76923076923077,13.9,0.81,0.31,216.8,2026-03,3581.TWO
高雄銀,89.95%,28.3,💎 強力關注,32.37%,🏰 高護城河,17.229999999999997,33.33,2025,25.200000000000003,12.3000001907,7.321428684940476,14.52,0.68,0.2,16.1,2026-03,2836.TW
環宇-KY,N/A,107.11,⚠️ 追價風險,N/A,🚀 利潤擴張,15.160000000000025,331.43,2025,11.999999999999998,448.5,560.625,25.43,0.15,1.67,316.27,2026-03,4991.TWO
精誠金融,N/A,14.12,⚪ 數據不足,N/A,🧐 疑業外收益,12.35,10.53,2025,0.0,34.4500007629,0.0,10.14,2.91,0.42,-1.82,2026-03,7819.TWO
凱基金,78.38%,-10.99,💎 強力關注,39.14%,🏰 高護城河,12.0,34.04,2025,57.14999999999999,37.8499984741,9.93438280160105,-12.26,1.74,0.69,22.04,2026-03,2883.TW
華安,N/A,-14.12,⚪ 數據不足,N/A,🚀 利潤擴張,10.350000000000001,52.29,2025,-109.2,35.5999984741,0.0,-0.97,-2.92,-0.53,41.94,2026-03,6657.TW
力旺,100.00%,4.19,⚠️ 追價風險,60.64%,🏰 高護城河,9.14,29.13,2025,947.7,2580.0,40.83570750237417,6.74,25.6,7.98,19.99,2026-03,3529.TWO
宏亞,24.77%,-53.57,⚪ 數據不足,-4.59%,🔄 轉虧為盈,8.629999999999995,283.33,2025,-14.25,26.1000003815,0.0,-8.31,-0.43,0.23,274.7,2026-03,1236.TW
岱宇,27.77%,-827.91,⚪ 數據不足,-13.99%,🔄 轉虧為盈,7.890000000000015,153.49,2025,-89.10000000000001,20.5,0.0,-15.19,-3.35,0.25,145.6,2026-03,1598.TW
全景軟體,N/A,24.93,✅ 穩健價值,N/A,🚀 利潤擴張,7.82,56.0,2025,136.05,62.0999984741,6.846747351058434,15.86,4.66,0.39,48.18,2026-03,8272.TWO
欣欣,84.77%,-7.32,⚠️ 追價風險,20.24%,🏰 高護城河,7.48,37.5,2025,13.5,23.0,25.555555555555554,-2.15,0.38,0.11,30.02,2026-03,2901.TW
未知,N/A,14.95,⚪ 數據不足,N/A,🌑 雙重衰退,5.7299999999999995,-5.56,2025,0.0,0.0,0.0,-3.6,-0.92,-0.19,-11.29,2026-03,4178.TWO
永笙-KY,N/A,14.95,⚪ 數據不足,N/A,🌑 雙重衰退,5.7299999999999995,-5.56,2025,0.0,16.5,0.0,-3.6,-0.92,-0.19,-11.29,2026-03,4178.TW
詩肯,N/A,-38.13,⚪ 數據不足,N/A,🚀 利潤擴張,5.1200000000000045,114.29,2025,0.0,0.0,0.0,-3.57,0.99,1.5,109.17,2026-03,6195.TWO
兆豐金,83.45%,0.85,✅ 穩健價值,33.61%,🏰 高護城河,4.100000000000001,16.67,2025,91.94999999999999,51.7000007629,8.433931608955955,-1.77,2.36,0.63,12.57,2026-03,2886.TW
聯傑,73.82%,41.18,⚠️ 追價風險,-7.29%,🏰 高護城河,3.8000000000000025,16.67,2025,7.35,40.9000015259,83.46939086918368,13.2,0.25,0.07,12.87,2026-03,3094.TW
亞電,N/A,-326.32,⚪ 數據不足,N/A,🔄 轉虧為盈,3.490000000000009,300.0,2025,-22.2,82.4000015259,0.0,-8.05,-0.43,0.24,296.51,2026-03,4939.TWO
達人網,N/A,18.52,⚪ 數據不足,N/A,🚀 利潤擴張,3.3499999999999996,5.8,2025,0.0,42.1500015259,0.0,8.14,2.56,0.73,2.45,2026-03,7839.TWO
能率亞洲,N/A,-16.92,⚠️ 追價風險,N/A,🚀 利潤擴張,3.0700000000000003,35.9,2025,12.149999999999999,36.7999992371,45.43209782358026,15.88,0.58,-0.25,32.83,2026-03,7777.TWO
米斯特,64.17%,-27.47,✅ 穩健價值,2.03%,🏰 高護城河,2.25,71.15,2025,100.35000000000001,31.0499992371,4.641255491345291,12.71,2.35,0.89,68.9,2026-03,2941.TWO
