prev_eps_yoy,est_price,rev_yoy,advice,prev_year,prev_rev_yoy,symbol,price,gm,eps,pe,name,eps_yoy,prev_eps,status,date,om,expansion
14.95,0.0,-11.29,⚪ 數據不足,2025,-3.6,4178.TWO,0.0,N/A,-0.19,0.0,未知,-5.56,-0.92,🌑 雙重衰退,2026-03,N/A,5.7299999999999995
14.95,0.0,-11.29,⚪ 數據不足,2025,-3.6,4178.TW,16.75,N/A,-0.19,0.0,永笙-KY,-5.56,-0.92,🌑 雙重衰退,2026-03,N/A,5.7299999999999995
-38.13,63.6,109.17,✅ 穩健價值,2025,-3.57,6195.TWO,26.8999996185,N/A,1.5,6.344339532665094,詩肯,114.29,0.99,🚀 利潤擴張,2026-03,N/A,5.1200000000000045
0.85,91.94999999999999,12.57,✅ 穩健價值,2025,-1.77,2886.TW,45.2000007629,83.45%,0.63,7.373572718254486,兆豐金,16.67,2.36,🏰 高護城河,2026-03,33.61%,4.100000000000001
41.18,7.35,12.87,⚠️ 追價風險,2025,13.2,3094.TW,41.1500015259,73.82%,0.07,83.97959495081633,聯傑,16.67,0.25,🏰 高護城河,2026-03,-7.29%,3.8000000000000025
-326.32,-22.2,296.51,⚪ 數據不足,2025,-8.05,4939.TWO,60.0,N/A,0.24,0.0,亞電,300.0,-0.43,🔄 轉虧為盈,2026-03,N/A,3.490000000000009
18.52,0.0,2.45,⚪ 數據不足,2025,8.14,7839.TWO,43.0,N/A,0.73,0.0,達人網,5.8,2.56,🚀 利潤擴張,2026-03,N/A,3.3499999999999996
-16.92,12.149999999999999,32.83,⚠️ 追價風險,2025,15.88,7777.TWO,41.5,N/A,-0.25,51.23456790123457,能率亞洲,35.9,0.58,🚀 利潤擴張,2026-03,N/A,3.0700000000000003
-27.47,100.35000000000001,68.9,✅ 穩健價值,2025,12.71,2941.TWO,36.7999992371,64.17%,0.89,5.500747270119581,米斯特,71.15,2.35,🏰 高護城河,2026-03,2.03%,2.25
-35.48,26.1,36.86,✅ 穩健價值,2025,-2.09,2897.TW,10.6499996185,91.47%,0.28,6.120689435919541,王道銀行,38.89,0.61,🏰 高護城河,2026-03,32.72%,2.030000000000001
67.52,-73.20000000000002,42.24,⚪ 數據不足,2025,1.27,4190.TW,24.1000003815,N/A,-0.26,0.0,佐登-KY,43.18,-1.59,🚀 利潤擴張,2026-03,N/A,0.9399999999999977
