eps,gm,prev_rev_yoy,price,pe,advice,est_price,prev_year,rev_yoy,prev_eps_yoy,eps_yoy,name,status,date,expansion,symbol,prev_eps,om
0.11,84.77%,-2.15,23.8500003815,26.50000042388889,⚠️ 追價風險,13.5,2025,30.02,-7.32,37.5,欣欣,🏰 高護城河,2026-03,7.48,2901.TW,0.38,20.24%
-0.19,N/A,-3.6,0.0,0.0,⚪ 數據不足,0.0,2025,-11.29,14.95,-5.56,未知,🌑 雙重衰退,2026-03,5.7299999999999995,4178.TWO,-0.92,N/A
-0.19,N/A,-3.6,18.0499992371,0.0,⚪ 數據不足,0.0,2025,-11.29,14.95,-5.56,永笙-KY,🌑 雙重衰退,2026-03,5.7299999999999995,4178.TW,-0.92,N/A
1.5,N/A,-3.57,26.9500007629,6.356132255400943,✅ 穩健價值,63.6,2025,109.17,-38.13,114.29,詩肯,🚀 利潤擴張,2026-03,5.1200000000000045,6195.TWO,0.99,N/A
0.63,83.45%,-1.77,51.2000007629,8.352365540440458,✅ 穩健價值,91.94999999999999,2025,12.57,0.85,16.67,兆豐金,🏰 高護城河,2026-03,4.100000000000001,2886.TW,2.36,33.61%
0.07,73.82%,13.2,36.0499992371,73.5714270144898,⚠️ 追價風險,7.35,2025,12.87,41.18,16.67,聯傑,🏰 高護城河,2026-03,3.8000000000000025,3094.TW,0.25,-7.29%
0.24,N/A,-8.05,59.4000015259,0.0,⚪ 數據不足,-22.2,2025,296.51,-326.32,300.0,亞電,🔄 轉虧為盈,2026-03,3.490000000000009,4939.TWO,-0.43,N/A
0.73,N/A,8.14,45.5,0.0,⚪ 數據不足,0.0,2025,2.45,18.52,5.8,達人網,🚀 利潤擴張,2026-03,3.3499999999999996,7839.TWO,2.56,N/A
-0.25,N/A,15.88,42.4000015259,52.345680896172844,⚠️ 追價風險,12.149999999999999,2025,32.83,-16.92,35.9,能率亞洲,🚀 利潤擴張,2026-03,3.0700000000000003,7777.TWO,0.58,N/A
0.89,64.17%,12.71,31.7000007629,4.738415659626308,✅ 穩健價值,100.35000000000001,2025,68.9,-27.47,71.15,米斯特,🏰 高護城河,2026-03,2.25,2941.TWO,2.35,2.03%
