date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,106.9,N/A,-24.06,42.91,0.6,2025,6986.TWO,和迅,46.3499984741,63.99000000000001,N/A,0.0,🚀 利潤擴張,0.0,2.38,⚪ 數據不足,2.43
2026-03,175.0,31.44%,-184.44,111.03,0.11,2025,4562.TW,穎漢,33.5,63.97,-45.46%,0.0,🔄 轉虧為盈,-38.1,-7.78,⚪ 數據不足,-1.28
2026-03,62.5,93.22%,-7120.0,-1.0,-0.27,2025,3064.TWO,泰偉,20.0,63.5,-55.72%,0.0,🏰 高護城河,-122.4,-29.69,⚪ 數據不足,-3.51
2026-03,235.0,N/A,17.33,171.79,1.34,2025,6005.TW,群益證,38.25,63.21000000000001,N/A,5.6415929203539825,🚀 利潤擴張,101.7,12.14,💎 強力關注,2.64
2026-03,500.0,N/A,152.25,438.18,0.84,2025,1533.TW,車王電,36.0,61.81999999999999,N/A,53.731343283582106,🚀 利潤擴張,10.049999999999997,19.69,⚠️ 追價風險,0.58
2026-03,600.0,20.98%,34.55,538.23,0.56,2025,1904.TW,正隆,21.3999996185,61.76999999999998,7.12%,14.266666412333334,🚀 利潤擴張,22.5,-4.85,✅ 穩健價值,0.74
2026-03,206.45,N/A,-26.32,150.03,1.9,2025,6208.TWO,日揚,97.0,56.41999999999999,N/A,12.779973649538867,🚀 利潤擴張,113.85,-4.59,✅ 穩健價值,2.52
2026-03,204.17,N/A,-36.9,148.33,1.46,2025,4747.TWO,強生,48.75,55.839999999999975,N/A,10.114107883817427,🚀 利潤擴張,72.30000000000001,-6.81,💎 強力關注,1.19
2026-03,244.44,N/A,49.15,189.01,0.13,2025,8040.TWO,九暘,112.0,55.43000000000001,N/A,0.0,🔄 轉虧為盈,-18.45,2.65,⚪ 數據不足,-0.6
2026-03,239.47,41.95%,905.92,185.42,2.62,2025,4123.TWO,晟德,38.1500015259,54.05000000000001,-106.23%,2.0938529926399565,🚀 利潤擴張,273.29999999999995,-6.28,💎 強力關注,12.33
2026-03,-2.96,N/A,-48.08,-55.48,-1.43,2025,6934.TW,心誠鎂,65.0,52.519999999999996,N/A,0.0,🌑 雙重衰退,0.0,-29.22,⚪ 數據不足,-3.92
