symbol,prev_year,prev_rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_eps,est_price,rev_yoy,status,advice,name,price,prev_eps_yoy,eps
6596.TWO,2025,97.52,N/A,242.99,2025-12,2.131431008951578,N/A,164.31,17.41,693.9,78.68,🚀 利潤擴張,💎 強力關注,寬宏藝術,98.5999984741,241.37,18.83
6265.TWO,2025,25.19,N/A,223.81,2025-12,0.0,N/A,160.96,-0.24,-11.25,62.85,🔄 轉虧為盈,⚪ 數據不足,方土昶,43.4500007629,-271.43,0.68
5439.TWO,2025,130.37,N/A,291.45,2025-12,13.891761461564979,N/A,160.61999999999998,9.52,435.15,130.83,🚀 利潤擴張,✅ 穩健價值,高技,403.0,280.8,13.74
3489.TWO,2025,-54.34,10.14%,89.89,2025-12,0.0,3.61%,159.73000000000002,-0.13,-4.95,-69.84,🧐 疑業外收益,⚪ 數據不足,森寶,21.7999992371,23.53,-0.09
4526.TW,2025,-1.22,7.66%,150.56,2025-12,5.660112252401686,-21.47%,157.18,2.61,106.8,-6.62,🧐 疑業外收益,💎 強力關注,東台,40.2999992371,271.05,1.81
3630.TWO,2025,18.28,4.18%,173.02,2025-12,4.678747877841846,-22.27%,153.81,2.19,91.05,19.21,🚀 利潤擴張,💎 強力關注,新鉅科,28.3999996185,219.44,1.86
6684.TWO,2025,-15.66,N/A,137.2,2025-12,3.8260870771462447,N/A,152.56,3.24,189.75000000000003,-15.36,🧐 疑業外收益,💎 強力關注,安格,48.4000015259,203.85,1.57
6838.TW,2025,-95.44,N/A,58.65,2025-12,0.0,N/A,152.03,-0.24,-13.5,-93.38,🧐 疑業外收益,⚪ 數據不足,台新藥,27.1499996185,77.78,-0.55
4157.TWO,2025,-79.84,98.33%,220.0,2025-12,0.0,81.17%,147.76,-0.22,-5.8500000000000005,72.24,🔄 轉虧為盈,⚪ 數據不足,太景*-KY,10.0,-1000.0,0.06
3252.TWO,2025,-4.86,43.11%,141.94,2025-12,117.812502384375,22.84%,145.65,-0.1,2.4,-3.71,🔄 轉虧為盈,⚠️ 追價風險,海灣,18.8500003815,54.55,0.13
3162.TWO,2025,89.71,11.59%,209.26,2025-12,18.56823266219239,1.68%,143.77999999999997,1.25,67.05000000000001,65.48,🚀 利潤擴張,⚪ 中性觀察,精確,83.0,292.31,1.7
3673.TW,2025,-8.66,5.83%,133.62,2025-12,8.753501400560225,-0.68%,142.39000000000001,2.56,107.1,-8.77,🧐 疑業外收益,💎 強力關注,TPK-KY,62.5,55.15,2.71
6236.TWO,2025,-18.24,N/A,119.51,2025-12,70.55555272999999,N/A,140.19,0.05,4.050000000000001,-20.68,🧐 疑業外收益,⚠️ 追價風險,中湛,19.0499992371,111.11,0.08
6708.TWO,2025,48.16,N/A,180.65,2025-12,99.88372270441862,N/A,138.32,0.05,6.449999999999999,42.33,🚀 利潤擴張,⚠️ 追價風險,天擎,42.9500007629,119.23,0.25
5227.TWO,2025,-19.06,N/A,104.91,2025-12,34.28571489126982,N/A,137.15,2.99,9.450000000000005,-32.24,🧐 疑業外收益,⚠️ 追價風險,立凱-KY,21.6000003815,199.67,0.17
6485.TWO,2025,14.7,N/A,152.21,2025-12,71.98412456206349,N/A,135.37,-0.32,18.9,16.84,🔄 轉虧為盈,⚠️ 追價風險,點序,90.6999969482,70.64,0.71
2408.TW,2025,32.43,49.05%,229.88,2025-12,0.0,39.15%,134.79,-1.45,-28.5,95.09,🔄 轉虧為盈,⚪ 數據不足,南亞科,256.5,-28.32,2.13
3709.TWO,2025,55.41,8.09%,178.19,2025-12,6.204379562043795,5.14%,133.87,3.61,205.50000000000003,44.32,🚀 利潤擴張,💎 強力關注,鑫聯大投控,85.0,167.46,7.11
3466.TWO,2025,-68.41,-8.98%,58.98,2025-12,0.0,-223.66%,131.46,-0.81,-57.45,-72.48,🧐 疑業外收益,⚪ 數據不足,德晉,39.4000015259,65.77,-1.11
3081.TWO,2025,82.29,54.76%,645.65,2026-03,230.7377049180328,41.27%,130.47000000000003,4.66,183.0,515.18,🏰 高護城河,⚠️ 追價風險,聯亞,2815.0,884.75,3.44
4934.TW,2025,-81.44,-156.07%,54.11,2025-12,0.0,-456.27%,129.82,-0.67,-35.85,-75.71,🧐 疑業外收益,⚪ 數據不足,太極,17.6499996185,16.25,-0.95
2607.TW,2025,-19.69,18.52%,108.46,2025-12,5.43728423475259,6.32%,127.97999999999999,2.72,130.35,-19.52,🧐 疑業外收益,💎 強力關注,榮運,47.25,139.38,3.56
5386.TWO,2025,12.38,N/A,159.21,2025-12,28.594771241830067,N/A,126.62,3.03,229.49999999999997,32.59,🚀 利潤擴張,⚠️ 追價風險,青雲,437.5,103.38,8.61
6021.TWO,2025,13.11,N/A,161.27,2025-12,7.629796667516931,N/A,126.13000000000001,2.46,66.44999999999999,35.14,🚀 利潤擴張,💎 強力關注,美好證,33.7999992371,128.3,3.76
3540.TWO,2025,30.74,27.46%,155.22,2025-12,0.0,-3.44%,126.13,0.47,0.0,29.09,🚀 利潤擴張,⚪ 數據不足,曜越,0.0,147.47,0.74
8473.TW,2025,62.88,N/A,177.17,2025-12,5.007112484054054,N/A,125.85999999999999,2.05,105.44999999999999,51.31,🚀 利潤擴張,💎 強力關注,山林水,35.2000007629,130.34,2.55
3105.TWO,2025,-13.87,31.80%,120.99,2025-12,119.35483870967741,13.87%,125.67999999999999,1.57,69.75,-4.69,🧐 疑業外收益,⚠️ 追價風險,穩懋,555.0,-40.53,4.0
6276.TWO,2025,28.81,N/A,142.59,2025-12,10.652920962199312,N/A,122.4,0.66,43.650000000000006,20.19,🚀 利潤擴張,💎 強力關注,安鈦克,31.0,128.33,0.92
