status,prev_rev_yoy,est_price,pe,expansion,date,om,advice,prev_eps_yoy,eps_yoy,prev_year,eps,symbol,name,prev_eps,gm,price,rev_yoy
🌑 雙重衰退,-29.22,0.0,0.0,52.519999999999996,2026-03,N/A,⚪ 數據不足,-48.08,-2.96,2025,-1.43,6934.TW,心誠鎂,-3.92,N/A,79.5,-55.48
🚀 利潤擴張,6.51,252.6,7.749406175771972,51.74000000000001,2026-03,N/A,💎 強力關注,66.34,147.37,2025,3.29,6574.TWO,霈方,6.82,N/A,130.5,95.63
🚀 利潤擴張,182.72,0.0,0.0,47.56,2026-03,N/A,⚪ 數據不足,38.44,139.49,2025,7.68,7711.TW,永擎,13.04,N/A,0.0,91.93
🚀 利潤擴張,23.54,31.8,13.443396226415093,46.579999999999984,2026-03,N/A,✅ 穩健價值,-36.17,406.06,2025,1.01,3287.TWO,廣寰科,1.5,N/A,28.5,359.48
🚀 利潤擴張,-17.0,146.54999999999998,2.4155578691402253,45.849999999999994,2026-03,N/A,💎 強力關注,544.54,112.5,2025,0.03,9949.TWO,琉園,5.29,N/A,23.6000003815,66.65
🚀 利潤擴張,108.17,172.35,7.52828546562228,39.24,2026-03,N/A,💎 強力關注,31.64,55.17,2025,0.46,6620.TWO,漢達,4.85,N/A,86.5,15.93
🚀 利潤擴張,-40.0,-30.6,0.0,35.860000000000014,2026-03,-8.17%,⚪ 數據不足,-93.75,300.0,2025,0.08,2388.TW,威盛,0.12,20.64%,65.9000015259,264.14
🏰 高護城河,1.24,81.9,11.684981545256411,34.20000000000002,2026-03,14.95%,💎 強力關注,-5.7,190.24,2025,1.19,3556.TWO,禾瑞亞,2.15,50.66%,63.7999992371,156.04
🚀 利潤擴張,19.28,0.0,0.0,32.379999999999995,2026-03,N/A,⚪ 數據不足,91.67,42.62,2025,0.87,7821.TW,神數,2.99,N/A,40.0,10.24
🚀 利潤擴張,15.19,0.0,0.0,28.590000000000003,2025-12,30.89%,⚪ 數據不足,-17.2,34.92,2025,11.94,2072.TWO,未知,7.56,35.24%,0.0,6.33
🧐 疑業外收益,-5.58,-70.05,0.0,27.259999999999998,2026-03,N/A,⚪ 數據不足,-13.21,23.4,2025,-0.36,6794.TW,向榮生技,-1.89,N/A,77.4000015259,-3.86
🔄 轉虧為盈,2.23,-28.950000000000003,0.0,27.04000000000002,2026-03,1.90%,⚪ 數據不足,-197.83,450.0,2025,0.11,1467.TW,南緯,-0.45,23.39%,8.6999998093,422.96
🚀 利潤擴張,3.08,0.0,0.0,26.23,2026-03,N/A,⚪ 數據不足,-27.83,42.86,2025,1.62,7768.TW,頌勝科技,3.24,N/A,303.0,16.63
🚀 利潤擴張,3.08,0.0,0.0,26.23,2026-03,N/A,⚪ 數據不足,-27.83,42.86,2025,1.62,7768.TWO,未知,3.24,N/A,0.0,16.63
🚀 利潤擴張,20.5,0.0,0.0,25.689999999999998,2026-03,16.93%,⚪ 數據不足,11.37,38.11,2025,4.33,1623.TW,大東電,13.61,21.29%,0.0,12.42
🏰 高護城河,6.4,105.6,9.232954545454545,20.689999999999998,2026-03,33.03%,💎 強力關注,-1.08,83.05,2025,1.08,2885.TW,元大金,2.74,80.00%,65.0,62.36
🚀 利潤擴張,0.36,33.45,13.744394447757848,19.960000000000004,2026-03,N/A,✅ 穩健價值,-66.0,45.45,2025,0.32,5604.TWO,中連,0.85,N/A,30.6499996185,25.49
🚀 利潤擴張,0.56,24.599999999999998,10.060975609756099,19.539999999999964,2026-03,N/A,💎 強力關注,-11.63,470.83,2025,0.89,6015.TWO,宏遠證,0.76,N/A,16.5,451.29
🚀 利潤擴張,-8.35,-30.900000000000002,0.0,18.900000000000002,2026-03,N/A,⚪ 數據不足,-134.86,45.71,2025,-0.19,5202.TWO,力新,-0.61,N/A,13.0,26.81
🏰 高護城河,4.06,70.8,8.506356255487288,18.060000000000002,2026-03,45.93%,💎 強力關注,13.1,41.03,2025,0.55,2880.TW,華南金,1.9,97.25%,40.1500015259,22.97
🚀 利潤擴張,13.9,9.75,177.69230769230768,17.97999999999999,2026-03,8.13%,⚠️ 追價風險,35.0,234.78,2025,0.31,3581.TWO,博磊,0.81,31.93%,115.5,216.8
🏰 高護城河,14.52,25.200000000000003,7.500000227083333,17.229999999999997,2026-03,32.37%,💎 強力關注,28.3,33.33,2025,0.2,2836.TW,高雄銀,0.68,89.95%,12.6000003815,16.1
🚀 利潤擴張,25.43,11.999999999999998,450.00000000000006,15.160000000000025,2026-03,N/A,⚠️ 追價風險,107.11,331.43,2025,1.67,4991.TWO,環宇-KY,0.15,N/A,360.0,316.27
🧐 疑業外收益,10.14,0.0,0.0,12.35,2026-03,N/A,⚪ 數據不足,14.12,10.53,2025,0.42,7819.TWO,精誠金融,2.91,N/A,36.2999992371,-1.82
🏰 高護城河,-12.26,57.14999999999999,7.874015748031497,12.0,2026-03,39.14%,💎 強力關注,-10.99,34.04,2025,0.69,2883.TW,凱基金,1.74,78.38%,30.0,22.04
🚀 利潤擴張,-0.97,-109.2,0.0,10.350000000000001,2026-03,N/A,⚪ 數據不足,-14.12,52.29,2025,-0.53,6657.TW,華安,-2.92,N/A,33.9500007629,41.94
🏰 高護城河,6.74,947.7,37.19531497309275,9.14,2026-03,60.64%,⚠️ 追價風險,4.19,29.13,2025,7.98,3529.TWO,力旺,25.6,100.00%,2350.0,19.99
🔄 轉虧為盈,-8.31,-14.25,0.0,8.629999999999995,2026-03,-4.59%,⚪ 數據不足,-53.57,283.33,2025,0.23,1236.TW,宏亞,-0.43,24.77%,23.5499992371,274.7
🔄 轉虧為盈,-15.19,-89.10000000000001,0.0,7.890000000000015,2026-03,-13.99%,⚪ 數據不足,-827.91,153.49,2025,0.25,1598.TW,岱宇,-3.35,27.77%,19.8500003815,145.6
🚀 利潤擴張,15.86,136.05,7.122381309162073,7.82,2026-03,N/A,✅ 穩健價值,24.93,56.0,2025,0.39,8272.TWO,全景軟體,4.66,N/A,64.5999984741,48.18
🏰 高護城河,-2.15,13.5,26.722221374555556,7.48,2026-03,20.24%,⚠️ 追價風險,-7.32,37.5,2025,0.11,2901.TW,欣欣,0.38,84.77%,24.0499992371,30.02
🌑 雙重衰退,-3.6,0.0,0.0,5.7299999999999995,2026-03,N/A,⚪ 數據不足,14.95,-5.56,2025,-0.19,4178.TWO,未知,-0.92,N/A,0.0,-11.29
🌑 雙重衰退,-3.6,0.0,0.0,5.7299999999999995,2026-03,N/A,⚪ 數據不足,14.95,-5.56,2025,-0.19,4178.TW,永笙-KY,-0.92,N/A,20.0,-11.29
🚀 利潤擴張,-3.57,63.6,6.25,5.1200000000000045,2026-03,N/A,✅ 穩健價值,-38.13,114.29,2025,1.5,6195.TWO,詩肯,0.99,N/A,26.5,109.17
🏰 高護城河,-1.77,91.94999999999999,7.76508947375204,4.100000000000001,2026-03,33.61%,✅ 穩健價值,0.85,16.67,2025,0.63,2886.TW,兆豐金,2.36,83.45%,47.5999984741,12.57
🏰 高護城河,13.2,7.35,75.30612556306123,3.8000000000000025,2026-03,-7.29%,⚠️ 追價風險,41.18,16.67,2025,0.07,3094.TW,聯傑,0.25,73.82%,36.9000015259,12.87
🔄 轉虧為盈,-8.05,-22.2,0.0,3.490000000000009,2026-03,N/A,⚪ 數據不足,-326.32,300.0,2025,0.24,4939.TWO,亞電,-0.43,N/A,60.2000007629,296.51
🚀 利潤擴張,8.14,0.0,0.0,3.3499999999999996,2026-03,N/A,⚪ 數據不足,18.52,5.8,2025,0.73,7839.TWO,達人網,2.56,N/A,42.2000007629,2.45
🚀 利潤擴張,15.88,12.149999999999999,51.60493732975309,3.0700000000000003,2026-03,N/A,⚠️ 追價風險,-16.92,35.9,2025,-0.25,7777.TWO,能率亞洲,0.58,N/A,41.7999992371,32.83
🏰 高護城河,12.71,100.35000000000001,4.783258594917787,2.25,2026-03,2.03%,✅ 穩健價值,-27.47,71.15,2025,0.89,2941.TWO,米斯特,2.35,64.17%,32.0,68.9
