advice,prev_eps,est_price,date,om,prev_year,eps,status,pe,prev_eps_yoy,symbol,name,eps_yoy,gm,prev_rev_yoy,expansion,price,rev_yoy
⚪ 數據不足,-0.45,-28.950000000000003,2026-03,1.90%,2025,0.11,🔄 轉虧為盈,0.0,-197.83,1467.TW,南緯,450.0,23.39%,2.23,27.04000000000002,10.0,422.96
⚪ 數據不足,3.24,0.0,2026-03,N/A,2025,1.62,🚀 利潤擴張,0.0,-27.83,7768.TW,頌勝科技,42.86,N/A,3.08,26.23,296.0,16.63
⚪ 數據不足,3.24,0.0,2026-03,N/A,2025,1.62,🚀 利潤擴張,0.0,-27.83,7768.TWO,未知,42.86,N/A,3.08,26.23,0.0,16.63
⚪ 數據不足,13.61,0.0,2026-03,16.93%,2025,4.33,🚀 利潤擴張,0.0,11.37,1623.TW,大東電,38.11,21.29%,20.5,25.689999999999998,0.0,12.42
💎 強力關注,2.74,105.6,2026-03,33.03%,2025,1.08,🏰 高護城河,8.963067965071023,-1.08,2885.TW,元大金,83.05,80.00%,6.4,20.689999999999998,63.0999984741,62.36
✅ 穩健價值,0.85,33.45,2026-03,N/A,2025,0.32,🚀 利潤擴張,13.565022421524663,-66.0,5604.TWO,中連,45.45,N/A,0.36,19.960000000000004,30.25,25.49
💎 強力關注,0.76,24.599999999999998,2026-03,N/A,2025,0.89,🚀 利潤擴張,10.121951452134146,-11.63,6015.TWO,宏遠證,470.83,N/A,0.56,19.539999999999964,16.6000003815,451.29
⚪ 數據不足,-0.61,-30.900000000000002,2026-03,N/A,2025,-0.19,🚀 利潤擴張,0.0,-134.86,5202.TWO,力新,45.71,N/A,-8.35,18.900000000000002,13.1000003815,26.81
💎 強力關注,1.9,70.8,2026-03,45.93%,2025,0.55,🏰 高護城河,8.739406779661017,13.1,2880.TW,華南金,41.03,97.25%,4.06,18.060000000000002,41.25,22.97
⚠️ 追價風險,0.81,9.75,2026-03,8.13%,2025,0.31,🚀 利潤擴張,187.69230769230768,35.0,3581.TWO,博磊,234.78,31.93%,13.9,17.97999999999999,122.0,216.8
💎 強力關注,0.68,25.200000000000003,2026-03,32.37%,2025,0.2,🏰 高護城河,7.619047732559523,28.3,2836.TW,高雄銀,33.33,89.95%,14.52,17.229999999999997,12.8000001907,16.1
⚠️ 追價風險,0.15,11.999999999999998,2026-03,N/A,2025,1.67,🚀 利潤擴張,525.625,107.11,4991.TWO,環宇-KY,331.43,N/A,25.43,15.160000000000025,420.5,316.27
⚪ 數據不足,2.91,0.0,2026-03,N/A,2025,0.42,🧐 疑業外收益,0.0,14.12,7819.TWO,精誠金融,10.53,N/A,10.14,12.35,36.7999992371,-1.82
💎 強力關注,1.74,57.14999999999999,2026-03,39.14%,2025,0.69,🏰 高護城河,7.99212618448819,-10.99,2883.TW,凱基金,34.04,78.38%,-12.26,12.0,30.4500007629,22.04
⚪ 數據不足,-2.92,-109.2,2026-03,N/A,2025,-0.53,🚀 利潤擴張,0.0,-14.12,6657.TW,華安,52.29,N/A,-0.97,10.350000000000001,35.8499984741,41.94
⚠️ 追價風險,25.6,947.7,2026-03,60.64%,2025,7.98,🏰 高護城河,41.1522633744856,4.19,3529.TWO,力旺,29.13,100.00%,6.74,9.14,2600.0,19.99
⚪ 數據不足,-0.43,-14.25,2026-03,-4.59%,2025,0.23,🔄 轉虧為盈,0.0,-53.57,1236.TW,宏亞,283.33,24.77%,-8.31,8.629999999999995,23.6000003815,274.7
⚪ 數據不足,-3.35,-89.10000000000001,2026-03,-13.99%,2025,0.25,🔄 轉虧為盈,0.0,-827.91,1598.TW,岱宇,153.49,27.77%,-15.19,7.890000000000015,19.7000007629,145.6
✅ 穩健價值,4.66,136.05,2026-03,N/A,2025,0.39,🚀 利潤擴張,7.298786874112458,24.93,8272.TWO,全景軟體,56.0,N/A,15.86,7.82,66.1999969482,48.18
⚠️ 追價風險,0.38,13.5,2026-03,20.24%,2025,0.11,🏰 高護城河,27.22222222222222,-7.32,2901.TW,欣欣,37.5,84.77%,-2.15,7.48,24.5,30.02
⚪ 數據不足,-0.92,0.0,2026-03,N/A,2025,-0.19,🌑 雙重衰退,0.0,14.95,4178.TWO,未知,-5.56,N/A,-3.6,5.7299999999999995,0.0,-11.29
⚪ 數據不足,-0.92,0.0,2026-03,N/A,2025,-0.19,🌑 雙重衰退,0.0,14.95,4178.TW,永笙-KY,-5.56,N/A,-3.6,5.7299999999999995,19.5499992371,-11.29
✅ 穩健價值,0.99,63.6,2026-03,N/A,2025,1.5,🚀 利潤擴張,6.356132255400943,-38.13,6195.TWO,詩肯,114.29,N/A,-3.57,5.1200000000000045,26.9500007629,109.17
✅ 穩健價值,2.36,91.94999999999999,2026-03,33.61%,2025,0.63,🏰 高護城河,7.862969129347472,0.85,2886.TW,兆豐金,16.67,83.45%,-1.77,4.100000000000001,48.2000007629,12.57
⚠️ 追價風險,0.25,7.35,2026-03,-7.29%,2025,0.07,🏰 高護城河,77.8571459712245,41.18,3094.TW,聯傑,16.67,73.82%,13.2,3.8000000000000025,38.1500015259,12.87
⚪ 數據不足,-0.43,-22.2,2026-03,N/A,2025,0.24,🔄 轉虧為盈,0.0,-326.32,4939.TWO,亞電,300.0,N/A,-8.05,3.490000000000009,70.9000015259,296.51
⚪ 數據不足,2.56,0.0,2026-03,N/A,2025,0.73,🚀 利潤擴張,0.0,18.52,7839.TWO,達人網,5.8,N/A,8.14,3.3499999999999996,46.5,2.45
⚠️ 追價風險,0.58,12.149999999999999,2026-03,N/A,2025,-0.25,🚀 利潤擴張,50.617283950617285,-16.92,7777.TWO,能率亞洲,35.9,N/A,15.88,3.0700000000000003,41.0,32.83
✅ 穩健價值,2.35,100.35000000000001,2026-03,2.03%,2025,0.89,🏰 高護城河,4.783258594917787,-27.47,2941.TWO,米斯特,71.15,64.17%,12.71,2.25,32.0,68.9
