📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
2883.TW      凱基金            20.4     80      59.46       18.6       -30638 ✅ 趕緊買入 (上升旗形)       
3615.TWO     安可             32.8     80      51.35      24.24         1433 ✅ 趕緊買入 (上升旗形)       
3064.TWO     泰偉            40.85     80      29.73     -18.95            0 ⚠️ 趕快賣出 (下跌旗形)      
3707.TWO     漢磊             56.8     80      48.65       5.19         -602 ✅ 趕緊買入 (上升旗形)       
6588.TWO     東典光電           80.1     80      51.35      54.93         -204 ⚠️ 趕快賣出 (下跌旗形)      
1337.TW      再生-KY          5.77     80      40.54      20.46          461 ✅ 趕緊買入 (上升旗形)       
6937.TW      天虹            247.5     80      40.54       -1.2          303 ✅ 趕緊買入 (上升旗形)       
8240.TWO     華宏             41.5     80      43.24      11.11          205 ✅ 趕緊買入 (上升旗形)       
2017.TW      官田鋼            9.99     80      43.24      17.67         -982 ✅ 趕緊買入 (上升旗形)       
2444.TW      兆勁            13.75     80      43.24      20.61         -283 ✅ 趕緊買入 (上升旗形)       
2413.TW      環科             49.1     80      43.24       6.51        -2119 ✅ 趕緊買入 (上升旗形)       
6887.TW      寶綠特-KY        45.35     80      21.62     -24.67           11 ⚠️ 趕快賣出 (下跌旗形)      
3543.TW      州巧            48.45     80      40.54       13.6        -1906 ✅ 趕緊買入 (上升旗形)       
6679.TWO     鈺太            244.5     80      59.46      38.92          163 ✅ 趕緊買入 (上升旗形)       
6739.TWO     竹陞科技         1050.0     80      48.65      32.41         -160 ✅ 趕緊買入 (上升旗形)       
6944.TW      兆聯實業          752.0     80      51.35       7.58          144 ✅ 趕緊買入 (上升旗形)       
3535.TW      晶彩科           148.5     80      64.86      55.01          757 ✅ 趕緊買入 (上升旗形)       
3149.TW      正達             51.8     80      54.05      33.85        -3260 ✅ 趕緊買入 (上升旗形)       
2103.TW      台橡             21.0     80      56.76       40.0       -11348 ✅ 趕緊買入 (上升旗形)       
1727.TW      中華化            47.5     80      40.54       4.97        -1662 ✅ 趕緊買入 (上升旗形)       
4722.TW      國精化           184.0     80      45.95      -1.08         -858 ✅ 趕緊買入 (上升旗形)       
2481.TW      強茂             91.5     80      54.05      14.52         -328 ✅ 趕緊買入 (上升旗形)       
8438.TW      昶昕             70.8     80      54.05      53.75         -863 ✅ 趕緊買入 (上升旗形)       
3594.TWO     磐儀            41.15     80      43.24       9.01          127 ✅ 趕緊買入 (上升旗形)       
1582.TW      信錦             90.5     80      51.35      37.12          466 ✅ 趕緊買入 (上升旗形)       
3207.TWO     耀勝             81.7     80      43.24      16.05          534 ✅ 趕緊買入 (上升旗形)       
6863.TW      永道-KY          95.9     80      43.24     -17.68         -145 ⚠️ 趕快賣出 (下跌旗形)      
1301.TW      台塑             50.2     80      62.16      30.56       -15183 ✅ 趕緊買入 (上升旗形)       
2385.TW      群光            125.5     80      45.95       7.73         1774 ✅ 趕緊買入 (上升旗形)       
4764.TW      雙鍵            144.0     80      43.24      24.68          788 ✅ 趕緊買入 (上升旗形)       
1529.TW      樂事綠能          27.05     80      51.35      43.88          690 ✅ 趕緊買入 (上升旗形)       
5314.TWO     世紀*            79.8     80      29.73      -18.4        -1193 ⚠️ 趕快賣出 (下跌旗形)      
1560.TW      中砂            486.5     80      51.35      19.53         1548 ✅ 趕緊買入 (上升旗形)       
6805.TW      富世達          1845.0     80      45.95       20.2         -683 ✅ 趕緊買入 (上升旗形)       
1593.TWO     祺驊            34.45     80      43.24      18.79           17 ✅ 趕緊買入 (上升旗形)       
2387.TW      精元            43.85     80      45.95       13.9        -2521 ✅ 趕緊買入 (上升旗形)       
5284.TW      jpp-KY        278.5     80      45.95      -3.13          397 ✅ 趕緊買入 (上升旗形)       
6934.TW      心誠鎂            90.2     80      26.09     -41.81          -17 ⚠️ 趕快賣出 (下跌旗形)      
3363.TWO     上詮            592.0     80      54.05      30.54           16 ✅ 趕緊買入 (上升旗形)       
5471.TW      松翰             44.1     80      56.76      33.03          231 ✅ 趕緊買入 (上升旗形)       
3508.TWO     位速             39.5     80      59.46      64.58         -151 ✅ 趕緊買入 (上升旗形)       
3529.TWO     力旺           2390.0     80      51.35      38.95          285 ✅ 趕緊買入 (上升旗形)       
6861.TW      睿生光電          150.5     80      59.46     149.59           40 ✅ 趕緊買入 (上升旗形)       
8917.TWO     欣泰             63.0     80      35.14       9.38            4 ✅ 趕緊買入 (上升旗形)       
6535.TWO     順藥            156.5     80      32.43     -16.76          -17 ⚠️ 趕快賣出 (下跌旗形)      
3163.TWO     波若威           723.0     80      54.05      72.76         1022 ✅ 趕緊買入 (上升旗形)       
5272.TWO     笙科             22.9     80      40.54       10.1         -117 ✅ 趕緊買入 (上升旗形)       
3081.TWO     聯亞           1500.0     80      62.16     134.38        -1305 ✅ 趕緊買入 (上升旗形)       
9908.TW      大台北           31.95     80      40.54       7.04          315 ✅ 趕緊買入 (上升旗形)       
3167.TW      大量            291.0     80      54.05       25.7         -627 ✅ 趕緊買入 (上升旗形)       
5443.TWO     均豪             95.1     80      45.95       1.17         2755 ✅ 趕緊買入 (上升旗形)       
1308.TW      亞聚             15.0     80      51.35      16.73        -1076 ✅ 趕緊買入 (上升旗形)       
4416.TWO     三圓             16.7     80      35.14     -45.51           -4 ⚠️ 趕快賣出 (下跌旗形)      
3036.TW      文曄            215.5     80      59.46      53.38         4091 ✅ 趕緊買入 (上升旗形)       
2616.TW      山隆            21.75     80      45.95      63.53          -16 ✅ 趕緊買入 (上升旗形)       
3054.TW      立萬利            45.0     80      56.76      41.07          -30 ✅ 趕緊買入 (上升旗形)       
6996.TWO     力領科技          180.0     80      56.76      19.21          157 ✅ 趕緊買入 (上升旗形)       
6423.TWO     億而得            93.8     80      45.95      10.09         -215 ✅ 趕緊買入 (上升旗形)       
6505.TW      台塑化            62.0     80      54.05      33.05       -13574 ✅ 趕緊買入 (上升旗形)       
3583.TW      辛耘            356.0     80      51.35       5.01         -454 ✅ 趕緊買入 (上升旗形)       
6768.TW      志強-KY          93.0     80      40.54     -11.85         -220 ⚠️ 趕快賣出 (下跌旗形)      
3005.TW      神基            123.0     80      37.84       4.68       -19437 ✅ 趕緊買入 (上升旗形)       
6225.TW      天瀚             21.0     80      59.46      15.38            0 ✅ 趕緊買入 (上升旗形)       
6141.TW      柏承            17.95     80      59.46      70.95          -24 ✅ 趕緊買入 (上升旗形)       
6213.TW      聯茂            127.5     80      45.95       9.44        -1605 ✅ 趕緊買入 (上升旗形)       
6722.TW      輝創             40.2     80      29.73     -29.72          118 ⚠️ 趕快賣出 (下跌旗形)      
6757.TW      台灣虎航           51.7     80      43.24     -19.72        -2183 ⚠️ 趕快賣出 (下跌旗形)      
2338.TW      光罩             52.8     80      51.35      46.87          121 ✅ 趕緊買入 (上升旗形)       
6187.TWO     萬潤            590.0     80      51.35      58.39         2615 ✅ 趕緊買入 (上升旗形)       
4952.TW      凌通             50.8     80      51.35      43.91         -499 ✅ 趕緊買入 (上升旗形)       
7610.TW      聯友金屬-創        288.5     80      59.46      96.26          -92 ✅ 趕緊買入 (上升旗形)       
8432.TWO     東生華            52.1     80      32.43     -10.94          -35 ⚠️ 趕快賣出 (下跌旗形)      
3178.TWO     公準             57.7     80      40.54      -5.72           37 ✅ 趕緊買入 (上升旗形)       
6962.TW      奕力-KY         31.95     80      40.54     -17.87        -1219 ⚠️ 趕快賣出 (下跌旗形)      
6456.TW      GIS-KY         62.7     80      54.05      47.53         -815 ✅ 趕緊買入 (上升旗形)       
7752.TWO     世紀樺欣           53.3     80      29.73     -23.97            0 ⚠️ 趕快賣出 (下跌旗形)      
1710.TW      東聯             13.7     80      51.35      11.84         -826 ✅ 趕緊買入 (上升旗形)       
1471.TW      首利             12.7     80      45.95      43.83         -433 ✅ 趕緊買入 (上升旗形)       
2882.TW      國泰金            73.0     80      48.65      -2.93       -26367 ⚠️ 趕快賣出 (下跌旗形)      
