expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
152.03,-0.55,N/A,⚪ 數據不足,N/A,24.9500007629,-0.24,2025,77.78,58.65,2025-12,-95.44,台新藥,-93.38,0.0,6838.TW,-13.5,🧐 疑業外收益
147.76,0.06,98.33%,⚪ 數據不足,81.17%,8.720000267,-0.22,2025,-1000.0,220.0,2025-12,-79.84,太景*-KY,72.24,0.0,4157.TWO,-5.8500000000000005,🔄 轉虧為盈
145.65,0.13,43.11%,⚠️ 追價風險,22.84%,17.8500003815,-0.1,2025,54.55,141.94,2025-12,-4.86,海灣,-3.71,111.562502384375,3252.TWO,2.4,🔄 轉虧為盈
143.77999999999997,1.7,11.59%,⚪ 中性觀察,1.68%,84.8000030518,1.25,2025,292.31,209.26,2025-12,89.71,精確,65.48,18.97091790868009,3162.TWO,67.05000000000001,🚀 利潤擴張
142.39000000000001,2.71,5.83%,✅ 穩健價值,-0.68%,86.5999984741,2.56,2025,55.15,133.62,2025-12,-8.66,TPK-KY,-8.77,12.128851326904764,3673.TW,107.1,🧐 疑業外收益
140.19,0.08,N/A,⚠️ 追價風險,N/A,19.0,0.05,2025,111.11,119.51,2025-12,-18.24,中湛,-20.68,70.37037037037037,6236.TWO,4.050000000000001,🧐 疑業外收益
138.32,0.25,N/A,⚠️ 追價風險,N/A,39.2000007629,0.05,2025,119.23,180.65,2025-12,48.16,天擎,42.33,91.16279247186047,6708.TWO,6.449999999999999,🚀 利潤擴張
137.15,0.17,N/A,⚠️ 追價風險,N/A,41.0,2.99,2025,199.67,104.91,2025-12,-19.06,立凱-KY,-32.24,65.07936507936505,5227.TWO,9.450000000000005,🧐 疑業外收益
135.37,0.71,N/A,⚠️ 追價風險,N/A,89.0999984741,-0.32,2025,70.64,152.21,2025-12,14.7,點序,16.84,70.71428450325398,6485.TWO,18.9,🔄 轉虧為盈
134.79,2.13,49.05%,⚪ 數據不足,39.15%,437.0,-1.45,2025,-28.32,229.88,2025-12,32.43,南亞科,95.09,0.0,2408.TW,-28.5,🔄 轉虧為盈
133.87,7.11,8.09%,💎 強力關注,5.14%,74.5999984741,3.61,2025,167.46,178.19,2025-12,55.41,鑫聯大投控,44.32,5.4452553630729925,3709.TWO,205.50000000000003,🚀 利潤擴張
131.46,-1.11,-8.98%,⚪ 數據不足,-223.66%,33.8499984741,-0.81,2025,65.77,58.98,2025-12,-68.41,德晉,-72.48,0.0,3466.TWO,-57.45,🧐 疑業外收益
130.47000000000003,3.44,54.76%,⚠️ 追價風險,41.27%,2245.0,4.66,2025,884.75,645.65,2026-03,82.29,聯亞,515.18,184.01639344262296,3081.TWO,183.0,🏰 高護城河
129.82,-0.95,-156.07%,⚪ 數據不足,-456.27%,17.3999996185,-0.67,2025,16.25,54.11,2025-12,-81.44,太極,-75.71,0.0,4934.TW,-35.85,🧐 疑業外收益
127.97999999999999,3.56,18.52%,💎 強力關注,6.32%,50.0,2.72,2025,139.38,108.46,2025-12,-19.69,榮運,-19.52,5.753739930955121,2607.TW,130.35,🧐 疑業外收益
126.62,8.61,N/A,⚠️ 追價風險,N/A,500.0,3.03,2025,103.38,159.21,2025-12,12.38,青雲,32.59,32.67973856209151,5386.TWO,229.49999999999997,🚀 利潤擴張
