gm,eps,om,price,prev_year,status,date,name,prev_eps,eps_yoy,pe,rev_yoy,est_price,advice,prev_rev_yoy,symbol,expansion,prev_eps_yoy
28.43%,0.19,-3.62%,7.0100002289,2025,🚀 利潤擴張,2025-12,瑞利,0.04,127.94,28.0400009156,8.09,3.75,⚠️ 追價風險,2.64,1512.TW,119.85,111.76
32.97%,1.86,26.41%,28.8999996185,2025,🚀 利潤擴張,2025-12,綠意,1.04,177.61,6.422222137444445,59.65,67.5,💎 強力關注,217.33,2596.TWO,117.96000000000001,425.0
N/A,0.12,N/A,27.2999992371,2025,🚀 利潤擴張,2025-12,泰霖,0.2,139.29,39.56521628565217,22.38,10.350000000000001,⚠️ 追價風險,34.06,8080.TWO,116.91,190.91
31.93%,0.19,2.93%,41.5499992371,2025,🔄 轉虧為盈,2025-12,氣立,-0.02,122.09,1038.7499809274998,7.47,0.6000000000000001,⚠️ 追價風險,8.77,4555.TW,114.62,97.22
N/A,-0.23,N/A,21.6499996185,2025,🧐 疑業外收益,2025-12,瑞築,-0.12,23.33,0.0,-90.1,-7.5,⚪ 數據不足,-92.7,6198.TWO,113.42999999999999,55.56
35.38%,0.88,-88.29%,9.6999998093,2025,🧐 疑業外收益,2025-12,中美實,0.23,51.72,27.714285169428557,-61.59,5.250000000000002,⚠️ 追價風險,-60.26,4702.TWO,113.31,-14.81
48.37%,23.18,35.36%,390.0,2025,🚀 利潤擴張,2025-12,威剛,10.08,144.7,9.880922219407145,32.13,592.05,💎 強力關注,22.8,3260.TWO,112.57,19.56
-19.82%,-0.18,14.50%,11.8000001907,2025,🧐 疑業外收益,2025-12,千興,-0.41,87.32,0.0,-22.64,-17.700000000000003,⚪ 數據不足,-15.81,2025.TW,109.96,28.07
N/A,0.02,N/A,39.7000007629,2025,🧐 疑業外收益,2025-12,大拓-KY,0.02,102.7,0.0,-6.4,-4.95,⚪ 數據不足,-7.04,8455.TWO,109.10000000000001,104.35
N/A,0.54,N/A,28.3999996185,2025,🔄 轉虧為盈,2025-12,佳龍,-0.37,134.62,0.0,26.06,-5.399999999999999,⚪ 數據不足,17.8,9955.TW,108.56,50.67
N/A,13.06,N/A,257.5,2025,🚀 利潤擴張,2025-12,十銓,3.47,110.31,13.806970509383376,2.46,279.75000000000006,✅ 穩健價值,-15.55,4967.TW,107.85000000000001,-46.86
N/A,-0.92,N/A,15.8500003815,2025,🧐 疑業外收益,2025-12,創業家,-0.62,53.77,0.0,-52.73,-38.4,⚪ 數據不足,-51.54,8477.TWO,106.5,80.0
26.51%,2.83,17.13%,22.2000007629,2025,🚀 利潤擴張,2025-12,國建,1.91,108.09,3.5294118859936408,1.8,94.35,💎 強力關注,7.39,2501.TW,106.29,127.38
N/A,0.86,N/A,46.7000007629,2025,🔄 轉虧為盈,2025-12,威潤,-0.75,168.25,0.0,63.6,-14.549999999999999,⚪ 數據不足,5.09,6465.TWO,104.65,29.25
19.12%,6.33,16.62%,188.0,2025,🚀 利潤擴張,2025-12,凌航,1.5,143.64,21.510297482837533,39.88,131.09999999999997,⚪ 中性觀察,34.74,3135.TW,103.75999999999999,-29.03
N/A,2.63,N/A,67.5,2025,🚀 利潤擴張,2025-12,撼訊,1.55,164.15,12.687969924812032,61.2,79.8,✅ 穩健價值,77.79,6150.TWO,102.95,156.36
10.44%,0.43,2.26%,75.5999984741,2025,🚀 利潤擴張,2025-12,麗臺,0.09,107.41,59.06249880789063,5.42,19.2,⚠️ 追價風險,32.51,2465.TW,101.99,102.43
40.82%,0.54,-1.48%,36.9000015259,2025,🚀 利潤擴張,2025-12,誠品生活,0.34,100.0,29.055119311732284,1.84,19.05,⚠️ 追價風險,2.58,2926.TWO,98.16,241.67
19.55%,2.32,7.07%,20.3999996185,2025,🚀 利潤擴張,2025-12,錩泰,1.32,118.87,4.657534159474886,21.45,65.7,💎 強力關注,28.08,1541.TW,97.42,41.94
24.41%,0.72,0.24%,5.9899997711,2025,🚀 利潤擴張,2025-12,虹光,0.47,110.31,3.0876287479896907,13.61,29.099999999999998,💎 強力關注,9.38,2380.TW,96.7,133.57
N/A,1.65,N/A,645.0,2025,🚀 利潤擴張,2025-12,IET-KY,0.09,146.97,0.0,50.49,-7.0500000000000025,⚪ 數據不足,54.63,4971.TWO,96.47999999999999,103.17
N/A,0.16,N/A,11.3999996185,2025,🚀 利潤擴張,2025-12,雙喜,0.34,104.43,0.0,8.41,-7.35,⚪ 數據不足,7.31,5516.TWO,96.02000000000001,116.43
12.43%,0.16,-9.15%,775.0,2025,🚀 利潤擴張,2025-12,上詮,0.37,134.04,1091.5492957746478,38.72,10.65,⚠️ 追價風險,49.52,3363.TWO,95.32,317.65
N/A,16.13,N/A,1215.0,2025,🚀 利潤擴張,2025-12,竹陞科技,10.13,191.99,35.02450273854137,96.69,520.3499999999999,⚠️ 追價風險,94.38,6739.TWO,95.30000000000001,167.2
N/A,0.1,N/A,56.7000007629,2025,🚀 利潤擴張,2025-12,廣運,0.13,118.18,182.90322826741934,23.69,4.65,⚠️ 追價風險,15.42,6125.TWO,94.49000000000001,123.21
