eps,prev_year,gm,price,prev_eps,eps_yoy,expansion,date,om,advice,rev_yoy,prev_eps_yoy,status,prev_rev_yoy,name,pe,symbol,est_price
4.0,2025,31.80%,502.0,1.57,120.99,125.67999999999999,2025-12,13.87%,⚠️ 追價風險,-4.69,-40.53,🧐 疑業外收益,-13.87,穩懋,107.95698924731182,3105.TWO,69.75
0.92,2025,N/A,31.7999992371,0.66,142.59,122.4,2025-12,N/A,💎 強力關注,20.19,128.33,🚀 利潤擴張,28.81,安鈦克,10.927834789381443,6276.TWO,43.650000000000006
0.19,2025,28.43%,7.5,0.04,127.94,119.85,2025-12,-3.62%,⚠️ 追價風險,8.09,111.76,🚀 利潤擴張,2.64,瑞利,30.0,1512.TW,3.75
1.86,2025,32.97%,29.2000007629,1.04,177.61,117.96000000000001,2025-12,26.41%,💎 強力關注,59.65,425.0,🚀 利潤擴張,217.33,綠意,6.488889058422222,2596.TWO,67.5
0.12,2025,N/A,28.3500003815,0.2,139.29,116.91,2025-12,N/A,⚠️ 追價風險,22.38,190.91,🚀 利潤擴張,34.06,泰霖,41.086957074637674,8080.TWO,10.350000000000001
0.19,2025,31.93%,39.5,-0.02,122.09,114.62,2025-12,2.93%,⚠️ 追價風險,7.47,97.22,🔄 轉虧為盈,8.77,氣立,987.4999999999998,4555.TW,0.6000000000000001
-0.23,2025,N/A,22.0,-0.12,23.33,113.42999999999999,2025-12,N/A,⚪ 數據不足,-90.1,55.56,🧐 疑業外收益,-92.7,瑞築,0.0,6198.TWO,-7.5
0.88,2025,35.38%,9.7899999619,0.23,51.72,113.31,2025-12,-88.29%,⚠️ 追價風險,-61.59,-14.81,🧐 疑業外收益,-60.26,中美實,27.971428462571417,4702.TWO,5.250000000000002
23.18,2025,48.37%,455.0,10.08,144.7,112.57,2025-12,35.36%,💎 強力關注,32.13,19.56,🚀 利潤擴張,22.8,威剛,11.527742589308335,3260.TWO,592.05
-0.18,2025,-19.82%,11.3500003815,-0.41,87.32,109.96,2025-12,14.50%,⚪ 數據不足,-22.64,28.07,🧐 疑業外收益,-15.81,千興,0.0,2025.TW,-17.700000000000003
0.02,2025,N/A,24.1499996185,0.02,102.7,109.10000000000001,2025-12,N/A,⚪ 數據不足,-6.4,104.35,🧐 疑業外收益,-7.04,大拓-KY,0.0,8455.TWO,-4.95
0.54,2025,N/A,29.1000003815,-0.37,134.62,108.56,2025-12,N/A,⚪ 數據不足,26.06,50.67,🔄 轉虧為盈,17.8,佳龍,0.0,9955.TW,-5.399999999999999
13.06,2025,N/A,285.5,3.47,110.31,107.85000000000001,2025-12,N/A,✅ 穩健價值,2.46,-46.86,🚀 利潤擴張,-15.55,十銓,15.308310991957104,4967.TW,279.75000000000006
-0.92,2025,N/A,13.6000003815,-0.62,53.77,106.5,2025-12,N/A,⚪ 數據不足,-52.73,80.0,🧐 疑業外收益,-51.54,創業家,0.0,8477.TWO,-38.4
