price,expansion,gm,eps,prev_eps,prev_eps_yoy,symbol,advice,pe,date,om,status,prev_year,est_price,eps_yoy,rev_yoy,name,prev_rev_yoy
36.7000007629,12.0,78.38%,0.69,1.74,-10.99,2883.TW,💎 強力關注,9.63254613199475,2026-03,39.14%,🏰 高護城河,2025,57.14999999999999,34.04,22.04,凱基金,-12.26
30.0,10.350000000000001,N/A,-0.53,-2.92,-14.12,6657.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-109.2,52.29,41.94,華安,-0.97
2385.0,9.14,100.00%,7.98,25.6,4.19,3529.TWO,⚠️ 追價風險,37.74928774928775,2026-03,60.64%,🏰 高護城河,2025,947.7,29.13,19.99,力旺,6.74
26.1499996185,8.629999999999995,24.77%,0.23,-0.43,-53.57,1236.TW,⚪ 數據不足,0.0,2026-03,-4.59%,🔄 轉虧為盈,2025,-14.25,283.33,274.7,宏亞,-8.31
20.2000007629,7.890000000000015,27.77%,0.25,-3.35,-827.91,1598.TW,⚪ 數據不足,0.0,2026-03,-13.99%,🔄 轉虧為盈,2025,-89.10000000000001,153.49,145.6,岱宇,-15.19
64.9000015259,7.82,N/A,0.39,4.66,24.93,8272.TWO,✅ 穩健價值,7.155457720606394,2026-03,N/A,🚀 利潤擴張,2025,136.05,56.0,48.18,全景軟體,15.86
23.6000003815,7.48,84.77%,0.11,0.38,-7.32,2901.TW,⚠️ 追價風險,26.22222264611111,2026-03,20.24%,🏰 高護城河,2025,13.5,37.5,30.02,欣欣,-2.15
0.0,5.7299999999999995,N/A,-0.19,-0.92,14.95,4178.TWO,⚪ 數據不足,0.0,2026-03,N/A,🌑 雙重衰退,2025,0.0,-5.56,-11.29,未知,-3.6
16.8999996185,5.7299999999999995,N/A,-0.19,-0.92,14.95,4178.TW,⚪ 數據不足,0.0,2026-03,N/A,🌑 雙重衰退,2025,0.0,-5.56,-11.29,永笙-KY,-3.6
27.75,5.1200000000000045,N/A,1.5,0.99,-38.13,6195.TWO,✅ 穩健價值,6.544811320754716,2026-03,N/A,🚀 利潤擴張,2025,63.6,114.29,109.17,詩肯,-3.57
49.5499992371,4.100000000000001,83.45%,0.63,2.36,0.85,2886.TW,✅ 穩健價值,8.083197265432302,2026-03,33.61%,🏰 高護城河,2025,91.94999999999999,16.67,12.57,兆豐金,-1.77
46.5,3.8000000000000025,73.82%,0.07,0.25,41.18,3094.TW,⚠️ 追價風險,94.89795918367346,2026-03,-7.29%,🏰 高護城河,2025,7.35,16.67,12.87,聯傑,13.2
87.9000015259,3.490000000000009,N/A,0.24,-0.43,-326.32,4939.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-22.2,300.0,296.51,亞電,-8.05
43.9500007629,3.3499999999999996,N/A,0.73,2.56,18.52,7839.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,5.8,2.45,達人網,8.14
38.2999992371,3.0700000000000003,N/A,-0.25,0.58,-16.92,7777.TWO,⚠️ 追價風險,47.283949675432105,2026-03,N/A,🚀 利潤擴張,2025,12.149999999999999,35.9,32.83,能率亞洲,15.88
33.9000015259,2.25,64.17%,0.89,2.35,-27.47,2941.TWO,✅ 穩健價值,5.067264802077728,2026-03,2.03%,🏰 高護城河,2025,100.35000000000001,71.15,68.9,米斯特,12.71
