eps,om,prev_eps,prev_eps_yoy,gm,prev_year,symbol,name,date,rev_yoy,eps_yoy,prev_rev_yoy,est_price,price,status,expansion,pe,advice
1.41,20.98%,7.13,24.43,82.18%,2025,4137.TW,麗豐-KY,2026-03,40.15,107.35,-4.63,257.1,77.0,🏰 高護城河,67.19999999999999,4.492415402567095,💎 強力關注
0.06,3.73%,-0.38,-31.03,54.59%,2025,3632.TWO,研勤,2026-03,110.52,175.0,-28.72,-15.3,7.0799999237,🔄 轉虧為盈,64.48,0.0,⚪ 數據不足
0.6,N/A,2.43,-24.06,N/A,2025,6986.TWO,和迅,2026-03,42.91,106.9,2.38,0.0,40.4000015259,🚀 利潤擴張,63.99000000000001,0.0,⚪ 數據不足
0.11,-45.46%,-1.28,-184.44,31.44%,2025,4562.TW,穎漢,2026-03,111.03,175.0,-7.78,-38.1,29.7000007629,🔄 轉虧為盈,63.97,0.0,⚪ 數據不足
-0.27,-55.72%,-3.51,-7120.0,93.22%,2025,3064.TWO,泰偉,2026-03,-1.0,62.5,-29.69,-122.4,16.8999996185,🏰 高護城河,63.5,0.0,⚪ 數據不足
1.34,N/A,2.64,17.33,N/A,2025,6005.TW,群益證,2026-03,171.79,235.0,12.14,101.7,31.2999992371,🚀 利潤擴張,63.21000000000001,4.616519061519174,💎 強力關注
0.84,N/A,0.58,152.25,N/A,2025,1533.TW,車王電,2026-03,438.18,500.0,19.69,10.049999999999997,30.6499996185,🚀 利潤擴張,61.81999999999999,45.746268087313446,⚠️ 追價風險
0.56,7.12%,0.74,34.55,20.98%,2025,1904.TW,正隆,2026-03,538.23,600.0,-4.85,22.5,25.0,🚀 利潤擴張,61.76999999999998,16.666666666666668,⚪ 中性觀察
1.9,N/A,2.52,-26.32,N/A,2025,6208.TWO,日揚,2026-03,150.03,206.45,-4.59,113.85,73.5999984741,🚀 利潤擴張,56.41999999999999,9.696969495928855,💎 強力關注
1.46,N/A,1.19,-36.9,N/A,2025,4747.TWO,強生,2026-03,148.33,204.17,-6.81,72.30000000000001,24.0,🚀 利潤擴張,55.839999999999975,4.979253112033195,💎 強力關注
0.13,N/A,-0.6,49.15,N/A,2025,8040.TWO,九暘,2026-03,189.01,244.44,2.65,-18.45,78.3000030518,🔄 轉虧為盈,55.43000000000001,0.0,⚪ 數據不足
2.62,-106.23%,12.33,905.92,41.95%,2025,4123.TWO,晟德,2026-03,185.42,239.47,-6.28,273.29999999999995,30.7999992371,🚀 利潤擴張,54.05000000000001,1.6904500130131723,💎 強力關注
-1.43,N/A,-3.92,-48.08,N/A,2025,6934.TW,心誠鎂,2026-03,-55.48,-2.96,-29.22,0.0,75.5,🌑 雙重衰退,52.519999999999996,0.0,⚪ 數據不足
3.29,N/A,6.82,66.34,N/A,2025,6574.TWO,霈方,2026-03,95.63,147.37,6.51,252.6,120.0,🚀 利潤擴張,51.74000000000001,7.1258907363420425,💎 強力關注
7.68,N/A,13.04,38.44,N/A,2025,7711.TW,永擎,2026-03,91.93,139.49,182.72,0.0,0.0,🚀 利潤擴張,47.56,0.0,⚪ 數據不足
1.01,N/A,1.5,-36.17,N/A,2025,3287.TWO,廣寰科,2026-03,359.48,406.06,23.54,31.8,38.5,🚀 利潤擴張,46.579999999999984,18.160377358490564,⚪ 中性觀察
0.03,N/A,5.29,544.54,N/A,2025,9949.TWO,琉園,2026-03,66.65,112.5,-17.0,146.54999999999998,24.1499996185,🚀 利潤擴張,45.849999999999994,2.4718525709826,💎 強力關注
0.46,N/A,4.85,31.64,N/A,2025,6620.TWO,漢達,2026-03,15.93,55.17,108.17,172.35,147.0,🚀 利潤擴張,39.24,12.793733681462141,✅ 穩健價值
0.08,-8.17%,0.12,-93.75,20.64%,2025,2388.TW,威盛,2026-03,264.14,300.0,-40.0,-30.6,69.6999969482,🚀 利潤擴張,35.860000000000014,0.0,⚪ 數據不足
1.19,14.95%,2.15,-5.7,50.66%,2025,3556.TWO,禾瑞亞,2026-03,156.04,190.24,1.24,81.9,56.9000015259,🏰 高護城河,34.20000000000002,10.421245700714286,💎 強力關注
0.87,N/A,2.99,91.67,N/A,2025,7821.TW,神數,2026-03,10.24,42.62,19.28,0.0,38.75,🚀 利潤擴張,32.379999999999995,0.0,⚪ 數據不足
11.94,30.89%,7.56,-17.2,35.24%,2025,2072.TWO,未知,2025-12,6.33,34.92,15.19,0.0,0.0,🚀 利潤擴張,28.590000000000003,0.0,⚪ 數據不足
-0.36,N/A,-1.89,-13.21,N/A,2025,6794.TW,向榮生技,2026-03,-3.86,23.4,-5.58,-70.05,76.0,🧐 疑業外收益,27.259999999999998,0.0,⚪ 數據不足
0.11,1.90%,-0.45,-197.83,23.39%,2025,1467.TW,南緯,2026-03,422.96,450.0,2.23,-28.950000000000003,8.1400003433,🔄 轉虧為盈,27.04000000000002,0.0,⚪ 數據不足
1.62,N/A,3.24,-27.83,N/A,2025,7768.TW,頌勝科技,2026-03,16.63,42.86,3.08,0.0,262.5,🚀 利潤擴張,26.23,0.0,⚪ 數據不足
1.62,N/A,3.24,-27.83,N/A,2025,7768.TWO,未知,2026-03,16.63,42.86,3.08,0.0,0.0,🚀 利潤擴張,26.23,0.0,⚪ 數據不足
4.33,16.93%,13.61,11.37,21.29%,2025,1623.TW,大東電,2026-03,12.42,38.11,20.5,0.0,0.0,🚀 利潤擴張,25.689999999999998,0.0,⚪ 數據不足
1.08,33.03%,2.74,-1.08,80.00%,2025,2885.TW,元大金,2026-03,62.36,83.05,6.4,105.6,69.0,🏰 高護城河,20.689999999999998,9.801136363636363,💎 強力關注
0.32,N/A,0.85,-66.0,N/A,2025,5604.TWO,中連,2026-03,25.49,45.45,0.36,33.45,31.1000003815,🚀 利潤擴張,19.960000000000004,13.946188511883408,✅ 穩健價值
0.89,N/A,0.76,-11.63,N/A,2025,6015.TWO,宏遠證,2026-03,451.29,470.83,0.56,24.599999999999998,17.3500003815,🚀 利潤擴張,19.539999999999964,10.579268525304878,💎 強力關注
-0.19,N/A,-0.61,-134.86,N/A,2025,5202.TWO,力新,2026-03,26.81,45.71,-8.35,-30.900000000000002,14.0,🚀 利潤擴張,18.900000000000002,0.0,⚪ 數據不足
0.55,45.93%,1.9,13.1,97.25%,2025,2880.TW,華南金,2026-03,22.97,41.03,4.06,70.8,47.9000015259,🏰 高護城河,18.060000000000002,10.148305408029662,💎 強力關注
0.31,8.13%,0.81,35.0,31.93%,2025,3581.TWO,博磊,2026-03,216.8,234.78,13.9,9.75,96.1999969482,🚀 利潤擴張,17.97999999999999,147.99999530492306,⚠️ 追價風險
0.2,32.37%,0.68,28.3,89.95%,2025,2836.TW,高雄銀,2026-03,16.1,33.33,14.52,25.200000000000003,12.5,🏰 高護城河,17.229999999999997,7.44047619047619,💎 強力關注
1.67,N/A,0.15,107.11,N/A,2025,4991.TWO,環宇-KY,2026-03,316.27,331.43,25.43,11.999999999999998,431.0,🚀 利潤擴張,15.160000000000025,538.75,⚠️ 追價風險
0.42,N/A,2.91,14.12,N/A,2025,7819.TWO,精誠金融,2026-03,-1.82,10.53,10.14,0.0,34.5499992371,🧐 疑業外收益,12.35,0.0,⚪ 數據不足
0.69,39.14%,1.74,-10.99,78.38%,2025,2883.TW,凱基金,2026-03,22.04,34.04,-12.26,57.14999999999999,39.6500015259,🏰 高護城河,12.0,10.406824547480317,💎 強力關注
-0.53,N/A,-2.92,-14.12,N/A,2025,6657.TW,華安,2026-03,41.94,52.29,-0.97,-109.2,34.2999992371,🚀 利潤擴張,10.350000000000001,0.0,⚪ 數據不足
7.98,60.64%,25.6,4.19,100.00%,2025,3529.TWO,力旺,2026-03,19.99,29.13,6.74,947.7,2710.0,🏰 高護城河,9.14,42.89332067109845,⚠️ 追價風險
0.23,-4.59%,-0.43,-53.57,24.77%,2025,1236.TW,宏亞,2026-03,274.7,283.33,-8.31,-14.25,25.5499992371,🔄 轉虧為盈,8.629999999999995,0.0,⚪ 數據不足
0.25,-13.99%,-3.35,-827.91,27.77%,2025,1598.TW,岱宇,2026-03,145.6,153.49,-15.19,-89.10000000000001,20.2999992371,🔄 轉虧為盈,7.890000000000015,0.0,⚪ 數據不足
0.39,N/A,4.66,24.93,N/A,2025,8272.TWO,全景軟體,2026-03,48.18,56.0,15.86,136.05,64.9000015259,🚀 利潤擴張,7.82,7.155457720606394,✅ 穩健價值
0.11,20.24%,0.38,-7.32,84.77%,2025,2901.TW,欣欣,2026-03,30.02,37.5,-2.15,13.5,22.9500007629,🏰 高護城河,7.48,25.500000847666666,⚠️ 追價風險
-0.19,N/A,-0.92,14.95,N/A,2025,4178.TWO,未知,2026-03,-11.29,-5.56,-3.6,0.0,0.0,🌑 雙重衰退,5.7299999999999995,0.0,⚪ 數據不足
-0.19,N/A,-0.92,14.95,N/A,2025,4178.TW,永笙-KY,2026-03,-11.29,-5.56,-3.6,0.0,16.6000003815,🌑 雙重衰退,5.7299999999999995,0.0,⚪ 數據不足
1.5,N/A,0.99,-38.13,N/A,2025,6195.TWO,詩肯,2026-03,109.17,114.29,-3.57,63.6,27.7000007629,🚀 利潤擴張,5.1200000000000045,6.533019047853774,✅ 穩健價值
0.63,33.61%,2.36,0.85,83.45%,2025,2886.TW,兆豐金,2026-03,12.57,16.67,-1.77,91.94999999999999,51.9000015259,🏰 高護城河,4.100000000000001,8.466558160831976,✅ 穩健價值
0.07,-7.29%,0.25,41.18,73.82%,2025,3094.TW,聯傑,2026-03,12.87,16.67,13.2,7.35,47.0,🏰 高護城河,3.8000000000000025,95.91836734693878,⚠️ 追價風險
0.24,N/A,-0.43,-326.32,N/A,2025,4939.TWO,亞電,2026-03,296.51,300.0,-8.05,-22.2,77.5999984741,🔄 轉虧為盈,3.490000000000009,0.0,⚪ 數據不足
0.73,N/A,2.56,18.52,N/A,2025,7839.TWO,達人網,2026-03,2.45,5.8,8.14,0.0,43.0,🚀 利潤擴張,3.3499999999999996,0.0,⚪ 數據不足
-0.25,N/A,0.58,-16.92,N/A,2025,7777.TWO,能率亞洲,2026-03,32.83,35.9,15.88,12.149999999999999,36.9000015259,🚀 利潤擴張,3.0700000000000003,45.555557439382724,⚠️ 追價風險
0.89,2.03%,2.35,-27.47,64.17%,2025,2941.TWO,米斯特,2026-03,68.9,71.15,12.71,100.35000000000001,30.0,🏰 高護城河,2.25,4.484304932735426,✅ 穩健價值
