prev_eps_yoy,date,est_price,name,prev_eps,pe,advice,gm,eps_yoy,symbol,expansion,status,om,prev_year,price,eps,rev_yoy,prev_rev_yoy
130.34,2025-12,105.44999999999999,山林水,2.05,5.206258673413941,💎 強力關注,N/A,177.17,8473.TW,125.85999999999999,🚀 利潤擴張,N/A,2025,36.5999984741,2.55,51.31,62.88
-40.53,2025-12,69.75,穩懋,1.57,120.43010752688171,⚠️ 追價風險,31.80%,120.99,3105.TWO,125.67999999999999,🧐 疑業外收益,13.87%,2025,560.0,4.0,-4.69,-13.87
128.33,2025-12,43.650000000000006,安鈦克,0.66,10.738831615120274,💎 強力關注,N/A,142.59,6276.TWO,122.4,🚀 利潤擴張,N/A,2025,31.25,0.92,20.19,28.81
111.76,2025-12,3.75,瑞利,0.04,29.2000007628,⚠️ 追價風險,28.43%,127.94,1512.TW,119.85,🚀 利潤擴張,-3.62%,2025,7.3000001907,0.19,8.09,2.64
425.0,2025-12,67.5,綠意,1.04,6.644444359666667,💎 強力關注,32.97%,177.61,2596.TWO,117.96000000000001,🚀 利潤擴張,26.41%,2025,29.8999996185,1.86,59.65,217.33
190.91,2025-12,10.350000000000001,泰霖,0.2,41.30434782608695,⚠️ 追價風險,N/A,139.29,8080.TWO,116.91,🚀 利潤擴張,N/A,2025,28.5,0.12,22.38,34.06
97.22,2025-12,0.6000000000000001,氣立,-0.02,977.4999618524997,⚠️ 追價風險,31.93%,122.09,4555.TW,114.62,🔄 轉虧為盈,2.93%,2025,39.0999984741,0.19,7.47,8.77
55.56,2025-12,-7.5,瑞築,-0.12,0.0,⚪ 數據不足,N/A,23.33,6198.TWO,113.42999999999999,🧐 疑業外收益,N/A,2025,22.25,-0.23,-90.1,-92.7
-14.81,2025-12,5.250000000000002,中美實,0.23,28.399998801142846,⚠️ 追價風險,35.38%,51.72,4702.TWO,113.31,🧐 疑業外收益,-88.29%,2025,9.9399995804,0.88,-61.59,-60.26
19.56,2025-12,592.05,威剛,10.08,10.070939954395744,💎 強力關注,48.37%,144.7,3260.TWO,112.57,🚀 利潤擴張,35.36%,2025,397.5,23.18,32.13,22.8
28.07,2025-12,-17.700000000000003,千興,-0.41,0.0,⚪ 數據不足,-19.82%,87.32,2025.TW,109.96,🧐 疑業外收益,14.50%,2025,11.5,-0.18,-22.64,-15.81
104.35,2025-12,-4.95,大拓-KY,0.02,0.0,⚪ 數據不足,N/A,102.7,8455.TWO,109.10000000000001,🧐 疑業外收益,N/A,2025,20.3999996185,0.02,-6.4,-7.04
50.67,2025-12,-5.399999999999999,佳龍,-0.37,0.0,⚪ 數據不足,N/A,134.62,9955.TW,108.56,🔄 轉虧為盈,N/A,2025,29.5499992371,0.54,26.06,17.8
-46.86,2025-12,279.75000000000006,十銓,3.47,13.404825737265414,✅ 穩健價值,N/A,110.31,4967.TW,107.85000000000001,🚀 利潤擴張,N/A,2025,250.0,13.06,2.46,-15.55
