prev_rev_yoy,rev_yoy,pe,prev_year,est_price,expansion,prev_eps,price,date,status,prev_eps_yoy,gm,name,symbol,eps_yoy,om,eps,advice
10.14,-1.82,0.0,2025,0.0,12.35,2.91,41.5499992371,2026-03,🧐 疑業外收益,14.12,N/A,精誠金融,7819.TWO,10.53,N/A,0.42,⚪ 數據不足
-12.26,22.04,7.821522109475066,2025,57.14999999999999,12.0,1.74,29.7999992371,2026-03,🏰 高護城河,-10.99,78.38%,凱基金,2883.TW,34.04,39.14%,0.69,💎 強力關注
-0.97,41.94,0.0,2025,-109.2,10.350000000000001,-2.92,35.3499984741,2026-03,🚀 利潤擴張,-14.12,N/A,華安,6657.TW,52.29,N/A,-0.53,⚪ 數據不足
6.74,19.99,50.174105729661285,2025,947.7,9.14,25.6,3170.0,2026-03,🏰 高護城河,4.19,100.00%,力旺,3529.TWO,29.13,60.64%,7.98,⚠️ 追價風險
-8.31,274.7,0.0,2025,-14.25,8.629999999999995,-0.43,25.7999992371,2026-03,🔄 轉虧為盈,-53.57,24.77%,宏亞,1236.TW,283.33,-4.59%,0.23,⚪ 數據不足
-15.19,145.6,0.0,2025,-89.10000000000001,7.890000000000015,-3.35,19.4500007629,2026-03,🔄 轉虧為盈,-827.91,27.77%,岱宇,1598.TW,153.49,-13.99%,0.25,⚪ 數據不足
15.86,48.18,7.695700446725469,2025,136.05,7.82,4.66,69.8000030518,2026-03,🚀 利潤擴張,24.93,N/A,全景軟體,8272.TWO,56.0,N/A,0.39,✅ 穩健價值
-2.15,30.02,26.444443596777777,2025,13.5,7.48,0.38,23.7999992371,2026-03,🏰 高護城河,-7.32,84.77%,欣欣,2901.TW,37.5,20.24%,0.11,⚠️ 追價風險
-3.6,-11.29,0.0,2025,0.0,5.7299999999999995,-0.92,0.0,2026-03,🌑 雙重衰退,14.95,N/A,未知,4178.TWO,-5.56,N/A,-0.19,⚪ 數據不足
-3.6,-11.29,0.0,2025,0.0,5.7299999999999995,-0.92,17.2999992371,2026-03,🌑 雙重衰退,14.95,N/A,永笙-KY,4178.TW,-5.56,N/A,-0.19,⚪ 數據不足
-3.57,109.17,6.332547259787735,2025,63.6,5.1200000000000045,0.99,26.8500003815,2026-03,🚀 利潤擴張,-38.13,N/A,詩肯,6195.TWO,114.29,N/A,1.5,✅ 穩健價值
-1.77,12.57,7.267536580277326,2025,91.94999999999999,4.100000000000001,2.36,44.5499992371,2026-03,🏰 高護城河,0.85,83.45%,兆豐金,2886.TW,16.67,33.61%,0.63,✅ 穩健價值
13.2,12.87,92.34693877551021,2025,7.35,3.8000000000000025,0.25,45.25,2026-03,🏰 高護城河,41.18,73.82%,聯傑,3094.TW,16.67,-7.29%,0.07,⚠️ 追價風險
-8.05,296.51,0.0,2025,-22.2,3.490000000000009,-0.43,62.5999984741,2026-03,🔄 轉虧為盈,-326.32,N/A,亞電,4939.TWO,300.0,N/A,0.24,⚪ 數據不足
8.14,2.45,0.0,2025,0.0,3.3499999999999996,2.56,44.5499992371,2026-03,🚀 利潤擴張,18.52,N/A,達人網,7839.TWO,5.8,N/A,0.73,⚪ 數據不足
15.88,32.83,50.98765337913581,2025,12.149999999999999,3.0700000000000003,0.58,41.2999992371,2026-03,🚀 利潤擴張,-16.92,N/A,能率亞洲,7777.TWO,35.9,N/A,-0.25,⚠️ 追價風險
12.71,68.9,5.044843049327354,2025,100.35000000000001,2.25,2.35,33.75,2026-03,🏰 高護城河,-27.47,64.17%,米斯特,2941.TWO,71.15,2.03%,0.89,✅ 穩健價值
-2.09,36.86,6.063218500402299,2025,26.1,2.030000000000001,0.61,10.5500001907,2026-03,🏰 高護城河,-35.48,91.47%,王道銀行,2897.TW,38.89,32.72%,0.28,✅ 穩健價值
1.27,42.24,0.0,2025,-73.20000000000002,0.9399999999999977,-1.59,24.0,2026-03,🚀 利潤擴張,67.52,N/A,佐登-KY,4190.TW,43.18,N/A,-0.26,⚪ 數據不足
