prev_eps_yoy,status,price,advice,date,om,prev_rev_yoy,name,pe,eps,symbol,rev_yoy,expansion,eps_yoy,est_price,prev_year,prev_eps,gm
-169.49,🔄 轉虧為盈,24.1499996185,⚪ 數據不足,2026-03,-21.33%,-18.58,宏佳騰,0.0,0.28,1599.TWO,486.21,88.79000000000002,575.0,-24.299999999999994,2025,-0.84,16.92%
17.57,🔄 轉虧為盈,55.0,⚪ 數據不足,2026-03,-58.34%,0.19,中裕,0.0,0.06,4147.TWO,81.97,84.69999999999999,166.67,-18.3,2025,-0.61,28.91%
-51.9,🚀 利潤擴張,44.1500015259,💎 強力關注,2026-03,13.17%,-14.02,昭輝,6.7714726266717795,2.78,1339.TW,102.97,83.63,186.6,97.8,2025,2.41,33.66%
78.06,🚀 利潤擴張,54.9000015259,💎 強力關注,2026-03,3.76%,15.32,偉詮電,10.05494533441392,0.7,2436.TW,309.82,83.04000000000002,392.86,81.9,2025,3.02,30.84%
-50.67,🚀 利潤擴張,92.5,⚠️ 追價風險,2026-03,N/A,-8.83,威鋒電子,30.52805280528053,0.64,6756.TW,97.11,81.14999999999999,178.26,45.449999999999996,2025,1.11,N/A
-64.44,🏰 高護城河,74.0999984741,✅ 穩健價值,2026-03,20.17%,2.09,宇峻,14.249999706557695,2.34,3546.TWO,62.07,74.29000000000002,136.36,77.99999999999999,2025,1.97,89.44%
96.29,🚀 利潤擴張,80.0,⚪ 數據不足,2026-03,N/A,22.72,奧義賽博-KY創,0.0,-0.15,7823.TW,26.64,73.29,99.93,0.0,2025,-1.49,N/A
-99.18,🌑 雙重衰退,13.5500001907,⚪ 數據不足,2026-03,N/A,19.25,昱泉,0.0,-0.68,6169.TWO,-97.71,71.78,-25.93,-96.44999999999999,2025,-2.43,N/A
-91.14,🚀 利潤擴張,15.8500003815,⚪ 數據不足,2026-03,N/A,0.63,冠好,0.0,0.3,8354.TWO,578.38,71.62,650.0,-17.549999999999997,2025,0.14,N/A
-5.15,🚀 利潤擴張,66.5,✅ 穩健價值,2026-03,0.20%,22.56,台聯電,14.0,1.75,4905.TWO,315.9,70.21000000000004,386.11,71.25,2025,2.76,25.49%
