om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
81.17%,220.0,0.06,太景*-KY,9.2600002289,⚪ 數據不足,4157.TWO,98.33%,-0.22,-79.84,2025,72.24,🔄 轉虧為盈,2025-12,0.0,147.76,-5.8500000000000005,-1000.0
22.84%,141.94,0.13,海灣,19.0,⚠️ 追價風險,3252.TWO,43.11%,-0.1,-4.86,2025,-3.71,🔄 轉虧為盈,2025-12,118.75,145.65,2.4,54.55
1.68%,209.26,1.7,精確,90.5,⚪ 中性觀察,3162.TWO,11.59%,1.25,89.71,2025,65.48,🚀 利潤擴張,2025-12,20.24608501118568,143.77999999999997,67.05000000000001,292.31
-0.68%,133.62,2.71,TPK-KY,59.7999992371,💎 強力關注,3673.TW,5.83%,2.56,-8.66,2025,-8.77,🧐 疑業外收益,2025-12,8.375350033207283,142.39000000000001,107.1,55.15
N/A,119.51,0.08,中湛,19.0499992371,⚠️ 追價風險,6236.TWO,N/A,0.05,-18.24,2025,-20.68,🧐 疑業外收益,2025-12,70.55555272999999,140.19,4.050000000000001,111.11
N/A,180.65,0.25,天擎,42.7999992371,⚠️ 追價風險,6708.TWO,N/A,0.05,48.16,2025,42.33,🚀 利潤擴張,2025-12,99.5348819467442,138.32,6.449999999999999,119.23
N/A,104.91,0.17,立凱-KY,21.0,⚠️ 追價風險,5227.TWO,N/A,2.99,-19.06,2025,-32.24,🧐 疑業外收益,2025-12,33.333333333333314,137.15,9.450000000000005,199.67
N/A,152.21,0.71,點序,84.1999969482,⚠️ 追價風險,6485.TWO,N/A,-0.32,14.7,2025,16.84,🔄 轉虧為盈,2025-12,66.82539440333333,135.37,18.9,70.64
39.15%,229.88,2.13,南亞科,301.0,⚪ 數據不足,2408.TW,49.05%,-1.45,32.43,2025,95.09,🔄 轉虧為盈,2025-12,0.0,134.79,-28.5,-28.32
5.14%,178.19,7.11,鑫聯大投控,89.0999984741,💎 強力關注,3709.TWO,8.09%,3.61,55.41,2025,44.32,🚀 利潤擴張,2025-12,6.503649523656934,133.87,205.50000000000003,167.46
-223.66%,58.98,-1.11,德晉,39.75,⚪ 數據不足,3466.TWO,-8.98%,-0.81,-68.41,2025,-72.48,🧐 疑業外收益,2025-12,0.0,131.46,-57.45,65.77
41.27%,645.65,3.44,聯亞,2780.0,⚠️ 追價風險,3081.TWO,54.76%,4.66,82.29,2025,515.18,🏰 高護城河,2026-03,227.8688524590164,130.47000000000003,183.0,884.75
-456.27%,54.11,-0.95,太極,18.2999992371,⚪ 數據不足,4934.TW,-156.07%,-0.67,-81.44,2025,-75.71,🧐 疑業外收益,2025-12,0.0,129.82,-35.85,16.25
6.32%,108.46,3.56,榮運,48.4000015259,💎 強力關注,2607.TW,18.52%,2.72,-19.69,2025,-19.52,🧐 疑業外收益,2025-12,5.569620428757193,127.97999999999999,130.35,139.38
N/A,159.21,8.61,青雲,439.5,⚠️ 追價風險,5386.TWO,N/A,3.03,12.38,2025,32.59,🚀 利潤擴張,2025-12,28.725490196078432,126.62,229.49999999999997,103.38
N/A,161.27,3.76,美好證,35.4000015259,💎 強力關注,6021.TWO,N/A,2.46,13.11,2025,35.14,🚀 利潤擴張,2025-12,7.990970999074493,126.13000000000001,66.44999999999999,128.3
-3.44%,155.22,0.74,曜越,0.0,⚪ 數據不足,3540.TWO,27.46%,0.47,30.74,2025,29.09,🚀 利潤擴張,2025-12,0.0,126.13,0.0,147.47
N/A,177.17,2.55,山林水,34.2000007629,💎 強力關注,8473.TW,N/A,2.05,62.88,2025,51.31,🚀 利潤擴張,2025-12,4.86486497338549,125.85999999999999,105.44999999999999,130.34
13.87%,120.99,4.0,穩懋,526.0,⚠️ 追價風險,3105.TWO,31.80%,1.57,-13.87,2025,-4.69,🧐 疑業外收益,2025-12,113.11827956989247,125.67999999999999,69.75,-40.53
N/A,142.59,0.92,安鈦克,30.5,💎 強力關注,6276.TWO,N/A,0.66,28.81,2025,20.19,🚀 利潤擴張,2025-12,10.481099656357388,122.4,43.650000000000006,128.33
-3.62%,127.94,0.19,瑞利,7.2100000381,⚠️ 追價風險,1512.TW,28.43%,0.04,2.64,2025,8.09,🚀 利潤擴張,2025-12,28.8400001524,119.85,3.75,111.76
26.41%,177.61,1.86,綠意,29.5,💎 強力關注,2596.TWO,32.97%,1.04,217.33,2025,59.65,🚀 利潤擴張,2025-12,6.555555555555555,117.96000000000001,67.5,425.0
