date,eps,advice,prev_year,prev_eps,symbol,status,name,expansion,est_price,prev_rev_yoy,gm,price,prev_eps_yoy,pe,rev_yoy,om,eps_yoy
2026-03,3.29,💎 強力關注,2025,6.82,6574.TWO,🚀 利潤擴張,霈方,51.74000000000001,252.6,6.51,N/A,121.5,66.34,7.214964370546318,95.63,N/A,147.37
2026-03,7.68,⚪ 數據不足,2025,13.04,7711.TW,🚀 利潤擴張,永擎,47.56,0.0,182.72,N/A,0.0,38.44,0.0,91.93,N/A,139.49
2026-03,1.01,⚪ 中性觀察,2025,1.5,3287.TWO,🚀 利潤擴張,廣寰科,46.579999999999984,31.8,23.54,N/A,38.0999984741,-36.17,17.971697393443396,359.48,N/A,406.06
2026-03,0.03,💎 強力關注,2025,5.29,9949.TWO,🚀 利潤擴張,琉園,45.849999999999994,146.54999999999998,-17.0,N/A,24.2000007629,544.54,2.476970395383828,66.65,N/A,112.5
2026-03,0.46,💎 強力關注,2025,4.85,6620.TWO,🚀 利潤擴張,漢達,39.24,172.35,108.17,N/A,92.9000015259,31.64,8.08529169067885,15.93,N/A,55.17
2026-03,0.08,⚪ 數據不足,2025,0.12,2388.TW,🚀 利潤擴張,威盛,35.860000000000014,-30.6,-40.0,20.64%,72.6999969482,-93.75,0.0,264.14,-8.17%,300.0
2026-03,1.19,💎 強力關注,2025,2.15,3556.TWO,🏰 高護城河,禾瑞亞,34.20000000000002,81.9,1.24,50.66%,61.5999984741,-5.7,11.282051002582417,156.04,14.95%,190.24
2026-03,0.87,⚪ 數據不足,2025,2.99,7821.TW,🚀 利潤擴張,神數,32.379999999999995,0.0,19.28,N/A,39.0999984741,91.67,0.0,10.24,N/A,42.62
2025-12,11.94,⚪ 數據不足,2025,7.56,2072.TWO,🚀 利潤擴張,未知,28.590000000000003,0.0,15.19,35.24%,0.0,-17.2,0.0,6.33,30.89%,34.92
2026-03,-0.36,⚪ 數據不足,2025,-1.89,6794.TW,🧐 疑業外收益,向榮生技,27.259999999999998,-70.05,-5.58,N/A,77.9000015259,-13.21,0.0,-3.86,N/A,23.4
2026-03,0.11,⚪ 數據不足,2025,-0.45,1467.TW,🔄 轉虧為盈,南緯,27.04000000000002,-28.950000000000003,2.23,23.39%,8.3800001144,-197.83,0.0,422.96,1.90%,450.0
2026-03,1.62,⚪ 數據不足,2025,3.24,7768.TW,🚀 利潤擴張,頌勝科技,26.23,0.0,3.08,N/A,291.5,-27.83,0.0,16.63,N/A,42.86
2026-03,1.62,⚪ 數據不足,2025,3.24,7768.TWO,🚀 利潤擴張,未知,26.23,0.0,3.08,N/A,0.0,-27.83,0.0,16.63,N/A,42.86
2026-03,4.33,⚪ 數據不足,2025,13.61,1623.TW,🚀 利潤擴張,大東電,25.689999999999998,0.0,20.5,21.29%,0.0,11.37,0.0,12.42,16.93%,38.11
2026-03,1.08,💎 強力關注,2025,2.74,2885.TW,🏰 高護城河,元大金,20.689999999999998,105.6,6.4,80.00%,65.4000015259,-1.08,9.289772944019886,62.36,33.03%,83.05
2026-03,0.32,✅ 穩健價值,2025,0.85,5604.TWO,🚀 利潤擴張,中連,19.960000000000004,33.45,0.36,N/A,30.8500003815,-66.0,13.834080888565023,25.49,N/A,45.45
2026-03,0.89,💎 強力關注,2025,0.76,6015.TWO,🚀 利潤擴張,宏遠證,19.539999999999964,24.599999999999998,0.56,N/A,16.2000007629,-11.63,9.878049245670733,451.29,N/A,470.83
2026-03,-0.19,⚪ 數據不足,2025,-0.61,5202.TWO,🚀 利潤擴張,力新,18.900000000000002,-30.900000000000002,-8.35,N/A,11.9499998093,-134.86,0.0,26.81,N/A,45.71
2026-03,0.55,💎 強力關注,2025,1.9,2880.TW,🏰 高護城河,華南金,18.060000000000002,70.8,4.06,97.25%,41.3499984741,13.1,8.760592897055085,22.97,45.93%,41.03
2026-03,0.31,⚠️ 追價風險,2025,0.81,3581.TWO,🚀 利潤擴張,博磊,17.97999999999999,9.75,13.9,31.93%,107.0,35.0,164.6153846153846,216.8,8.13%,234.78
2026-03,0.2,💎 強力關注,2025,0.68,2836.TW,🏰 高護城河,高雄銀,17.229999999999997,25.200000000000003,14.52,89.95%,11.8500003815,28.3,7.0535716556547605,16.1,32.37%,33.33
2026-03,1.67,⚠️ 追價風險,2025,0.15,4991.TWO,🚀 利潤擴張,環宇-KY,15.160000000000025,11.999999999999998,25.43,N/A,539.0,107.11,673.75,316.27,N/A,331.43
2026-03,0.42,⚪ 數據不足,2025,2.91,7819.TWO,🧐 疑業外收益,精誠金融,12.35,0.0,10.14,N/A,34.5999984741,14.12,0.0,-1.82,N/A,10.53
2026-03,0.69,💎 強力關注,2025,1.74,2883.TW,🏰 高護城河,凱基金,12.0,57.14999999999999,-12.26,78.38%,33.8499984741,-10.99,8.884514035196851,22.04,39.14%,34.04
2026-03,-0.53,⚪ 數據不足,2025,-2.92,6657.TW,🚀 利潤擴張,華安,10.350000000000001,-109.2,-0.97,N/A,29.8999996185,-14.12,0.0,41.94,N/A,52.29
2026-03,7.98,⚠️ 追價風險,2025,25.6,3529.TWO,🏰 高護城河,力旺,9.14,947.7,6.74,100.00%,2400.0,4.19,37.98670465337132,19.99,60.64%,29.13
2026-03,0.23,⚪ 數據不足,2025,-0.43,1236.TW,🔄 轉虧為盈,宏亞,8.629999999999995,-14.25,-8.31,24.77%,25.7000007629,-53.57,0.0,274.7,-4.59%,283.33
2026-03,0.25,⚪ 數據不足,2025,-3.35,1598.TW,🔄 轉虧為盈,岱宇,7.890000000000015,-89.10000000000001,-15.19,27.77%,20.25,-827.91,0.0,145.6,-13.99%,153.49
2026-03,0.39,✅ 穩健價值,2025,4.66,8272.TWO,🚀 利潤擴張,全景軟體,7.82,136.05,15.86,N/A,62.5,24.93,6.890848952590959,48.18,N/A,56.0
2026-03,0.11,⚠️ 追價風險,2025,0.38,2901.TW,🏰 高護城河,欣欣,7.48,13.5,-2.15,84.77%,23.3999996185,-7.32,25.99999957611111,30.02,20.24%,37.5
2026-03,-0.19,⚪ 數據不足,2025,-0.92,4178.TWO,🌑 雙重衰退,未知,5.7299999999999995,0.0,-3.6,N/A,0.0,14.95,0.0,-11.29,N/A,-5.56
2026-03,-0.19,⚪ 數據不足,2025,-0.92,4178.TW,🌑 雙重衰退,永笙-KY,5.7299999999999995,0.0,-3.6,N/A,17.2000007629,14.95,0.0,-11.29,N/A,-5.56
2026-03,1.5,✅ 穩健價值,2025,0.99,6195.TWO,🚀 利潤擴張,詩肯,5.1200000000000045,63.6,-3.57,N/A,28.2999992371,-38.13,6.674528121957547,109.17,N/A,114.29
2026-03,0.63,✅ 穩健價值,2025,2.36,2886.TW,🏰 高護城河,兆豐金,4.100000000000001,91.94999999999999,-1.77,83.45%,48.5499992371,0.85,7.920065128401307,12.57,33.61%,16.67
