prev_eps,advice,om,status,symbol,eps_yoy,prev_rev_yoy,name,expansion,gm,prev_eps_yoy,pe,price,est_price,eps,rev_yoy,date,prev_year
3.03,⚠️ 追價風險,N/A,🚀 利潤擴張,5386.TWO,159.21,12.38,青雲,126.62,N/A,103.38,35.88235294117647,549.0,229.49999999999997,8.61,32.59,2025-12,2025
2.46,💎 強力關注,N/A,🚀 利潤擴張,6021.TWO,161.27,13.11,美好證,126.13000000000001,N/A,128.3,7.279909706546276,32.25,66.44999999999999,3.76,35.14,2025-12,2025
0.47,⚪ 數據不足,-3.44%,🚀 利潤擴張,3540.TWO,155.22,30.74,曜越,126.13,27.46%,147.47,0.0,0.0,0.0,0.74,29.09,2025-12,2025
2.05,💎 強力關注,N/A,🚀 利潤擴張,8473.TW,177.17,62.88,山林水,125.85999999999999,N/A,130.34,5.988619982091039,42.0999984741,105.44999999999999,2.55,51.31,2025-12,2025
1.57,⚠️ 追價風險,13.87%,🧐 疑業外收益,3105.TWO,120.99,-13.87,穩懋,125.67999999999999,31.80%,-40.53,120.86021505376343,562.0,69.75,4.0,-4.69,2025-12,2025
0.66,💎 強力關注,N/A,🚀 利潤擴張,6276.TWO,142.59,28.81,安鈦克,122.4,N/A,128.33,9.484536213573882,27.6000003815,43.650000000000006,0.92,20.19,2025-12,2025
0.04,⚠️ 追價風險,-3.62%,🚀 利潤擴張,1512.TW,127.94,2.64,瑞利,119.85,28.43%,111.76,27.7600002288,6.9400000572,3.75,0.19,8.09,2025-12,2025
1.04,💎 強力關注,26.41%,🚀 利潤擴張,2596.TWO,177.61,217.33,綠意,117.96000000000001,32.97%,425.0,6.088888804111111,27.3999996185,67.5,1.86,59.65,2025-12,2025
0.2,⚠️ 追價風險,N/A,🚀 利潤擴張,8080.TWO,139.29,34.06,泰霖,116.91,N/A,190.91,40.28985396681159,27.7999992371,10.350000000000001,0.12,22.38,2025-12,2025
-0.02,⚠️ 追價風險,2.93%,🔄 轉虧為盈,4555.TW,122.09,8.77,氣立,114.62,31.93%,97.22,1405.0000190724998,56.2000007629,0.6000000000000001,0.19,7.47,2025-12,2025
-0.12,⚪ 數據不足,N/A,🧐 疑業外收益,6198.TWO,23.33,-92.7,瑞築,113.42999999999999,N/A,55.56,0.0,21.3500003815,-7.5,-0.23,-90.1,2025-12,2025
0.23,⚠️ 追價風險,-88.29%,🧐 疑業外收益,4702.TWO,51.72,-60.26,中美實,113.31,35.38%,-14.81,28.14285823285713,9.8500003815,5.250000000000002,0.88,-61.59,2025-12,2025
10.08,💎 強力關注,35.36%,🚀 利潤擴張,3260.TWO,144.7,22.8,威剛,112.57,48.37%,19.56,10.387636179376742,410.0,592.05,23.18,32.13,2025-12,2025
-0.41,⚪ 數據不足,14.50%,🧐 疑業外收益,2025.TW,87.32,-15.81,千興,109.96,-19.82%,28.07,0.0,12.1000003815,-17.700000000000003,-0.18,-22.64,2025-12,2025
0.02,⚪ 數據不足,N/A,🧐 疑業外收益,8455.TWO,102.7,-7.04,大拓-KY,109.10000000000001,N/A,104.35,0.0,40.0,-4.95,0.02,-6.4,2025-12,2025
-0.37,⚪ 數據不足,N/A,🔄 轉虧為盈,9955.TW,134.62,17.8,佳龍,108.56,N/A,50.67,0.0,27.8999996185,-5.399999999999999,0.54,26.06,2025-12,2025
3.47,✅ 穩健價值,N/A,🚀 利潤擴張,4967.TW,110.31,-15.55,十銓,107.85000000000001,N/A,-46.86,14.530831099195709,271.0,279.75000000000006,13.06,2.46,2025-12,2025
-0.62,⚪ 數據不足,N/A,🧐 疑業外收益,8477.TWO,53.77,-51.54,創業家,106.5,N/A,80.0,0.0,18.8999996185,-38.4,-0.92,-52.73,2025-12,2025
1.91,💎 強力關注,17.13%,🚀 利潤擴張,2501.TW,108.09,7.39,國建,106.29,26.51%,127.38,3.4499206300317966,21.7000007629,94.35,2.83,1.8,2025-12,2025
-0.75,⚪ 數據不足,N/A,🔄 轉虧為盈,6465.TWO,168.25,5.09,威潤,104.65,N/A,29.25,0.0,50.7000007629,-14.549999999999999,0.86,63.6,2025-12,2025
1.5,⚠️ 追價風險,16.62%,🚀 利潤擴張,3135.TW,143.64,34.74,凌航,103.75999999999999,19.12%,-29.03,25.743707093821516,225.0,131.09999999999997,6.33,39.88,2025-12,2025
1.55,✅ 穩健價值,N/A,🚀 利潤擴張,6150.TWO,164.15,77.79,撼訊,102.95,N/A,156.36,13.157894736842106,70.0,79.8,2.63,61.2,2025-12,2025
0.09,⚠️ 追價風險,2.26%,🚀 利潤擴張,2465.TW,107.41,32.51,麗臺,101.99,10.44%,102.43,68.12499761578124,87.1999969482,19.2,0.43,5.42,2025-12,2025
