股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
4168.TWO,-0.98%,+0.82%,+0.16%,-1.95%,-0.83%,+2.01%,+1.97%,+0.64%,-1.76%,-1.47%
4420.TWO,+0.00%,-0.33%,+0.67%,-1.33%,+1.01%,-0.50%,-0.17%,+0.84%,+0.00%,-0.67%
8227.TWO,-4.18%,+1.16%,+6.32%,+1.08%,+4.28%,+2.31%,-1.25%,-3.30%,+3.67%,-3.04%
00864B.TWO,+0.19%,-0.07%,+0.05%,-0.05%,-0.02%,-0.46%,+0.24%,+0.24%,-0.05%,+0.00%
5291.TWO,-0.31%,+0.16%,+0.31%,-0.16%,-0.31%,-0.47%,+0.63%,-0.16%,+0.47%,+0.78%
6109.TWO,-1.22%,+0.31%,+1.23%,-0.91%,-2.15%,+2.51%,+3.67%,+0.00%,-1.77%,-0.90%
6725.TWO,-2.88%,+0.00%,+3.90%,-3.45%,-0.16%,+0.47%,-0.78%,+0.78%,-4.65%,+5.04%
8455.TWO,+6.82%,-3.96%,+0.00%,+0.00%,-0.92%,+0.00%,-0.93%,+9.35%,-6.84%,+0.00%
4130.TWO,-1.62%,+3.11%,+3.02%,+1.90%,+0.51%,+2.86%,+2.45%,+0.48%,-2.07%,-3.73%
3205.TWO,-1.71%,+0.62%,+2.46%,+0.00%,+0.72%,+8.71%,+9.99%,-0.60%,-3.31%,+1.77%
6894.TWO,-1.37%,+2.89%,-1.69%,+0.57%,+1.70%,+3.35%,+0.81%,-0.27%,+0.54%,+0.53%
6125.TWO,-1.22%,+1.59%,+2.09%,+0.34%,+0.34%,+2.03%,+2.82%,+1.29%,+4.15%,-1.84%
6220.TWO,+0.55%,+0.37%,+0.00%,-0.36%,-0.18%,+0.55%,+0.36%,+0.00%,-0.36%,-0.73%
4582.TWO,+0.16%,-1.27%,-0.48%,+0.81%,+0.16%,-1.44%,+0.32%,+0.00%,-0.65%,+0.49%
3095.TWO,+0.96%,-3.55%,+0.25%,-2.94%,+2.27%,+5.68%,+2.34%,+0.23%,+0.23%,-4.32%
4911.TWO,-0.71%,+3.84%,+3.15%,-1.33%,-0.94%,+4.07%,+1.30%,-0.90%,-0.78%,+2.09%
6198.TWO,+10.00%,+9.97%,+6.04%,+4.80%,-2.00%,-0.88%,+0.44%,-6.89%,+2.83%,+8.73%
6884.TWO,+0.00%,-4.42%,-0.50%,+0.00%,-0.88%,+4.94%,-4.83%,+0.00%,+3.30%,-3.44%
6922.TWO,-4.46%,-1.33%,-0.68%,-1.36%,+0.69%,-1.71%,-1.05%,+1.41%,+0.00%,+4.86%
4194.TWO,-0.57%,-2.01%,+2.35%,+1.58%,-0.99%,-0.14%,-0.43%,-2.44%,+0.15%,-1.47%
8255.TWO,-1.19%,+2.11%,-0.29%,+0.89%,+0.29%,+0.00%,+2.63%,-1.14%,-3.17%,-0.30%
6612.TWO,-6.19%,+0.94%,+1.87%,-1.22%,+0.31%,+9.88%,-1.69%,+0.00%,-2.29%,-5.56%
6560.TWO,-0.15%,+0.59%,-1.17%,+0.00%,+0.00%,-1.18%,-0.15%,-1.20%,+3.19%,-0.44%
8299.TWO,-4.36%,+3.18%,+4.28%,-0.13%,-0.13%,-0.13%,+1.03%,+0.77%,-0.89%,+1.66%
6144.TWO,-0.34%,+0.00%,+1.03%,+4.08%,+2.29%,+0.32%,-1.59%,-0.65%,+0.33%,+0.65%
3555.TWO,-0.19%,-0.19%,+0.75%,-0.75%,-0.38%,+0.38%,+1.13%,-0.93%,+0.75%,+0.00%
3551.TWO,-0.65%,+0.16%,+0.66%,+1.31%,+2.25%,+0.79%,-0.78%,-0.63%,-0.79%,-0.32%
3570.TWO,-2.38%,+0.00%,+1.74%,+1.71%,-1.01%,+0.00%,-1.70%,+1.04%,-0.68%,-0.34%
2949.TWO,-1.48%,-1.13%,+0.38%,+2.27%,+0.74%,+0.00%,+0.00%,-4.41%,+2.31%,+5.64%
3207.TWO,+1.43%,+9.99%,-6.64%,+1.62%,-0.61%,+0.25%,+1.23%,-0.16%,-2.25%,-2.30%
6470.TWO,-1.51%,+3.07%,+1.16%,-1.47%,-1.16%,+3.70%,+2.27%,+0.32%,-1.42%,+2.08%
3067.TWO,-0.80%,+0.00%,+0.00%,+0.00%,+0.00%,+4.56%,-9.74%,+0.00%,+0.00%,+9.94%
4939.TWO,-1.45%,-0.29%,-0.30%,+0.30%,+0.29%,+1.76%,+0.29%,+0.00%,-1.15%,-0.58%
8401.TWO,-1.18%,-0.95%,+0.72%,+0.00%,-0.24%,+0.24%,+0.00%,-0.72%,+0.48%,+0.00%
3567.TWO,+0.00%,+0.67%,+0.33%,+0.17%,+0.00%,+0.17%,-0.17%,+0.00%,+0.33%,+1.99%
3678.TWO,-1.92%,+2.10%,+5.48%,-2.21%,+0.27%,+0.40%,+0.53%,-2.76%,-0.40%,+2.98%
4577.TWO,+0.16%,-0.16%,+0.49%,+0.65%,-0.16%,+0.00%,-0.16%,+0.32%,+0.16%,-0.81%
2640.TWO,-3.41%,+2.75%,+3.44%,+3.32%,-3.57%,-1.11%,-0.37%,-0.75%,+4.17%,-0.36%
6616.TWO,-0.72%,+0.00%,+0.36%,+0.36%,-0.36%,+0.00%,-0.36%,+1.08%,+1.79%,+0.00%
3217.TWO,-2.91%,+2.00%,+3.43%,-0.47%,+0.95%,+0.94%,-0.47%,+0.47%,+0.00%,-1.40%
4172.TWO,-1.34%,-1.90%,-0.28%,+0.00%,-0.83%,-0.56%,+0.56%,+2.51%,-1.91%,+0.56%
3492.TWO,-0.51%,+1.28%,-0.25%,-0.51%,+0.00%,+0.25%,-1.27%,+0.51%,-1.79%,+0.52%
6555.TWO,-7.55%,+1.63%,+3.54%,-2.33%,+5.41%,-1.96%,-0.92%,+1.09%,-0.46%,-1.08%
1594.TWO,-0.98%,-1.09%,-3.90%,-0.52%,+0.00%,+3.87%,+0.10%,+0.00%,-3.83%,+0.00%
6134.TWO,+1.34%,+1.10%,-0.87%,+0.66%,-0.44%,+3.30%,+2.77%,-1.24%,-1.47%,-1.70%
4534.TWO,-0.53%,-0.21%,+0.53%,+2.21%,+0.10%,+1.85%,+1.52%,-0.50%,+0.50%,-0.50%
6833.TWO,+0.17%,-0.84%,+0.85%,-0.84%,-1.02%,-0.86%,+2.94%,-2.35%,+1.03%,+0.00%
5236.TWO,-0.45%,+0.46%,+0.91%,+0.56%,+1.34%,+0.66%,+6.79%,+0.62%,+0.41%,-0.30%
4113.TWO,+0.00%,-0.62%,+0.31%,-0.31%,+0.00%,+0.93%,+0.31%,+0.31%,+0.00%,+0.00%
4131.TWO,+1.19%,-1.85%,+2.57%,-1.67%,+0.00%,-0.34%,-1.19%,+0.00%,-3.10%,-1.07%
6462.TWO,+2.93%,+0.95%,+0.70%,+0.23%,-2.33%,+0.95%,+0.35%,-0.35%,-0.12%,-0.24%
3687.TWO,-3.49%,+0.70%,+1.62%,-1.94%,-3.49%,+1.57%,+2.02%,-0.58%,-1.75%,-1.43%
6899.TWO,-0.50%,+1.89%,-0.49%,-0.50%,+1.25%,+0.37%,-0.25%,+0.25%,-0.61%,-0.74%
3147.TWO,-2.19%,+0.48%,+1.59%,+2.35%,-2.14%,+1.56%,+1.08%,-3.35%,-0.31%,-0.32%
3520.TWO,-4.73%,-1.57%,+0.80%,-0.79%,+0.27%,+2.91%,+1.80%,+1.26%,-1.00%,-2.27%
4523.TWO,-1.17%,+2.66%,+9.94%,+3.93%,-1.13%,-2.04%,-0.78%,-0.52%,-0.92%,+0.27%
6911.TWO,+2.36%,-0.69%,-0.47%,+0.82%,+0.00%,-0.70%,+0.58%,+0.12%,+0.00%,-2.43%
6156.TWO,-0.51%,+0.26%,+1.54%,-1.01%,-1.02%,+1.29%,+0.51%,+0.00%,-0.25%,-0.76%
6506.TWO,+0.00%,+0.52%,+0.26%,-0.26%,+0.26%,-0.26%,+0.26%,-0.26%,+0.00%,+0.00%
4702.TWO,-1.45%,-1.48%,+4.87%,-0.71%,-0.36%,+4.33%,-1.04%,+0.00%,+0.35%,-3.48%
2740.TWO,-8.18%,+0.00%,+0.00%,+0.00%,+0.00%,+2.73%,-1.62%,+0.59%,-1.87%,-0.48%
2942.TWO,+0.00%,-1.02%,-0.69%,+0.12%,+0.58%,-0.11%,-1.04%,+2.09%,-1.59%,+1.04%
2237.TWO,+0.82%,+2.04%,+1.07%,-1.98%,+3.36%,-1.43%,-1.06%,-1.33%,+0.00%,+0.95%
5487.TWO,-2.64%,+0.97%,+8.83%,-4.76%,+3.15%,+0.18%,+1.43%,-1.77%,+9.89%,-10.80%
4549.TWO,-3.65%,+4.00%,-0.61%,-0.41%,+0.72%,+0.61%,+0.00%,-0.51%,-0.10%,+0.00%
6622.TWO,+0.00%,-2.22%,-1.52%,+0.00%,-1.15%,-2.33%,+0.00%,-0.60%,-0.60%,+0.40%
6798.TWO,+2.47%,-0.32%,-6.45%,+2.07%,+0.51%,-2.86%,-1.04%,-0.70%,+0.35%,+2.63%
