date,gm,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,est_price,prev_year,price,name,expansion,symbol,status,advice,om,rev_yoy,pe,eps_yoy
2025-12,N/A,-0.92,-0.62,80.0,-51.54,-38.4,2025,14.0500001907,創業家,106.5,8477.TWO,🧐 疑業外收益,⚪ 數據不足,N/A,-52.73,0.0,53.77
2025-12,26.51%,2.83,1.91,127.38,7.39,94.35,2025,22.75,國建,106.29,2501.TW,🚀 利潤擴張,💎 強力關注,17.13%,1.8,3.616852146263911,108.09
2025-12,N/A,0.86,-0.75,29.25,5.09,-14.549999999999999,2025,48.4000015259,威潤,104.65,6465.TWO,🔄 轉虧為盈,⚪ 數據不足,N/A,63.6,0.0,168.25
2025-12,19.12%,6.33,1.5,-29.03,34.74,131.09999999999997,2025,172.5,凌航,103.75999999999999,3135.TW,🚀 利潤擴張,⚪ 中性觀察,16.62%,39.88,19.73684210526316,143.64
2025-12,N/A,2.63,1.55,156.36,77.79,79.8,2025,66.0,撼訊,102.95,6150.TWO,🚀 利潤擴張,✅ 穩健價值,N/A,61.2,12.406015037593987,164.15
2025-12,10.44%,0.43,0.09,102.43,32.51,19.2,2025,85.0999984741,麗臺,101.99,2465.TW,🚀 利潤擴張,⚠️ 追價風險,2.26%,5.42,66.48437380789063,107.41
2025-12,40.82%,0.54,0.34,241.67,2.58,19.05,2025,37.4500007629,誠品生活,98.16,2926.TWO,🚀 利潤擴張,⚠️ 追價風險,-1.48%,1.84,29.48818957708661,100.0
2025-12,19.55%,2.32,1.32,41.94,28.08,65.7,2025,23.25,錩泰,97.42,1541.TW,🚀 利潤擴張,💎 強力關注,7.07%,21.45,5.308219178082192,118.87
2025-12,24.41%,0.72,0.47,133.57,9.38,29.099999999999998,2025,5.9800000191,虹光,96.7,2380.TW,🚀 利潤擴張,💎 強力關注,0.24%,13.61,3.082474236649485,110.31
2025-12,N/A,1.65,0.09,103.17,54.63,-7.0500000000000025,2025,800.0,IET-KY,96.47999999999999,4971.TWO,🚀 利潤擴張,⚪ 數據不足,N/A,50.49,0.0,146.97
2025-12,N/A,0.16,0.34,116.43,7.31,-7.35,2025,11.0500001907,雙喜,96.02000000000001,5516.TWO,🚀 利潤擴張,⚪ 數據不足,N/A,8.41,0.0,104.43
2025-12,12.43%,0.16,0.37,317.65,49.52,10.65,2025,815.0,上詮,95.32,3363.TWO,🚀 利潤擴張,⚠️ 追價風險,-9.15%,38.72,1147.8873239436618,134.04
2025-12,N/A,16.13,10.13,167.2,94.38,520.3499999999999,2025,1455.0,竹陞科技,95.30000000000001,6739.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,96.69,41.94292303257423,191.99
2025-12,N/A,0.1,0.13,123.21,15.42,4.65,2025,58.9000015259,廣運,94.49000000000001,6125.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,23.69,190.00000492225809,118.18
