name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
泰偉,-7120.0,-0.27,⚪ 數據不足,2025,17.1499996185,-122.4,0.0,🏰 高護城河,63.5,93.22%,62.5,-55.72%,-1.0,-29.69,-3.51,2026-03,3064.TWO
群益證,17.33,1.34,💎 強力關注,2025,31.6000003815,101.7,4.660767017920354,🚀 利潤擴張,63.21000000000001,N/A,235.0,N/A,171.79,12.14,2.64,2026-03,6005.TW
車王電,152.25,0.84,⚠️ 追價風險,2025,30.7000007629,10.049999999999997,45.82089666104479,🚀 利潤擴張,61.81999999999999,N/A,500.0,N/A,438.18,19.69,0.58,2026-03,1533.TW
正隆,34.55,0.56,⚪ 中性觀察,2025,25.5499992371,22.5,17.033332824733332,🚀 利潤擴張,61.76999999999998,20.98%,600.0,7.12%,538.23,-4.85,0.74,2026-03,1904.TW
日揚,-26.32,1.9,💎 強力關注,2025,76.4000015259,113.85,10.065876353873517,🚀 利潤擴張,56.41999999999999,N/A,206.45,N/A,150.03,-4.59,2.52,2026-03,6208.TWO
強生,-36.9,1.46,💎 強力關注,2025,25.2000007629,72.30000000000001,5.228215925912862,🚀 利潤擴張,55.839999999999975,N/A,204.17,N/A,148.33,-6.81,1.19,2026-03,4747.TWO
九暘,49.15,0.13,⚪ 數據不足,2025,80.0,-18.45,0.0,🔄 轉虧為盈,55.43000000000001,N/A,244.44,N/A,189.01,2.65,-0.6,2026-03,8040.TWO
晟德,905.92,2.62,💎 強力關注,2025,30.3500003815,273.29999999999995,1.6657519419045006,🚀 利潤擴張,54.05000000000001,41.95%,239.47,-106.23%,185.42,-6.28,12.33,2026-03,4123.TWO
心誠鎂,-48.08,-1.43,⚪ 數據不足,2025,76.4000015259,0.0,0.0,🌑 雙重衰退,52.519999999999996,N/A,-2.96,N/A,-55.48,-29.22,-3.92,2026-03,6934.TW
霈方,66.34,3.29,💎 強力關注,2025,120.5,252.6,7.155581947743468,🚀 利潤擴張,51.74000000000001,N/A,147.37,N/A,95.63,6.51,6.82,2026-03,6574.TWO
永擎,38.44,7.68,⚪ 數據不足,2025,0.0,0.0,0.0,🚀 利潤擴張,47.56,N/A,139.49,N/A,91.93,182.72,13.04,2026-03,7711.TW
廣寰科,-36.17,1.01,⚪ 中性觀察,2025,35.7000007629,31.8,16.839623001367922,🚀 利潤擴張,46.579999999999984,N/A,406.06,N/A,359.48,23.54,1.5,2026-03,3287.TWO
琉園,544.54,0.03,💎 強力關注,2025,23.8999996185,146.54999999999998,2.4462640346468785,🚀 利潤擴張,45.849999999999994,N/A,112.5,N/A,66.65,-17.0,5.29,2026-03,9949.TWO
漢達,31.64,0.46,💎 強力關注,2025,126.5,172.35,11.009573542210617,🚀 利潤擴張,39.24,N/A,55.17,N/A,15.93,108.17,4.85,2026-03,6620.TWO
威盛,-93.75,0.08,⚪ 數據不足,2025,77.6999969482,-30.6,0.0,🚀 利潤擴張,35.860000000000014,20.64%,300.0,-8.17%,264.14,-40.0,0.12,2026-03,2388.TW
禾瑞亞,-5.7,1.19,💎 強力關注,2025,56.2000007629,81.9,10.293040432765567,🏰 高護城河,34.20000000000002,50.66%,190.24,14.95%,156.04,1.24,2.15,2026-03,3556.TWO
神數,91.67,0.87,⚪ 數據不足,2025,39.7999992371,0.0,0.0,🚀 利潤擴張,32.379999999999995,N/A,42.62,N/A,10.24,19.28,2.99,2026-03,7821.TW
