gm,symbol,prev_year,prev_rev_yoy,rev_yoy,prev_eps,est_price,eps_yoy,pe,om,date,advice,price,prev_eps_yoy,status,eps,name,expansion
80.00%,2885.TW,2025,6.4,62.36,2.74,105.6,83.05,9.900567748323862,33.03%,2026-03,💎 強力關注,69.6999969482,-1.08,🏰 高護城河,1.08,元大金,20.689999999999998
N/A,5604.TWO,2025,0.36,25.49,0.85,33.45,45.45,13.699551227399104,N/A,2026-03,✅ 穩健價值,30.5499992371,-66.0,🚀 利潤擴張,0.32,中連,19.960000000000004
N/A,6015.TWO,2025,0.56,451.29,0.76,24.599999999999998,470.83,9.725609639817073,N/A,2026-03,💎 強力關注,15.9499998093,-11.63,🚀 利潤擴張,0.89,宏遠證,19.539999999999964
N/A,5202.TWO,2025,-8.35,26.81,-0.61,-30.900000000000002,45.71,0.0,N/A,2026-03,⚪ 數據不足,12.1999998093,-134.86,🚀 利潤擴張,-0.19,力新,18.900000000000002
97.25%,2880.TW,2025,4.06,22.97,1.9,70.8,41.03,8.283897981800848,45.93%,2026-03,💎 強力關注,39.0999984741,13.1,🏰 高護城河,0.55,華南金,18.060000000000002
31.93%,3581.TWO,2025,13.9,216.8,0.81,9.75,234.78,193.84615384615384,8.13%,2026-03,⚠️ 追價風險,126.0,35.0,🚀 利潤擴張,0.31,博磊,17.97999999999999
89.95%,2836.TW,2025,14.52,16.1,0.68,25.200000000000003,33.33,7.08333310625,32.37%,2026-03,💎 強力關注,11.8999996185,28.3,🏰 高護城河,0.2,高雄銀,17.229999999999997
N/A,4991.TWO,2025,25.43,316.27,0.15,11.999999999999998,331.43,597.5,N/A,2026-03,⚠️ 追價風險,478.0,107.11,🚀 利潤擴張,1.67,環宇-KY,15.160000000000025
N/A,7819.TWO,2025,10.14,-1.82,2.91,0.0,10.53,0.0,N/A,2026-03,⚪ 數據不足,37.9500007629,14.12,🧐 疑業外收益,0.42,精誠金融,12.35
78.38%,2883.TW,2025,-12.26,22.04,1.74,57.14999999999999,34.04,8.267716535433072,39.14%,2026-03,💎 強力關注,31.5,-10.99,🏰 高護城河,0.69,凱基金,12.0
N/A,6657.TW,2025,-0.97,41.94,-2.92,-109.2,52.29,0.0,N/A,2026-03,⚪ 數據不足,31.5499992371,-14.12,🚀 利潤擴張,-0.53,華安,10.350000000000001
100.00%,3529.TWO,2025,6.74,19.99,25.6,947.7,29.13,42.73504273504273,60.64%,2026-03,⚠️ 追價風險,2700.0,4.19,🏰 高護城河,7.98,力旺,9.14
24.77%,1236.TW,2025,-8.31,274.7,-0.43,-14.25,283.33,0.0,-4.59%,2026-03,⚪ 數據不足,25.1000003815,-53.57,🔄 轉虧為盈,0.23,宏亞,8.629999999999995
