Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
6831.TW,邁科,2026-04-08,看漲 FVG,411.0,402.98,431.55,⏳ 待回測,⚡結構突破 ⚠️過熱,0,71.36,-,4,False
6838.TW,台新藥,2026-04-07,看漲 FVG,30.65,28.26,32.18,💰 已達標,獲利點,1,85.81,2026-04-09,4,False
6865.TWO,偉康科技,2026-03-30,看漲 FVG,39.05,36.32,41.0,💰 已達標,獲利點,1,83.4,2026-04-01,4,False
6869.TW,雲豹能源,2026-04-02,看跌 FVG,85.3,88.14,81.03,⏳ 待回測,⚡結構突破 ⚠️過熱,0,14.83,-,4,False
6933.TW,AMAX-KY,2026-04-08,看漲 FVG,160.0,152.23,168.0,⏳ 待回測,⚡結構突破 ⚠️過熱,1,72.41,-,4,False
6944.TW,兆聯實業,2026-04-08,看漲 FVG,905.0,820.88,950.25,⏳ 待回測,⚡結構突破 ⚠️過熱,1,64.05,-,4,False
6994.TW,富威電力,2026-04-02,看跌 FVG,65.4,72.96,62.13,⚠️ 壓力確認,🔴 放空,1,22.04,2026-04-08,4,False
7547.TWO,碩網,2026-04-02,看跌 FVG,77.2,86.13,73.34,💰 已達標,獲利點,1,66.9,2026-04-08,4,False
7610.TW,聯友金屬-創,2026-04-08,看漲 FVG,430.5,413.42,452.03,⏳ 待回測,⚡結構突破 ⚠️過熱,0,84.13,-,4,False
7704.TWO,明遠精密,2026-04-07,看漲 FVG,56.5,47.21,59.33,❌ 已失效,實體破中線,1,77.36,-,4,False
7709.TWO,榮田,2026-04-08,看漲 FVG,73.0,71.64,76.65,⏳ 待回測,監控中 ⚠️過熱,0,67.04,-,4,False
7711.TW,永擎,2026-04-08,看漲 FVG,280.0,275.62,294.0,⏳ 待回測,⚡結構突破 ⚠️過熱,1,70.52,-,4,False
