prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
-169.49,-21.33%,88.79000000000002,1599.TWO,🔄 轉虧為盈,0.0,宏佳騰,-0.84,486.21,575.0,0.0,0.28,2025,0.0,16.92%,⚪ 數據不足,2026-03,-18.58
17.57,-58.34%,84.69999999999999,4147.TWO,🔄 轉虧為盈,0.0,中裕,-0.61,81.97,166.67,0.0,0.06,2025,0.0,28.91%,⚪ 數據不足,2026-03,0.19
-51.9,13.17%,83.63,1339.TW,🚀 利潤擴張,0.0,昭輝,2.41,102.97,186.6,0.0,2.78,2025,0.0,33.66%,⚪ 數據不足,2026-03,-14.02
78.06,3.76%,83.04000000000002,2436.TW,🚀 利潤擴張,0.0,偉詮電,3.02,309.82,392.86,0.0,0.7,2025,0.0,30.84%,⚪ 數據不足,2026-03,15.32
-50.67,N/A,81.14999999999999,6756.TW,🚀 利潤擴張,0.0,威鋒電子,1.11,97.11,178.26,0.0,0.64,2025,0.0,N/A,⚪ 數據不足,2026-03,-8.83
-64.44,20.17%,74.29000000000002,3546.TWO,🏰 高護城河,0.0,宇峻,1.97,62.07,136.36,0.0,2.34,2025,0.0,89.44%,⚪ 數據不足,2026-03,2.09
96.29,N/A,73.29,7823.TW,🚀 利潤擴張,88.8000030518,奧義賽博-KY創,-1.49,26.64,99.93,0.0,-0.15,2025,0.0,N/A,⚪ 數據不足,2026-03,22.72
-99.18,N/A,71.78,6169.TWO,🌑 雙重衰退,0.0,昱泉,-2.43,-97.71,-25.93,0.0,-0.68,2025,0.0,N/A,⚪ 數據不足,2026-03,19.25
-91.14,N/A,71.62,8354.TWO,🚀 利潤擴張,0.0,冠好,0.14,578.38,650.0,0.0,0.3,2025,0.0,N/A,⚪ 數據不足,2026-03,0.63
-5.15,0.20%,70.21000000000004,4905.TWO,🚀 利潤擴張,0.0,台聯電,2.76,315.9,386.11,0.0,1.75,2025,0.0,25.49%,⚪ 數據不足,2026-03,22.56
44.08,N/A,69.89999999999999,7828.TWO,🚀 利潤擴張,0.0,創新服務,6.33,51.84,121.74,0.0,1.02,2025,0.0,N/A,⚪ 數據不足,2026-03,76.4
3.28,38.94%,68.69,2889.TW,🏰 高護城河,0.0,國票金,0.63,58.58,127.27,0.0,0.25,2025,0.0,90.85%,⚪ 數據不足,2026-03,4.6
24.43,20.98%,67.19999999999999,4137.TW,🏰 高護城河,0.0,麗豐-KY,7.13,40.15,107.35,0.0,1.41,2025,0.0,82.18%,⚪ 數據不足,2026-03,-4.63
-31.03,3.73%,64.48,3632.TWO,🔄 轉虧為盈,0.0,研勤,-0.38,110.52,175.0,0.0,0.06,2025,0.0,54.59%,⚪ 數據不足,2026-03,-28.72
-24.06,N/A,63.99000000000001,6986.TWO,🚀 利潤擴張,0.0,和迅,2.43,42.91,106.9,0.0,0.6,2025,0.0,N/A,⚪ 數據不足,2026-03,2.38
-184.44,-45.46%,63.97,4562.TW,🔄 轉虧為盈,0.0,穎漢,-1.28,111.03,175.0,0.0,0.11,2025,0.0,31.44%,⚪ 數據不足,2026-03,-7.78
-7120.0,-55.72%,63.5,3064.TWO,🏰 高護城河,0.0,泰偉,-3.51,-1.0,62.5,0.0,-0.27,2025,0.0,93.22%,⚪ 數據不足,2026-03,-29.69
17.33,N/A,63.21000000000001,6005.TW,🚀 利潤擴張,0.0,群益證,2.64,171.79,235.0,0.0,1.34,2025,0.0,N/A,⚪ 數據不足,2026-03,12.14
