=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
4562.TW    |    MA60    |    23.6% |    192.31% |       89
5258.TW    |    MA60    |    28.6% |    193.70% |       98
1294.TWO   |    MA60    |    36.8% |    255.45% |       19
6904.TWO   |    MA20    |    27.0% |     11.30% |       37
8044.TWO   |    MA60    |    32.4% |    -70.56% |       74
3530.TW    |    MA60    |    23.9% |    236.89% |       71
1599.TWO   |    MA60    |    29.5% |     14.70% |       61
3092.TW    |    MA60    |    23.4% |    126.34% |       77
1726.TW    |    MA60    |    17.3% |    -42.85% |      104
00985B.TW  |    MA20    |    50.0% |      3.35% |        2
7728.TWO   |    MA5     |    32.8% |     62.65% |       61
2618.TW    |    MA10    |    32.9% |     66.00% |      219
8045.TW    |    MA60    |    26.6% |    455.88% |       64
2489.TW    |    MA60    |    24.3% |     92.48% |       70
6509.TWO   |    MA60    |    27.5% |    -56.80% |      102
2838.TW    |    MA60    |    39.4% |     88.31% |       66
3501.TW    |    MA60    |    28.6% |     13.25% |       70
8039.TW    |    MA10    |    29.5% |    -10.15% |      227
3105.TWO   |    MA60    |    30.6% |    112.71% |       72
8478.TW    |    MA60    |    31.2% |    177.70% |       64
