=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
3406.TW    |    MA5     |    28.7% |    272.98% |      296
6794.TW    |    MA20    |    19.0% |     19.96% |       21
6235.TW    |    MA10    |    25.8% |    223.33% |      221
3149.TW    |    MA20    |    30.3% |    212.47% |      122
4580.TWO   |    MA60    |    32.6% |      0.67% |       46
6739.TWO   |    MA10    |    38.8% |    364.05% |       80
7702.TWO   |    MA10    |    25.0% |    -13.27% |       32
2023.TW    |    MA60    |    23.6% |     56.68% |      110
3454.TW    |    MA60    |    25.4% |     74.69% |       59
3018.TW    |    MA60    |    27.7% |    253.88% |       65
6526.TW    |    MA10    |    35.1% |     -4.99% |       37
3686.TW    |    MA20    |    22.0% |    235.62% |      150
6933.TW    |    MA5     |    24.6% |     12.11% |       57
1337.TW    |    MA60    |    20.2% |   -100.21% |       94
7719.TWO   |    MA60    |    37.5% |    101.03% |        8
3663.TWO   |    MA20    |    24.8% |     56.72% |      149
6588.TWO   |    MA10    |    27.4% |    174.30% |      175
4563.TWO   |    MA10    |    26.2% |    -18.04% |      172
3707.TWO   |    MA10    |    35.0% |    256.63% |      183
3064.TWO   |    MA20    |    20.7% |    -25.24% |      169
8103.TW    |    MA10    |    29.7% |     88.66% |      212
3498.TWO   |    MA5     |    27.8% |    -49.28% |      302
2883.TW    |    MA10    |    31.2% |     52.01% |      208
6788.TWO   |    MA10    |    33.0% |    171.20% |       94
6793.TWO   |    MA60    |    22.7% |      0.48% |       22
6903.TWO   |    MA20    |    40.5% |    118.99% |       42
2324.TW    |    MA5     |    29.4% |   -159.74% |      320
00764B.TWO |    MA20    |    24.2% |    -48.12% |       99
00965.TW   |    MA10    |    41.2% |     28.84% |       17
4513.TWO   |    MA60    |    27.4% |    147.44% |       73
6805.TW    |    MA20    |    41.7% |    190.66% |       24
5292.TW    |    MA20    |    33.9% |     80.74% |       59
3013.TW    |    MA10    |    34.6% |    102.94% |      214
3529.TWO   |    MA10    |    32.1% |    224.08% |      224
8436.TWO   |    MA60    |    25.0% |    190.83% |       68
6276.TWO   |    MA20    |    29.4% |    118.25% |      143
6182.TWO   |    MA10    |    30.9% |    187.93% |      194
6598.TW    |    MA20    |    24.6% |      3.74% |      118
5284.TW    |    MA20    |    26.7% |    225.01% |      150
