=== 凱利多策略自動化分析 (20260307) ===
           代號名稱 |    最佳策略    |      勝率 |      報酬 |      倉位 | 今日狀態
    2347.TW 聯強 |    均值回歸    |   57.1% |    4.7% |   21.0% | 💰 乖離修正賣出
 00981B.TWO 未知 |   低波動價值    |  100.0% |    3.6% |   30.0% | 💤 盤整退出
   3252.TWO 海灣 |    均值回歸    |   63.6% |    2.6% |    0.0% | 💰 乖離修正賣出
    2332.TW 友訊 |   低波動價值    |   32.6% |    0.7% |    0.0% | 💤 盤整退出
    6789.TW 采鈺 |    動能爆發    |   40.7% |    0.6% |    0.0% | ⏱️ 動能衰退
    2404.TW 漢唐 |    強勢支撐    |   40.5% |   12.8% |    7.5% | 觀望
   4916.TW 事欣科 |   低波動價值    |   41.9% |    1.7% |    0.0% | 💤 盤整退出
  00953B.TW 未知 |   低波動價值    |   67.3% |    4.5% |   30.0% | 觀望
  3093.TWO 港建* |    強勢支撐    |   40.6% |    7.4% |    1.0% | 觀望
 00724B.TWO 未知 |   低波動價值    |   40.5% |    0.8% |    0.0% | 觀望
    1418.TW 東華 |    強勢支撐    |   22.8% |    6.0% |    0.0% | 觀望
   6138.TWO 茂達 |    均值回歸    |   75.0% |    4.0% |   15.9% | 觀望
  00663L.TW 未知 |   低波動價值    |   52.3% |    8.9% |   15.1% | 觀望
 6965.TW 中傑-KY |    均值回歸    |  100.0% |    6.7% |   30.0% | 觀望
7812.TWO 稜研科技* |    均值回歸    |   62.5% |    0.5% |    0.0% | 觀望
 2923.TW 鼎固-KY |    均值回歸    |   66.1% |    2.6% |    0.0% | 觀望
    1538.TW 正峰 |    均值回歸    |   65.2% |    0.5% |    0.0% | 觀望
   2466.TW 冠西電 |    動能爆發    |   42.3% |    8.1% |    8.6% | ⏱️ 動能衰退
    2612.TW 中航 |    均值回歸    |   65.4% |    2.8% |   11.2% | 觀望
 00740B.TWO 未知 |   低波動價值    |   41.5% |    0.6% |    0.0% | 觀望
    2367.TW 燿華 |    強勢支撐    |   20.0% |    2.8% |    0.0% | 觀望
   3131.TWO 弘塑 |    強勢支撐    |   35.9% |   12.0% |    5.4% | 觀望
   2230.TWO 泰茂 |   低波動價值    |   29.3% |    2.0% |    0.0% | 💤 盤整退出
    2426.TW 鼎元 |    均值回歸    |   76.5% |    3.5% |   16.0% | 💰 乖離修正賣出
   3675.TWO 德微 |    長線突破    |   41.8% |    7.9% |    0.0% | 觀望
  8431.TWO 匯鑽科 |    強勢支撐    |    9.8% |    4.0% |    0.0% | 觀望
    3189.TW 景碩 |    均值回歸    |   72.6% |    3.9% |   14.9% | 💰 乖離修正賣出
  2206.TW 三陽工業 |    動能爆發    |   34.0% |    1.0% |    0.0% | ⏱️ 動能衰退
   6486.TWO 互動 |   低波動價值    |   25.8% |    0.9% |    0.0% | 觀望
   2881.TW 富邦金 |    長線突破    |   46.0% |    5.2% |    0.0% | 觀望
  6928.TW 攸泰科技 |    均值回歸    |   75.0% |    3.0% |    0.0% | 觀望
    3443.TW 創意 |    強勢支撐    |   35.6% |    6.3% |    0.0% | 🛡️ 支撐進場
   5328.TWO 華容 |    強勢支撐    |   21.7% |    2.0% |    0.0% | 觀望
    2329.TW 華泰 |    長線突破    |   37.1% |    4.1% |    0.0% | 觀望
  6163.TWO 華電網 |    強勢支撐    |   25.2% |    9.3% |    0.0% | 🛑 支撐破裂
   2316.TW 楠梓電 |   低波動價值    |   44.1% |    6.0% |    6.3% | 💤 盤整退出
   6244.TWO 茂迪 |    長線突破    |   33.3% |   10.4% |    0.0% | 觀望
   2834.TW 臺企銀 |    強勢支撐    |   46.4% |    5.9% |    4.4% | 觀望
    2022.TW 聚亨 |   低波動價值    |   26.1% |    2.1% |    0.0% | 觀望
   8088.TWO 品安 |    強勢支撐    |   30.1% |    3.6% |    0.0% | 🛑 支撐破裂
    1310.TW 台苯 |    強勢支撐    |   40.7% |    3.6% |    0.0% | 觀望
 2072.TWO 世紀風電 |    長線突破    |   52.6% |   19.0% |    5.4% | 🚪 趨勢結束
   5386.TWO 青雲 |   低波動價值    |   29.5% |    3.9% |    0.0% | 觀望
00703.TW 台新MSCI中國 |    均值回歸    |  100.0% |    7.4% |   30.0% | 觀望
   4551.TW 智伸科 |    均值回歸    |   80.0% |    3.8% |   13.2% | 💰 乖離修正賣出
   5608.TW 四維航 |    強勢支撐    |   18.8% |   72.1% |    6.8% | 觀望
    5203.TW 訊連 |    強勢支撐    |   18.5% |    5.4% |    0.0% | 🛑 支撐破裂
    7795.TW 長廣 |    動能爆發    |   52.4% |    1.8% |    0.0% | 觀望
    4904.TW 遠傳 |    強勢支撐    |   35.9% |    1.5% |    0.0% | 觀望
   4946.TWO 辣椒 |    強勢支撐    |   19.5% |   18.1% |    0.0% | 觀望
    6695.TW 芯鼎 |    強勢支撐    |   50.6% |   12.7% |   15.2% | 🛑 支撐破裂
    1305.TW 華夏 |   低波動價值    |   40.0% |    3.0% |    0.0% | 觀望
00900.TW 富邦特選高股息30 |    強勢支撐    |   63.6% |   12.1% |   16.2% | 觀望
   3532.TW 台勝科 |    強勢支撐    |   15.6% |    4.0% |    0.0% | 觀望
   1314.TW 中石化 |    均值回歸    |   80.6% |    3.3% |   29.4% | 💰 乖離修正賣出
  6885.TW 全福生技 |    動能爆發    |   40.0% |    3.4% |    0.0% | ⏱️ 動能衰退
    1304.TW 台聚 |    長線突破    |   35.9% |    2.3% |    0.0% | 🚀 長線突破
   5274.TWO 信驊 |    均值回歸    |   84.1% |    6.2% |   30.0% | 💰 乖離修正賣出
00923.TW 群益台ESG低碳50 |    長線突破    |   62.9% |    4.1% |    6.3% | 觀望
  6873.TW 泓德能源 |    強勢支撐    |   40.3% |   12.2% |    8.8% | 🛑 支撐破裂
  4909.TWO 新復興 |   低波動價值    |   33.9% |   15.0% |    9.6% | 觀望
  6016.TWO 康和證 |   低波動價值    |   35.6% |    7.2% |    4.0% | 觀望
   9906.TW 欣巴巴 |    長線突破    |   40.5% |   11.8% |    0.0% | 🚪 趨勢結束
   8069.TWO 元太 |    長線突破    |   37.8% |    3.2% |    0.0% | 🚪 趨勢結束
    2340.TW 台亞 |   低波動價值    |   43.8% |    5.5% |    2.6% | 💤 盤整退出
    3138.TW 耀登 |    長線突破    |   37.1% |   12.6% |    0.0% | 觀望
   5347.TWO 世界 |    強勢支撐    |   33.3% |    1.6% |    0.0% | 觀望
    3017.TW 奇鋐 |    強勢支撐    |   25.4% |    3.5% |    0.0% | 觀望
    3037.TW 欣興 |   低波動價值    |   30.7% |    1.8% |    0.0% | 觀望
    1503.TW 士電 |   低波動價值    |   23.1% |    1.1% |    0.0% | 💤 盤整退出
   6143.TWO 振曜 |    均值回歸    |   80.7% |    4.5% |   26.0% | 觀望
  3441.TWO 聯一光 |    長線突破    |   25.0% |    8.0% |    0.0% | 觀望
   8080.TWO 泰霖 |    均值回歸    |   73.0% |    6.3% |   19.2% | 觀望
   5490.TWO 同亨 |    強勢支撐    |   46.7% |   10.4% |   11.4% | 觀望
    2607.TW 榮運 |    均值回歸    |   71.4% |    2.5% |   17.0% | 觀望
 4768.TWO 晶呈科技 |    強勢支撐    |   49.5% |  148.8% |   24.0% | 觀望
   4755.TW 三福化 |    強勢支撐    |   40.7% |   17.3% |   13.0% | 觀望
   5469.TW 瀚宇博 |   低波動價值    |   47.3% |    4.0% |    1.2% | 💤 盤整退出
    3305.TW 昇貿 |    強勢支撐    |   43.6% |    5.0% |    0.0% | 🛑 支撐破裂
   6236.TWO 中湛 |    動能爆發    |   36.4% |    3.0% |    0.0% | 觀望
    6214.TW 精誠 |    均值回歸    |   77.8% |    2.9% |   16.9% | 觀望
  00640L.TW 未知 |   低波動價值    |   34.4% |    3.6% |    0.0% | 觀望
   2641.TWO 正德 |    強勢支撐    |   15.6% |    6.0% |    0.0% | 🛑 支撐破裂
  8432.TWO 東生華 |   低波動價值    |   35.7% |    1.6% |    0.0% | 💤 盤整退出
   6218.TWO 豪勉 |    強勢支撐    |   40.4% |    2.3% |    0.0% | 觀望
   6552.TW 易華電 |    強勢支撐    |   29.7% |    3.9% |    0.0% | 🛡️ 支撐進場
    1216.TW 統一 |    強勢支撐    |   51.8% |    2.5% |    0.0% | 🛑 支撐破裂
 2887.TW 台新新光金 |   低波動價值    |   37.5% |    1.3% |    0.0% | 觀望
    1471.TW 首利 |    強勢支撐    |   44.5% |   36.4% |   18.4% | 觀望
    2493.TW 揚博 |   低波動價值    |   33.8% |    2.1% |    0.0% | 💤 盤整退出
1590.TW 亞德客-KY |    強勢支撐    |   29.6% |    3.2% |    0.0% | 🛡️ 支撐進場
   4127.TWO 天良 |    強勢支撐    |   31.3% |   16.5% |    7.3% | 觀望
  00638R.TW 未知 |    均值回歸    |  100.0% |    3.6% |   30.0% | 💰 乖離修正賣出
00919.TW 群益台灣精選高息 |    強勢支撐    |   42.9% |    2.2% |    0.0% | 觀望
  6217.TWO 中探針 |    強勢支撐    |   13.6% |    1.6% |    0.0% | 觀望
    1710.TW 東聯 |    均值回歸    |   75.0% |    2.9% |   15.0% | 💰 乖離修正賣出
    6213.TW 聯茂 |    長線突破    |   45.2% |    6.2% |    0.0% | 觀望
9103.TW 美德醫療-DR |    長線突破    |   53.7% |  210.5% |   24.0% | 觀望
    2337.TW 旺宏 |   低波動價值    |   27.3% |    6.2% |    0.0% | 觀望
    6796.TW 晉弘 |    強勢支撐    |   25.8% |    0.8% |    0.0% | 🛑 支撐破裂
    6133.TW 金橋 |    均值回歸    |   67.9% |    2.1% |    3.6% | 💰 乖離修正賣出
   3466.TWO 德晉 |    均值回歸    |   85.2% |    5.6% |   30.0% | 觀望
4569.TW 六方科-KY |    動能爆發    |   27.3% |    6.4% |    0.0% | ⏱️ 動能衰退
   7799.TW 禾榮科 |    均值回歸    |   70.0% |    7.5% |   30.0% | 觀望
    3036.TW 文曄 |    強勢支撐    |   29.6% |    7.5% |    0.0% | 觀望
   8921.TWO 沈氏 |    強勢支撐    |   32.5% |    2.9% |    0.0% | 觀望
  3163.TWO 波若威 |    均值回歸    |   64.9% |    1.8% |    0.0% | 💰 乖離修正賣出
    2495.TW 普安 |    均值回歸    |   92.9% |    5.6% |   30.0% | 觀望
    6225.TW 天瀚 |    強勢支撐    |   16.5% |    2.1% |    0.0% | 觀望
    1444.TW 力麗 |    均值回歸    |  100.0% |    6.9% |   30.0% | 觀望
 0056.TW 元大高股息 |   低波動價值    |   50.8% |    1.1% |    0.0% | 觀望
   8463.TW 潤泰材 |    強勢支撐    |   37.8% |   10.2% |    3.4% | 觀望
  8077.TWO 洛�� |    強勢支撐    |   16.9% |    7.8% |    0.0% | 觀望
00882.TW 中信中國高股息 |   低波動價值    |   34.7% |    2.4% |    0.0% | 觀望
   6684.TWO 安格 |    強勢支撐    |   29.2% |   97.2% |   12.7% | 🛑 支撐破裂
   3546.TWO 宇峻 |    均值回歸    |   78.0% |    4.4% |    3.7% | 觀望
   3552.TWO 同致 |    長線突破    |   48.2% |   14.3% |    0.0% | 🚪 趨勢結束
    2377.TW 微星 |    強勢支撐    |   21.2% |    2.5% |    0.0% | 觀望
  4583.TW 台灣精銳 |    長線突破    |   55.1% |   35.1% |   17.1% | 🚪 趨勢結束
   3293.TWO 鈊象 |    長線突破    |   52.3% |   10.2% |    0.0% | 🚪 趨勢結束
00910.TW 第一金太空衛星 |   低波動價值    |   71.0% |    7.4% |   30.0% | 觀望
    2397.TW 友通 |    強勢支撐    |   39.3% |    4.1% |    0.0% | 🛑 支撐破裂
   8279.TWO 生展 |    強勢支撐    |   33.6% |    6.8% |    0.0% | 🛑 支撐破裂
  2006.TW 東和鋼鐵 |    長線突破    |   37.7% |    1.0% |    0.0% | 觀望
    6715.TW 嘉基 |   低波動價值    |   43.8% |    7.0% |    7.8% | 觀望
00946.TW 群益科技高息成長 |   低波動價值    |   70.0% |    6.9% |   30.0% | 💤 盤整退出
    3034.TW 聯詠 |   低波動價值    |   46.4% |    8.3% |   11.6% | 💤 盤整退出
    3588.TW 通嘉 |    均值回歸    |   72.5% |    2.5% |    2.0% | 觀望
    2603.TW 長榮 |    強勢支撐    |   31.3% |   60.6% |   13.5% | 觀望
  6643.TWO M31 |    均值回歸    |   73.0% |    4.2% |   16.0% | 觀望
6854.TW 錼創科技-KY創 |    動能爆發    |   51.6% |    3.6% |    0.0% | ⏱️ 動能衰退
    1459.TW 聯發 |    強勢支撐    |   40.4% |    3.1% |    0.0% | 🛡️ 支撐進場
  4903.TWO 聯光通 |    動能爆發    |   34.4% |    5.0% |    0.0% | ⏱️ 動能衰退
8444.TWO 綠河-KY |    強勢支撐    |   32.1% |   25.3% |    9.5% | 🛑 支撐破裂
    3016.TW 嘉晶 |    均值回歸    |   67.4% |    1.9% |    0.0% | 觀望
   6533.TW 晶心科 |    均值回歸    |   77.5% |    3.8% |   12.2% | 📉 超跌抄底
   6620.TWO 漢達 |    均值回歸    |   68.8% |    3.4% |    0.0% | 觀望
    1326.TW 台化 |    強勢支撐    |   34.5% |    2.5% |    0.0% | 觀望
 6517.TWO 保勝光學 |    長線突破    |   51.2% |   14.6% |    0.0% | 🚪 趨勢結束
    1583.TW 程泰 |    均值回歸    |  100.0% |    8.9% |   30.0% | 觀望
    4919.TW 新唐 |    均值回歸    |   73.4% |    1.4% |    0.0% | 💰 乖離修正賣出
    6142.TW 友勁 |    均值回歸    |   71.1% |    3.5% |   20.6% | 💰 乖離修正賣出
    2321.TW 東訊 |    均值回歸    |   61.1% |    0.9% |    0.0% | 💰 乖離修正賣出
   3213.TWO 茂訊 |    強勢支撐    |   52.6% |    7.7% |    9.8% | 🛡️ 支撐進場
   2327.TW 國巨* |    長線突破    |   37.1% |   17.3% |    0.0% | 觀望
   8289.TWO 泰藝 |    強勢支撐    |   29.2% |    1.1% |    0.0% | 觀望
   5439.TWO 高技 |   低波動價值    |   54.7% |    3.1% |    4.7% | 💤 盤整退出
    3005.TW 神基 |    強勢支撐    |   33.8% |    8.5% |    0.1% | 觀望
   2009.TW 第一銅 |    強勢支撐    |   47.0% |   48.4% |   20.9% | 🛑 支撐破裂
  6423.TWO 億而得 |    強勢支撐    |   23.4% |    4.2% |    0.0% | 觀望
    2610.TW 華航 |    強勢支撐    |   16.8% |    2.9% |    0.0% | 🛑 支撐破裂
   2836.TW 高雄銀 |    強勢支撐    |   35.8% |    0.6% |    0.0% | 🛡️ 支撐進場
    2379.TW 瑞昱 |    強勢支撐    |   42.0% |    5.2% |    0.0% | 🛑 支撐破裂
   6546.TWO 正基 |    長線突破    |   22.8% |   15.1% |    0.0% | 觀望
   5432.TWO 新門 |   低波動價值    |   30.5% |    1.2% |    0.0% | 💤 盤整退出
    3533.TW 嘉澤 |    強勢支撐    |   25.3% |    1.9% |    0.0% | 觀望
    6120.TW 達運 |    強勢支撐    |   29.4% |    2.8% |    0.0% | 觀望
   2882.TW 國泰金 |    長線突破    |   37.4% |    2.5% |    0.0% | 觀望
6456.TW GIS-KY |    長線突破    |   37.5% |   13.4% |    0.0% | 觀望
    4737.TW 華廣 |    強勢支撐    |   35.7% |    8.0% |    0.9% | 觀望
   3059.TW 華晶科 |    均值回歸    |   72.5% |    1.7% |    0.0% | 觀望
   4541.TWO 晟田 |    強勢支撐    |   21.2% |    1.0% |    0.0% | 🛡️ 支撐進場
    4938.TW 和碩 |    強勢支撐    |   27.3% |    2.5% |    0.0% | 觀望
  6265.TWO 方土昶 |   低波動價值    |   39.7% |    3.2% |    0.0% | 💤 盤整退出
   3206.TWO 志豐 |    強勢支撐    |   26.6% |    6.6% |    0.0% | 觀望
   5340.TWO 建榮 |   低波動價值    |   32.5% |   17.1% |    8.5% | 觀望
 8499.TW 鼎炫-KY |   低波動價值    |   43.4% |    2.0% |    0.0% | 💤 盤整退出
    3338.TW 泰碩 |    強勢支撐    |   33.8% |    9.9% |    0.0% | 觀望
   5302.TWO 太欣 |   低波動價值    |   52.0% |    1.5% |    0.0% | 💤 盤整退出
   3702.TW 大聯大 |    強勢支撐    |   33.8% |    5.5% |    0.0% | 觀望
    2548.TW 華固 |    強勢支撐    |   48.3% |   12.3% |   16.1% | 觀望
00922.TW 國泰台灣領袖50 |    長線突破    |   77.4% |    6.5% |   29.7% | 觀望
  8390.TWO 金益鼎 |   低波動價值    |   37.3% |    4.3% |    0.0% | 💤 盤整退出
   6535.TWO 順藥 |    長線突破    |   33.0% |   24.4% |    0.0% | 🚪 趨勢結束
  3672.TWO 康聯訊 |    均值回歸    |   77.8% |    5.2% |   26.3% | 觀望
    2615.TW 萬海 |   低波動價值    |   27.8% |   47.0% |   11.1% | 觀望
 4807.TW 日成-KY |    均值回歸    |   61.4% |    1.4% |    0.0% | 觀望
    2606.TW 裕民 |    均值回歸    |   71.1% |    4.3% |   12.7% | 觀望
    1308.TW 亞聚 |    均值回歸    |   78.3% |    4.3% |   30.0% | 💰 乖離修正賣出
 6768.TW 志強-KY |    強勢支撐    |   49.6% |    6.9% |   10.0% | 🛑 支撐破裂
    3596.TW 智易 |    長線突破    |   47.7% |    4.1% |    0.0% | 觀望
   6720.TWO 久昌 |    強勢支撐    |   56.6% |   26.2% |   24.6% | 觀望
   8383.TWO 千附 |    均值回歸    |   95.8% |    5.7% |   30.0% | 觀望
6550.TW 北極星藥業-KY |   低波動價值    |   33.3% |    4.2% |    0.0% | 💤 盤整退出
  6753.TW 龍德造船 |   低波動價值    |   43.0% |    3.2% |    0.0% | 💤 盤整退出
    4770.TW 上品 |   低波動價值    |   49.6% |    3.9% |    0.9% | 💤 盤整退出
   6228.TWO 全譜 |    均值回歸    |   67.4% |    2.5% |    0.0% | 觀望
    2468.TW 華經 |    強勢支撐    |   23.3% |    1.7% |    0.0% | 🛑 支撐破裂
    3041.TW 揚智 |    均值回歸    |   75.3% |    3.9% |   17.0% | 觀望
   2472.TW 立隆電 |    強勢支撐    |   34.4% |    3.6% |    0.0% | 觀望
   6275.TWO 元山 |    強勢支撐    |   29.0% |    3.0% |    0.0% | 🛑 支撐破裂
   6469.TWO 大樹 |    強勢支撐    |   50.0% |   19.6% |   19.1% | 🛑 支撐破裂
6949.TW 沛爾生醫-創 |   低波動價值    |   57.6% |  112.6% |   28.0% | 觀望
    6426.TW 統新 |    長線突破    |   40.7% |   11.6% |    0.0% | 觀望
   6112.TW 邁達特 |    長線突破    |   39.5% |    1.3% |    0.0% | 🚪 趨勢結束
    2601.TW 益航 |   低波動價值    |   35.5% |    1.2% |    0.0% | 觀望
   5272.TWO 笙科 |    均值回歸    |   62.7% |    1.6% |    0.0% | 💰 乖離修正賣出
   6005.TW 群益證 |   低波動價值    |   42.8% |    2.4% |    0.0% | 觀望
2258.TW 鴻華先進-創 |    均值回歸    |  100.0% |    6.0% |   30.0% | 觀望
 00948B.TWO 未知 |   低波動價值    |   56.0% |    1.7% |    4.1% | 觀望
00902.TW 中信電池及儲能 |   低波動價值    |   31.2% |   12.4% |    5.9% | 💤 盤整退出
  2449.TW 京元電子 |   低波動價值    |   49.3% |    4.4% |    9.0% | 💤 盤整退出
  6613.TWO 朋億* |   低波動價值    |   43.1% |    1.5% |    0.0% | 💤 盤整退出
    2616.TW 山隆 |   低波動價值    |   34.2% |    0.7% |    0.0% | 觀望
   5443.TWO 均豪 |    長線突破    |   37.1% |    8.8% |    0.0% | 觀望
    3167.TW 大量 |    動能爆發    |   38.4% |    1.2% |    0.0% | 觀望
    6579.TW 研揚 |   低波動價值    |   33.9% |    0.5% |    0.0% | 💤 盤整退出
   3611.TWO 鼎翰 |   低波動價值    |   46.4% |    1.9% |    0.0% | 💤 盤整退出
   6219.TWO 富旺 |    強勢支撐    |   37.2% |    0.4% |    0.0% | 🛑 支撐破裂
   2892.TW 第一金 |   低波動價值    |   49.3% |    0.3% |    0.0% | 觀望
   2889.TW 國票金 |    強勢支撐    |   50.7% |    7.8% |   11.5% | 🛑 支撐破裂
 3713.TWO 新晶投控 |    均值回歸    |   91.3% |    6.8% |   30.0% | 觀望
    2014.TW 中鴻 |    長線突破    |   27.5% |   14.3% |    0.0% | 觀望
    2438.TW 翔耀 |    均值回歸    |   70.4% |    5.5% |   18.3% | 觀望
    2231.TW 為升 |   低波動價值    |   32.0% |    3.6% |    0.0% | 💤 盤整退出
    2354.TW 鴻準 |   低波動價值    |   32.9% |    0.3% |    0.0% | 💤 盤整退出
   3680.TWO 家登 |    長線突破    |   38.1% |   13.2% |    0.0% | 觀望
 00761B.TWO 未知 |    均值回歸    |  100.0% |   15.7% |   30.0% | 💰 乖離修正賣出
   4171.TWO 瑞基 |    長線突破    |   48.3% |   53.4% |    9.8% | 🚪 趨勢結束
 6541.TW 泰福-KY |    強勢支撐    |    8.6% |    0.4% |    0.0% | 🛑 支撐破裂
4154.TWO 樂威科-KY |    動能爆發    |   29.5% |    2.9% |    0.0% | 觀望
 7738.TWO 東聯互動 |    均值回歸    |   45.5% |    0.6% |    0.0% | 觀望
  5371.TWO 中光電 |   低波動價值    |   43.5% |    2.4% |    0.0% | 💤 盤整退出
   3541.TWO 西柏 |   低波動價值    |   41.4% |    1.6% |    0.0% | 💤 盤整退出
    3062.TW 建漢 |   低波動價值    |   37.3% |    2.8% |    0.0% | 💤 盤整退出
 4571.TW 鈞興-KY |    強勢支撐    |   47.3% |   22.0% |   18.4% | 🛡️ 支撐進場
    9929.TW 秋雨 |    強勢支撐    |   35.0% |    4.7% |    0.0% | 觀望
  6488.TWO 環球晶 |    強勢支撐    |   37.1% |   21.9% |   11.2% | 觀望
   3416.TW 融程電 |    強勢支撐    |   51.6% |    6.1% |    8.9% | 觀望
   4142.TW 國光生 |    均值回歸    |   76.3% |    3.0% |   24.3% | 觀望
    5388.TW 中磊 |   低波動價值    |   46.4% |    2.2% |    0.0% | 💤 盤整退出
    3419.TW 譁裕 |    均值回歸    |   62.9% |    3.2% |    9.7% | 💰 乖離修正賣出
   4147.TWO 中裕 |    強勢支撐    |   34.6% |    8.2% |    0.0% | 🛑 支撐破裂
  3191.TWO 雲嘉南 |    動能爆發    |   33.6% |    1.6% |    0.0% | ⏱️ 動能衰退
    5222.TW 全訊 |   低波動價值    |   36.8% |    8.0% |    5.6% | 💤 盤整退出
    1528.TW 恩德 |    強勢支撐    |   35.9% |    3.4% |    0.0% | 🛡️ 支撐進場
6666.TW 羅麗芬-KY |    均值回歸    |   75.8% |    0.9% |    0.0% | 觀望
   2344.TW 華邦電 |    強勢支撐    |   31.2% |    9.1% |    0.0% | 觀望
   3684.TWO 榮昌 |    強勢支撐    |   41.3% |    4.7% |    0.0% | 觀望
    1460.TW 宏遠 |    均值回歸    |   87.5% |    5.8% |   30.0% | 觀望
00735.TW 國泰臺韓科技 |   低波動價值    |   42.7% |   10.5% |   13.5% | 觀望
   3227.TWO 原相 |    強勢支撐    |   36.3% |   11.1% |    3.4% | 🛑 支撐破裂
    2105.TW 正新 |    均值回歸    |   86.7% |    3.5% |   30.0% | 觀望
    2460.TW 建通 |    長線突破    |   51.1% |   16.3% |    0.4% | 觀望
 7781.TWO 昕力資* |    動能爆發    |   31.2% |    7.3% |    0.0% | 觀望
    3035.TW 智原 |    長線突破    |   45.3% |   12.8% |    0.0% | 🚪 趨勢結束
    2357.TW 華碩 |    強勢支撐    |   18.1% |    2.9% |    0.0% | 觀望
    2801.TW 彰銀 |    強勢支撐    |   44.6% |    1.3% |    0.0% | 🛡️ 支撐進場
 00864B.TWO 未知 |   低波動價值    |   43.3% |    0.6% |    0.0% | 觀望
   5291.TWO 邑昇 |   低波動價值    |   38.8% |    5.3% |    0.7% | 觀望
8455.TWO 大拓-KY |   低波動價值    |   23.6% |    0.9% |    0.0% | 觀望
    3040.TW 遠見 |   低波動價值    |   29.5% |    0.8% |    0.0% | 💤 盤整退出
   4130.TWO 健亞 |    均值回歸    |   48.6% |    0.1% |    0.0% | 💰 乖離修正賣出
   3205.TWO 佰研 |    長線突破    |   45.2% |   39.7% |    5.7% | 觀望
    2439.TW 美律 |   低波動價值    |   33.1% |    2.4% |    0.0% | 💤 盤整退出
    2371.TW 大同 |   低波動價值    |   34.3% |    7.4% |    0.0% | 💤 盤整退出
  6894.TWO 衛司特 |    均值回歸    |   77.8% |    4.5% |   30.0% | 💰 乖離修正賣出
 00937B.TWO 未知 |   低波動價值    |   57.9% |    2.5% |   16.9% | 觀望
   6125.TWO 廣運 |    強勢支撐    |   24.2% |    3.2% |    0.0% | 🛑 支撐破裂
   4911.TWO 德英 |    動能爆發    |   24.0% |    2.8% |    0.0% | ⏱️ 動能衰退
    2204.TW 中華 |   低波動價值    |   43.2% |    2.9% |    0.0% | 💤 盤整退出
 5871.TW 中租-KY |    強勢支撐    |   28.6% |    2.4% |    0.0% | 🛑 支撐破裂
   2429.TW 銘旺科 |   低波動價值    |   25.3% |    8.1% |    0.0% | 💤 盤整退出
    1809.TW 中釉 |    均值回歸    |   72.5% |    3.3% |   18.5% | 💰 乖離修正賣出
  6884.TWO 海柏特 |   低波動價值    |   22.3% |    0.5% |    0.0% | 💤 盤整退出
    2342.TW 茂矽 |   低波動價值    |   38.2% |    1.9% |    0.0% | 💤 盤整退出
   8255.TWO 朋程 |   低波動價值    |   37.3% |    2.5% |    0.0% | 💤 盤整退出
 6612.TWO 奈米醫材 |    強勢支撐    |   22.7% |    2.6% |    0.0% | 🛑 支撐破裂
  6560.TWO 欣普羅 |   低波動價值    |   43.4% |   13.0% |   12.1% | 觀望
   8299.TWO 群聯 |    強勢支撐    |   35.6% |    7.2% |    0.0% | 觀望
    1609.TW 大亞 |    長線突破    |   50.0% |    5.7% |    0.0% | 🚪 趨勢結束
009801.TW 中信美國創新科技 |   低波動價值    |  100.0% |   13.9% |   30.0% | 💤 盤整退出
    5269.TW 祥碩 |   低波動價值    |   47.7% |    6.9% |    8.1% | 💤 盤整退出
    2069.TW 運錩 |   低波動價值    |   38.7% |    1.9% |    0.0% | 💤 盤整退出
  3555.TWO 博士旺 |   低波動價值    |   30.6% |    2.8% |    0.0% | 觀望
   3551.TWO 世禾 |    強勢支撐    |   24.0% |    8.4% |    0.0% | 🛑 支撐破裂
    5285.TW 界霖 |    強勢支撐    |   35.2% |   21.2% |    9.3% | 🛑 支撐破裂
    6243.TW 迅杰 |   低波動價值    |   50.3% |    2.3% |    0.0% | 💤 盤整退出
   3570.TWO 大塚 |    強勢支撐    |   32.0% |    4.1% |    0.0% | 觀望
    9941.TW 裕融 |    強勢支撐    |   46.2% |    9.2% |   10.4% | 🛑 支撐破裂
    1301.TW 台塑 |    均值回歸    |  100.0% |    6.2% |   30.0% | 💰 乖離修正賣出
   3207.TWO 耀勝 |    強勢支撐    |   20.7% |    4.5% |    0.0% | 觀望
    6202.TW 盛群 |    長線突破    |   43.8% |    3.8% |    0.0% | 觀望
912000.TW 晨訊科-DR |   低波動價值    |   35.0% |    2.6% |    0.0% | 💤 盤整退出
    1101.TW 台泥 |   低波動價值    |   37.2% |    0.7% |    0.0% | 💤 盤整退出
   3067.TWO 全域 |    強勢支撐    |   14.9% |    4.9% |    0.0% | 觀望
   3504.TW 揚明光 |    動能爆發    |   30.8% |    2.4% |    0.0% | ⏱️ 動能衰退
    2903.TW 遠百 |    強勢支撐    |   43.9% |    9.7% |    8.9% | 觀望
    5521.TW 工信 |    強勢支撐    |   30.5% |    4.0% |    0.0% | 🛑 支撐破裂
   4939.TWO 亞電 |    強勢支撐    |   35.9% |    3.2% |    0.0% | 🛑 支撐破裂
    6669.TW 緯穎 |   低波動價值    |   36.5% |    2.6% |    0.0% | 觀望
    2421.TW 建準 |   低波動價值    |   51.4% |    4.8% |    7.3% | 💤 盤整退出
    1525.TW 江申 |   低波動價值    |   37.6% |    5.5% |    2.3% | 💤 盤整退出
    6239.TW 力成 |    強勢支撐    |   44.2% |    6.6% |    2.1% | 觀望
