正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   1216.TW           10      22.01        -188.19     268   ☁ 觀望
  6124.TWO          120      13.64        -205.37      88   📈 持有
   6225.TW          120      16.22        -233.12      74   📈 持有
   9931.TW           20       8.68        -321.65     265   📈 持有
   9918.TW            5      12.50        -351.08     400   📈 持有
  8067.TWO          240       9.17        -394.62     109   ☁ 觀望
  8291.TWO          240       9.59        -436.08      73   ☁ 觀望
   8476.TW           10      17.16       -3290.44     268   📈 持有

===============================================================================================
 報告已產出至: report/20260307
 1. CSV: report/20260307/ma_full_v4-report_20260307.csv
 2. TXT: report/20260307/ma_full_v4-report_20260307.txt
 3. JSON: data/stock_best_ma.json (供未來程式調用)
===============================================================================================
