📊 全量策略掃描報告 - 日期: 20260307
==============================================================================================================
Stock           Price    Return%    Win%  Trades  T/Year   F_Sum5D Advice
2337.TW        102.50    1328.92    47.0     319    27.3    -14846 ✅ 續抱 
1301.TW         50.20     -25.87    43.5     394    33.8    -15183 ✅ 續抱 
2605.TW         34.00     283.09    44.6     305    26.2    -15511 ✅ 續抱 
2882.TW         73.00      95.23    47.0     358    30.7    -15728 💤 觀望 
5880.TW         23.40      69.37    43.6     372    31.9    -16112 💤 觀望 
1313.TW         13.50     226.76    43.8     337    29.0    -16190 ✅ 續抱 [⚡爆量]
2881.TW         88.80      93.67    46.7     408    35.0    -16905 💤 觀望 
2371.TW         33.85     455.78    45.7     316    27.1    -17389 💤 觀望 
1314.TW          8.92      -3.16    41.1     360    30.8    -17537 ✅ 續抱 [⚡爆量]
5876.TW         38.60       8.78    47.1     382    34.6    -20172 💤 觀望 
00982A.TW       15.82       0.00     0.0       0     0.0    -20516 💤 觀望 
00929.TW        19.43      46.37    54.8      62    23.4    -20972 ✅ 續抱 
2885.TW         45.90     159.09    45.5     333    28.5    -21543 ✅ 續抱 
6505.TW         62.00     -57.94    43.3     421    36.2    -22112 ✅ 續抱 [⚡爆量]
00992A.TW       12.28       0.00     0.0       0     0.0    -22195 💤 觀望 
00715L.TW       38.16     200.58    51.9     223    27.8    -30594 ✅ 續抱 
2883.TW         20.40     343.60    45.7     331    28.4    -30702 ✅ 續抱 
1326.TW         46.00     -36.06    44.0     385    33.0    -32445 ✅ 續抱 
2356.TW         41.80       1.35    46.8     400    34.3    -32966 💤 觀望 
2324.TW         31.45      71.84    44.9     350    30.0    -35835 ✅ 續抱 
00991A.TW       12.02      -0.83     0.0       1     1.0    -35961 ✅ 續抱 
00940.TW         9.71       9.72    53.2      54    29.1    -36679 💤 觀望 
2002.TW         19.90      22.77    42.8     390    33.4    -40263 💤 觀望 
2317.TW        223.00     300.58    47.1     336    28.8    -40336 💤 觀望 
1303.TW         82.30      38.78    45.5     397    34.0    -41959 ✅ 續抱 
3481.TW         27.50     614.60    45.6     309    26.5    -42475 ✅ 續抱 
2618.TW         34.25     228.91    45.2     322    27.6    -44481 💤 觀望 
00981A.TW       19.78      38.56    57.7      17    17.0    -45894 ✅ 續抱 
00878.TW        22.39      93.73    56.0     138    25.3    -52443 💤 觀望 
0056.TW         38.63     392.63    56.2     256    21.9    -56344 ✅ 續抱 
00918.TW        23.25      77.76    56.3      88    27.9    -57096 ✅ 續抱 
6770.TW         64.30     148.89    45.6     126    25.0    -58487 💤 觀望 
2801.TW         20.75       6.84    43.5     380    32.6    -59761 💤 觀望 
2834.TW         15.45      91.76    43.3     388    33.2    -60536 💤 觀望 
2891.TW         51.40      80.35    46.2     378    32.4    -62338 💤 觀望 
2330.TW       1890.00     633.90    48.4     355    30.4    -88771 ✅ 續抱 
2610.TW         18.90     296.43    44.9     332    28.4    -88925 💤 觀望 
00922.TW        30.32     128.84    56.2      63    22.0   -103760 ✅ 續抱 
2887.TW         24.40     290.07    44.3     313    26.8   -121581 ✅ 續抱 
00919.TW        23.71      83.81    55.2      84    25.8   -148087 💤 觀望 
0050.TW         76.85     455.12    51.6     295    25.3   -525063 ✅ 續抱 
