股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,歷史次數,建議買進價,raw_wr5,raw_pnl
3518.TW,柏騰,無,32.7999992371,82.52,🟢 黃金標的,60.00%,80.00%,12.31%,-2.88%,5,0.0,0.8,0.1231
9960.TWO,邁達康,無,34.2999992371,92.79,🟢 黃金標的,60.00%,80.00%,3.68%,-0.82%,10,0.0,0.8,0.0368
3528.TW,安馳,無,79.9000015259,88.49,🟢 黃金標的,40.00%,80.00%,4.73%,-1.18%,5,0.0,0.8,0.0473
3016.TW,嘉晶,無,89.6999969482,82.11,🟢 黃金標的,60.00%,80.00%,7.59%,-4.41%,10,0.0,0.8,0.0759
6426.TW,統新,無,223.5,57.77,🟢 黃金標的,80.00%,80.00%,8.94%,-5.22%,5,0.0,0.8,0.0894
8227.TWO,巨有科技,無,153.0,71.23,🟢 黃金標的,80.00%,80.00%,9.05%,-1.91%,5,0.0,0.8,0.0905
4130.TWO,健亞,無,27.4500007629,7.14,🟢 黃金標的,100.00%,80.00%,6.22%,-5.56%,5,0.0,0.8,0.0622
00903.TW,富邦元宇宙,無,18.7199993134,93.17,🟢 黃金標的,80.00%,80.00%,4.54%,0.37%,5,0.0,0.8,0.0454
6669.TW,緯穎,無,4675.0,77.87,🟢 黃金標的,60.00%,80.00%,12.98%,-1.41%,5,0.0,0.8,0.1298
4720.TW,德淵,無,26.3999996185,74.92,🟢 黃金標的,40.00%,80.00%,10.16%,-3.35%,5,0.0,0.8,0.1016
6679.TWO,鈺太,無,286.0,71.51,🟢 黃金標的,60.00%,80.00%,4.38%,-6.12%,5,0.0,0.8,0.0438
5907.TW,大洋-KY,無,5.3800001144,37.14,🟢 黃金標的,40.00%,80.00%,3.03%,-1.29%,5,0.0,0.8,0.0303
