📈 回測總表 (起點: 2026-01-01)
--------------------------------------------------------------------------------
2208.TW    | 次數: 2    | 勝率:  50.00% | 累計:   -2.33%
2028.TW    | 次數: 3    | 勝率:  33.33% | 累計:  -10.24%
1909.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -1.48%
009803.TW  | 次數: 1    | 勝率:   0.00% | 累計:   -2.62%
7584.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.11%
8050.TWO   | 次數: 1    | 勝率:   0.00% | 累計:    0.00%
2348.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -10.51%
3455.TWO   | 次數: 3    | 勝率:  66.67% | 累計:    6.09%
2104.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -12.50%
6122.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    2.91%
2880.TW    | 次數: 2    | 勝率:   0.00% | 累計:   -3.26%
6435.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    9.96%
6585.TW    | 次數: 1    | 勝率:   0.00% | 累計:   -8.28%
6909.TW    | 次數: 3    | 勝率:  66.67% | 累計:   19.68%
8942.TWO   | 次數: 2    | 勝率:  50.00% | 累計:    6.12%
8476.TW    | 次數: 1    | 勝率:   0.00% | 累計:  -10.76%
6530.TWO   | 次數: 4    | 勝率:  50.00% | 累計:    5.50%
3226.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   14.11%
2755.TWO   | 次數: 1    | 勝率: 100.00% | 累計:   16.26%
3390.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.20%
1605.TW    | 次數: 1    | 勝率: 100.00% | 累計:   16.09%
8038.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    6.02%
4726.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -6.11%
3006.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -18.12%
3376.TW    | 次數: 2    | 勝率:   0.00% | 累計:  -13.85%
1303.TW    | 次數: 2    | 勝率:  50.00% | 累計:    3.29%
00715L.TW  | 次數: 1    | 勝率: 100.00% | 累計:  116.24%
8349.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -1.92%
8931.TWO   | 次數: 1    | 勝率: 100.00% | 累計:    0.21%
6654.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.94%
3693.TWO   | 次數: 2    | 勝率:   0.00% | 累計:  -17.91%
6290.TWO   | 次數: 1    | 勝率:   0.00% | 累計:   -3.65%
2543.TW    | 次數: 1    | 勝率: 100.00% | 累計:    1.99%
