prev_year,symbol,om,prev_rev_yoy,status,rev_yoy,advice,pe,name,prev_eps,date,eps,expansion,price,prev_eps_yoy,eps_yoy,est_price,gm
2025,6657.TW,N/A,-0.97,🚀 利潤擴張,41.94,⚪ 數據不足,0.0,華安,-2.92,2026-03,-0.53,10.350000000000001,33.4500007629,-14.12,52.29,-109.2,N/A
2025,3529.TWO,60.64%,6.74,🏰 高護城河,19.99,⚠️ 追價風險,44.71351693573916,力旺,25.6,2026-03,7.98,9.14,2825.0,4.19,29.13,947.7,100.00%
2025,1236.TW,-4.59%,-8.31,🔄 轉虧為盈,274.7,⚪ 數據不足,0.0,宏亞,-0.43,2026-03,0.23,8.629999999999995,26.25,-53.57,283.33,-14.25,24.77%
2025,1598.TW,-13.99%,-15.19,🔄 轉虧為盈,145.6,⚪ 數據不足,0.0,岱宇,-3.35,2026-03,0.25,7.890000000000015,20.5499992371,-827.91,153.49,-89.10000000000001,27.77%
2025,8272.TWO,N/A,15.86,🚀 利潤擴張,48.18,✅ 穩健價值,7.034178526692393,全景軟體,4.66,2026-03,0.39,7.82,63.7999992371,24.93,56.0,136.05,N/A
2025,2901.TW,20.24%,-2.15,🏰 高護城河,30.02,⚠️ 追價風險,26.38888888888889,欣欣,0.38,2026-03,0.11,7.48,23.75,-7.32,37.5,13.5,84.77%
2025,4178.TWO,N/A,-3.6,🌑 雙重衰退,-11.29,⚪ 數據不足,0.0,未知,-0.92,2026-03,-0.19,5.7299999999999995,0.0,14.95,-5.56,0.0,N/A
2025,4178.TW,N/A,-3.6,🌑 雙重衰退,-11.29,⚪ 數據不足,0.0,永笙-KY,-0.92,2026-03,-0.19,5.7299999999999995,16.8500003815,14.95,-5.56,0.0,N/A
2025,6195.TWO,N/A,-3.57,🚀 利潤擴張,109.17,✅ 穩健價值,6.55660359365566,詩肯,0.99,2026-03,1.5,5.1200000000000045,27.7999992371,-38.13,114.29,63.6,N/A
2025,2886.TW,33.61%,-1.77,🏰 高護城河,12.57,✅ 穩健價值,8.254485884845025,兆豐金,2.36,2026-03,0.63,4.100000000000001,50.5999984741,0.85,16.67,91.94999999999999,83.45%
2025,3094.TW,-7.29%,13.2,🏰 高護城河,12.87,⚠️ 追價風險,84.18367346938776,聯傑,0.25,2026-03,0.07,3.8000000000000025,41.25,41.18,16.67,7.35,73.82%
2025,4939.TWO,N/A,-8.05,🔄 轉虧為盈,296.51,⚪ 數據不足,0.0,亞電,-0.43,2026-03,0.24,3.490000000000009,89.5,-326.32,300.0,-22.2,N/A
2025,7839.TWO,N/A,8.14,🚀 利潤擴張,2.45,⚪ 數據不足,0.0,達人網,2.56,2026-03,0.73,3.3499999999999996,43.9500007629,18.52,5.8,0.0,N/A
2025,7777.TWO,N/A,15.88,🚀 利潤擴張,32.83,⚠️ 追價風險,46.41975120259259,能率亞洲,0.58,2026-03,-0.25,3.0700000000000003,37.5999984741,-16.92,35.9,12.149999999999999,N/A
2025,2941.TWO,2.03%,12.71,🏰 高護城河,68.9,✅ 穩健價值,4.641255491345291,米斯特,2.35,2026-03,0.89,2.25,31.0499992371,-27.47,71.15,100.35000000000001,64.17%
