prev_rev_yoy,prev_eps_yoy,date,om,advice,prev_year,eps_yoy,name,gm,est_price,symbol,pe,status,eps,prev_eps,price,expansion,rev_yoy
22.72,96.29,2026-03,N/A,⚪ 數據不足,2025,99.93,奧義賽博-KY創,N/A,0.0,7823.TW,0.0,🚀 利潤擴張,-0.15,-1.49,80.3000030518,73.29,26.64
19.25,-99.18,2026-03,N/A,⚪ 數據不足,2025,-25.93,昱泉,N/A,-96.44999999999999,6169.TWO,0.0,🌑 雙重衰退,-0.68,-2.43,12.1499996185,71.78,-97.71
0.63,-91.14,2026-03,N/A,⚪ 數據不足,2025,650.0,冠好,N/A,-17.549999999999997,8354.TWO,0.0,🚀 利潤擴張,0.3,0.14,16.7999992371,71.62,578.38
22.56,-5.15,2026-03,0.20%,⚪ 中性觀察,2025,386.11,台聯電,25.49%,71.25,4905.TWO,16.105263157894736,🚀 利潤擴張,1.75,2.76,76.5,70.21000000000004,315.9
76.4,44.08,2026-03,N/A,⚪ 數據不足,2025,121.74,創新服務,N/A,0.0,7828.TWO,0.0,🚀 利潤擴張,1.02,6.33,1845.0,69.89999999999999,51.84
4.6,3.28,2026-03,38.94%,💎 強力關注,2025,127.27,國票金,90.85%,22.95,2889.TW,11.013072144771241,🏰 高護城河,0.25,0.63,16.8500003815,68.69,58.58
-4.63,24.43,2026-03,20.98%,💎 強力關注,2025,107.35,麗豐-KY,82.18%,257.1,4137.TW,4.469078090670945,🏰 高護城河,1.41,7.13,76.5999984741,67.19999999999999,40.15
-28.72,-31.03,2026-03,3.73%,⚪ 數據不足,2025,175.0,研勤,54.59%,-15.3,3632.TWO,0.0,🔄 轉虧為盈,0.06,-0.38,7.0999999046,64.48,110.52
2.38,-24.06,2026-03,N/A,⚪ 數據不足,2025,106.9,和迅,N/A,0.0,6986.TWO,0.0,🚀 利潤擴張,0.6,2.43,40.25,63.99000000000001,42.91
-7.78,-184.44,2026-03,-45.46%,⚪ 數據不足,2025,175.0,穎漢,31.44%,-38.1,4562.TW,0.0,🔄 轉虧為盈,0.11,-1.28,29.1499996185,63.97,111.03
-29.69,-7120.0,2026-03,-55.72%,⚪ 數據不足,2025,62.5,泰偉,93.22%,-122.4,3064.TWO,0.0,🏰 高護城河,-0.27,-3.51,16.8999996185,63.5,-1.0
12.14,17.33,2026-03,N/A,💎 強力關注,2025,235.0,群益證,N/A,101.7,6005.TW,4.587020705235988,🚀 利潤擴張,1.34,2.64,31.1000003815,63.21000000000001,171.79
19.69,152.25,2026-03,N/A,⚠️ 追價風險,2025,500.0,車王電,N/A,10.049999999999997,1533.TW,44.70149367597016,🚀 利潤擴張,0.84,0.58,29.9500007629,61.81999999999999,438.18
-4.85,34.55,2026-03,7.12%,⚪ 中性觀察,2025,600.0,正隆,20.98%,22.5,1904.TW,16.266666412333333,🚀 利潤擴張,0.56,0.74,24.3999996185,61.76999999999998,538.23
-4.59,-26.32,2026-03,N/A,💎 強力關注,2025,206.45,日揚,N/A,113.85,6208.TWO,9.486166007905139,🚀 利潤擴張,1.9,2.52,72.0,56.41999999999999,150.03
-6.81,-36.9,2026-03,N/A,💎 強力關注,2025,204.17,強生,N/A,72.30000000000001,4747.TWO,5.08298755186722,🚀 利潤擴張,1.46,1.19,24.5,55.839999999999975,148.33
2.65,49.15,2026-03,N/A,⚪ 數據不足,2025,244.44,九暘,N/A,-18.45,8040.TWO,0.0,🔄 轉虧為盈,0.13,-0.6,77.5999984741,55.43000000000001,189.01
-6.28,905.92,2026-03,-106.23%,💎 強力關注,2025,239.47,晟德,41.95%,273.29999999999995,4123.TWO,1.6657519419045006,🚀 利潤擴張,2.62,12.33,30.3500003815,54.05000000000001,185.42
-29.22,-48.08,2026-03,N/A,⚪ 數據不足,2025,-2.96,心誠鎂,N/A,0.0,6934.TW,0.0,🌑 雙重衰退,-1.43,-3.92,72.3000030518,52.519999999999996,-55.48
6.51,66.34,2026-03,N/A,💎 強力關注,2025,147.37,霈方,N/A,252.6,6574.TWO,7.096199524940618,🚀 利潤擴張,3.29,6.82,119.5,51.74000000000001,95.63
182.72,38.44,2026-03,N/A,⚪ 數據不足,2025,139.49,永擎,N/A,0.0,7711.TW,0.0,🚀 利潤擴張,7.68,13.04,0.0,47.56,91.93
23.54,-36.17,2026-03,N/A,⚪ 中性觀察,2025,406.06,廣寰科,N/A,31.8,3287.TWO,16.226415814103774,🚀 利潤擴張,1.01,1.5,34.4000015259,46.579999999999984,359.48
-17.0,544.54,2026-03,N/A,💎 強力關注,2025,112.5,琉園,N/A,146.54999999999998,9949.TWO,2.4667349418116684,🚀 利潤擴張,0.03,5.29,24.1000003815,45.849999999999994,66.65
108.17,31.64,2026-03,N/A,💎 強力關注,2025,55.17,漢達,N/A,172.35,6620.TWO,10.61792863359443,🚀 利潤擴張,0.46,4.85,122.0,39.24,15.93
-40.0,-93.75,2026-03,-8.17%,⚪ 數據不足,2025,300.0,威盛,20.64%,-30.6,2388.TW,0.0,🚀 利潤擴張,0.08,0.12,69.4000015259,35.860000000000014,264.14
1.24,-5.7,2026-03,14.95%,💎 強力關注,2025,190.24,禾瑞亞,50.66%,81.9,3556.TWO,10.219780080054946,🏰 高護城河,1.19,2.15,55.7999992371,34.20000000000002,156.04
19.28,91.67,2026-03,N/A,⚪ 數據不足,2025,42.62,神數,N/A,0.0,7821.TW,0.0,🚀 利潤擴張,0.87,2.99,38.5999984741,32.379999999999995,10.24
15.19,-17.2,2025-12,30.89%,⚪ 數據不足,2025,34.92,未知,35.24%,0.0,2072.TWO,0.0,🚀 利潤擴張,11.94,7.56,0.0,28.590000000000003,6.33
-5.58,-13.21,2026-03,N/A,⚪ 數據不足,2025,23.4,向榮生技,N/A,-70.05,6794.TW,0.0,🧐 疑業外收益,-0.36,-1.89,76.5,27.259999999999998,-3.86
2.23,-197.83,2026-03,1.90%,⚪ 數據不足,2025,450.0,南緯,23.39%,-28.950000000000003,1467.TW,0.0,🔄 轉虧為盈,0.11,-0.45,7.9000000954,27.04000000000002,422.96
3.08,-27.83,2026-03,N/A,⚪ 數據不足,2025,42.86,頌勝科技,N/A,0.0,7768.TW,0.0,🚀 利潤擴張,1.62,3.24,252.5,26.23,16.63
3.08,-27.83,2026-03,N/A,⚪ 數據不足,2025,42.86,未知,N/A,0.0,7768.TWO,0.0,🚀 利潤擴張,1.62,3.24,0.0,26.23,16.63
20.5,11.37,2026-03,16.93%,⚪ 數據不足,2025,38.11,大東電,21.29%,0.0,1623.TW,0.0,🚀 利潤擴張,4.33,13.61,0.0,25.689999999999998,12.42
6.4,-1.08,2026-03,33.03%,💎 強力關注,2025,83.05,元大金,80.00%,105.6,2885.TW,9.701704978948865,🏰 高護城河,1.08,2.74,68.3000030518,20.689999999999998,62.36
0.36,-66.0,2026-03,N/A,✅ 穩健價值,2025,45.45,中連,N/A,33.45,5604.TWO,13.834080888565023,🚀 利潤擴張,0.32,0.85,30.8500003815,19.960000000000004,25.49
0.56,-11.63,2026-03,N/A,💎 強力關注,2025,470.83,宏遠證,N/A,24.599999999999998,6015.TWO,10.27439047652439,🚀 利潤擴張,0.89,0.76,16.8500003815,19.539999999999964,451.29
-8.35,-134.86,2026-03,N/A,⚪ 數據不足,2025,45.71,力新,N/A,-30.900000000000002,5202.TWO,0.0,🚀 利潤擴張,-0.19,-0.61,14.1499996185,18.900000000000002,26.81
4.06,13.1,2026-03,45.93%,💎 強力關注,2025,41.03,華南金,97.25%,70.8,2880.TW,9.936441001250001,🏰 高護城河,0.55,1.9,46.9000015259,18.060000000000002,22.97
13.9,35.0,2026-03,8.13%,⚠️ 追價風險,2025,234.78,博磊,31.93%,9.75,3581.TWO,142.76923546430768,🚀 利潤擴張,0.31,0.81,92.8000030518,17.97999999999999,216.8
14.52,28.3,2026-03,32.37%,💎 強力關注,2025,33.33,高雄銀,89.95%,25.200000000000003,2836.TW,7.291666666666666,🏰 高護城河,0.2,0.68,12.25,17.229999999999997,16.1
25.43,107.11,2026-03,N/A,⚠️ 追價風險,2025,331.43,環宇-KY,N/A,11.999999999999998,4991.TWO,522.5,🚀 利潤擴張,1.67,0.15,418.0,15.160000000000025,316.27
10.14,14.12,2026-03,N/A,⚪ 數據不足,2025,10.53,精誠金融,N/A,0.0,7819.TWO,0.0,🧐 疑業外收益,0.42,2.91,34.1500015259,12.35,-1.82
-12.26,-10.99,2026-03,39.14%,💎 強力關注,2025,34.04,凱基金,78.38%,57.14999999999999,2883.TW,10.013123760078741,🏰 高護城河,0.69,1.74,38.1500015259,12.0,22.04
-0.97,-14.12,2026-03,N/A,⚪ 數據不足,2025,52.29,華安,N/A,-109.2,6657.TW,0.0,🚀 利潤擴張,-0.53,-2.92,33.5999984741,10.350000000000001,41.94
6.74,4.19,2026-03,60.64%,⚠️ 追價風險,2025,29.13,力旺,100.00%,947.7,3529.TWO,41.547958214624884,🏰 高護城河,7.98,25.6,2625.0,9.14,19.99
-8.31,-53.57,2026-03,-4.59%,⚪ 數據不足,2025,283.33,宏亞,24.77%,-14.25,1236.TW,0.0,🔄 轉虧為盈,0.23,-0.43,25.5499992371,8.629999999999995,274.7
-15.19,-827.91,2026-03,-13.99%,⚪ 數據不足,2025,153.49,岱宇,27.77%,-89.10000000000001,1598.TW,0.0,🔄 轉虧為盈,0.25,-3.35,20.1000003815,7.890000000000015,145.6
15.86,24.93,2026-03,N/A,✅ 穩健價值,2025,56.0,全景軟體,N/A,136.05,8272.TWO,7.210584512227122,🚀 利潤擴張,0.39,4.66,65.4000015259,7.82,48.18
-2.15,-7.32,2026-03,20.24%,⚠️ 追價風險,2025,37.5,欣欣,84.77%,13.5,2901.TW,25.222223069888887,🏰 高護城河,0.11,0.38,22.7000007629,7.48,30.02
-3.6,14.95,2026-03,N/A,⚪ 數據不足,2025,-5.56,未知,N/A,0.0,4178.TWO,0.0,🌑 雙重衰退,-0.19,-0.92,0.0,5.7299999999999995,-11.29
-3.6,14.95,2026-03,N/A,⚪ 數據不足,2025,-5.56,永笙-KY,N/A,0.0,4178.TW,0.0,🌑 雙重衰退,-0.19,-0.92,16.4500007629,5.7299999999999995,-11.29
-3.57,-38.13,2026-03,N/A,✅ 穩健價值,2025,114.29,詩肯,N/A,63.6,6195.TWO,6.533019047853774,🚀 利潤擴張,1.5,0.99,27.7000007629,5.1200000000000045,109.17
-1.77,0.85,2026-03,33.61%,✅ 穩健價值,2025,16.67,兆豐金,83.45%,91.94999999999999,2886.TW,8.450244573752041,🏰 高護城河,0.63,2.36,51.7999992371,4.100000000000001,12.57
13.2,41.18,2026-03,-7.29%,⚠️ 追價風險,2025,16.67,聯傑,73.82%,7.35,3094.TW,86.22448979591837,🏰 高護城河,0.07,0.25,42.25,3.8000000000000025,12.87
-8.05,-326.32,2026-03,N/A,⚪ 數據不足,2025,300.0,亞電,N/A,-22.2,4939.TWO,0.0,🔄 轉虧為盈,0.24,-0.43,78.0,3.490000000000009,296.51
8.14,18.52,2026-03,N/A,⚪ 數據不足,2025,5.8,達人網,N/A,0.0,7839.TWO,0.0,🚀 利潤擴張,0.73,2.56,43.7999992371,3.3499999999999996,2.45
15.88,-16.92,2026-03,N/A,⚠️ 追價風險,2025,35.9,能率亞洲,N/A,12.149999999999999,7777.TWO,43.641973424814815,🚀 利潤擴張,-0.25,0.58,35.3499984741,3.0700000000000003,32.83
12.71,-27.47,2026-03,2.03%,✅ 穩健價值,2025,71.15,米斯特,64.17%,100.35000000000001,2941.TWO,4.5889388285351265,🏰 高護城河,0.89,2.35,30.7000007629,2.25,68.9
