prev_eps_yoy,symbol,advice,prev_eps,prev_year,price,est_price,rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_rev_yoy,name,status,eps
-40.53,3105.TWO,⚠️ 追價風險,1.57,2025,536.0,69.75,-4.69,31.80%,120.99,2025-12,115.26881720430107,13.87%,125.67999999999999,-13.87,穩懋,🧐 疑業外收益,4.0
128.33,6276.TWO,💎 強力關注,0.66,2025,31.5,43.650000000000006,20.19,N/A,142.59,2025-12,10.824742268041236,N/A,122.4,28.81,安鈦克,🚀 利潤擴張,0.92
111.76,1512.TW,⚠️ 追價風險,0.04,2025,7.4800000191,3.75,8.09,28.43%,127.94,2025-12,29.9200000764,-3.62%,119.85,2.64,瑞利,🚀 利潤擴張,0.19
425.0,2596.TWO,💎 強力關注,1.04,2025,28.75,67.5,59.65,32.97%,177.61,2025-12,6.388888888888889,26.41%,117.96000000000001,217.33,綠意,🚀 利潤擴張,1.86
190.91,8080.TWO,⚠️ 追價風險,0.2,2025,28.2999992371,10.350000000000001,22.38,N/A,139.29,2025-12,41.01449164797101,N/A,116.91,34.06,泰霖,🚀 利潤擴張,0.12
97.22,4555.TW,⚠️ 追價風險,-0.02,2025,40.3499984741,0.6000000000000001,7.47,31.93%,122.09,2025-12,1008.7499618524997,2.93%,114.62,8.77,氣立,🔄 轉虧為盈,0.19
55.56,6198.TWO,⚪ 數據不足,-0.12,2025,21.9500007629,-7.5,-90.1,N/A,23.33,2025-12,0.0,N/A,113.42999999999999,-92.7,瑞築,🧐 疑業外收益,-0.23
-14.81,4702.TWO,⚠️ 追價風險,0.23,2025,9.7299995422,5.250000000000002,-61.59,35.38%,51.72,2025-12,27.79999869199999,-88.29%,113.31,-60.26,中美實,🧐 疑業外收益,0.88
19.56,3260.TWO,💎 強力關注,10.08,2025,436.0,592.05,32.13,48.37%,144.7,2025-12,11.04636432733722,35.36%,112.57,22.8,威剛,🚀 利潤擴張,23.18
28.07,2025.TW,⚪ 數據不足,-0.41,2025,11.0500001907,-17.700000000000003,-22.64,-19.82%,87.32,2025-12,0.0,14.50%,109.96,-15.81,千興,🧐 疑業外收益,-0.18
104.35,8455.TWO,⚪ 數據不足,0.02,2025,23.7000007629,-4.95,-6.4,N/A,102.7,2025-12,0.0,N/A,109.10000000000001,-7.04,大拓-KY,🧐 疑業外收益,0.02
50.67,9955.TW,⚪ 數據不足,-0.37,2025,28.8999996185,-5.399999999999999,26.06,N/A,134.62,2025-12,0.0,N/A,108.56,17.8,佳龍,🔄 轉虧為盈,0.54
-46.86,4967.TW,✅ 穩健價值,3.47,2025,281.0,279.75000000000006,2.46,N/A,110.31,2025-12,15.067024128686326,N/A,107.85000000000001,-15.55,十銓,🚀 利潤擴張,13.06
80.0,8477.TWO,⚪ 數據不足,-0.62,2025,13.5500001907,-38.4,-52.73,N/A,53.77,2025-12,0.0,N/A,106.5,-51.54,創業家,🧐 疑業外收益,-0.92
127.38,2501.TW,💎 強力關注,1.91,2025,23.1499996185,94.35,1.8,26.51%,108.09,2025-12,3.680445090381558,17.13%,106.29,7.39,國建,🚀 利潤擴張,2.83
