expansion,eps_yoy,date,om,prev_eps,est_price,pe,symbol,prev_year,prev_rev_yoy,gm,name,eps,status,advice,prev_eps_yoy,price,rev_yoy
18.060000000000002,41.03,2026-03,45.93%,1.9,70.8,8.527542372881356,2880.TW,2025,4.06,97.25%,華南金,0.55,🏰 高護城河,💎 強力關注,13.1,40.25,22.97
17.97999999999999,234.78,2026-03,8.13%,0.81,9.75,170.0,3581.TWO,2025,13.9,31.93%,博磊,0.31,🚀 利潤擴張,⚠️ 追價風險,35.0,110.5,216.8
17.229999999999997,33.33,2026-03,32.37%,0.68,25.200000000000003,7.172619161130952,2836.TW,2025,14.52,89.95%,高雄銀,0.2,🏰 高護城河,💎 強力關注,28.3,12.0500001907,16.1
15.160000000000025,331.43,2026-03,N/A,0.15,11.999999999999998,650.0,4991.TWO,2025,25.43,N/A,環宇-KY,1.67,🚀 利潤擴張,⚠️ 追價風險,107.11,520.0,316.27
12.35,10.53,2026-03,N/A,2.91,0.0,0.0,7819.TWO,2025,10.14,N/A,精誠金融,0.42,🧐 疑業外收益,⚪ 數據不足,14.12,34.5,-1.82
12.0,34.04,2026-03,39.14%,1.74,57.14999999999999,8.595800524934385,2883.TW,2025,-12.26,78.38%,凱基金,0.69,🏰 高護城河,💎 強力關注,-10.99,32.75,22.04
10.350000000000001,52.29,2026-03,N/A,-2.92,-109.2,0.0,6657.TW,2025,-0.97,N/A,華安,-0.53,🚀 利潤擴張,⚪ 數據不足,-14.12,30.2999992371,41.94
9.14,29.13,2026-03,60.64%,25.6,947.7,40.20259575815131,3529.TWO,2025,6.74,100.00%,力旺,7.98,🏰 高護城河,⚠️ 追價風險,4.19,2540.0,19.99
8.629999999999995,283.33,2026-03,-4.59%,-0.43,-14.25,0.0,1236.TW,2025,-8.31,24.77%,宏亞,0.23,🔄 轉虧為盈,⚪ 數據不足,-53.57,25.5499992371,274.7
7.890000000000015,153.49,2026-03,-13.99%,-3.35,-89.10000000000001,0.0,1598.TW,2025,-15.19,27.77%,岱宇,0.25,🔄 轉虧為盈,⚪ 數據不足,-827.91,20.6000003815,145.6
7.82,56.0,2026-03,N/A,4.66,136.05,6.835722160970231,8272.TWO,2025,15.86,N/A,全景軟體,0.39,🚀 利潤擴張,✅ 穩健價值,24.93,62.0,48.18
7.48,37.5,2026-03,20.24%,0.38,13.5,26.27777735388889,2901.TW,2025,-2.15,84.77%,欣欣,0.11,🏰 高護城河,⚠️ 追價風險,-7.32,23.6499996185,30.02
5.7299999999999995,-5.56,2026-03,N/A,-0.92,0.0,0.0,4178.TWO,2025,-3.6,N/A,未知,-0.19,🌑 雙重衰退,⚪ 數據不足,14.95,0.0,-11.29
5.7299999999999995,-5.56,2026-03,N/A,-0.92,0.0,0.0,4178.TW,2025,-3.6,N/A,永笙-KY,-0.19,🌑 雙重衰退,⚪ 數據不足,14.95,17.1499996185,-11.29
5.1200000000000045,114.29,2026-03,N/A,0.99,63.6,6.580188589268868,6195.TWO,2025,-3.57,N/A,詩肯,1.5,🚀 利潤擴張,✅ 穩健價值,-38.13,27.8999996185,109.17
4.100000000000001,16.67,2026-03,33.61%,2.36,91.94999999999999,7.862969129347472,2886.TW,2025,-1.77,83.45%,兆豐金,0.63,🏰 高護城河,✅ 穩健價值,0.85,48.2000007629,12.57
3.8000000000000025,16.67,2026-03,-7.29%,0.25,7.35,83.2653045655102,3094.TW,2025,13.2,73.82%,聯傑,0.07,🏰 高護城河,⚠️ 追價風險,41.18,40.7999992371,12.87
3.490000000000009,300.0,2026-03,N/A,-0.43,-22.2,0.0,4939.TWO,2025,-8.05,N/A,亞電,0.24,🔄 轉虧為盈,⚪ 數據不足,-326.32,92.8000030518,296.51
3.3499999999999996,5.8,2026-03,N/A,2.56,0.0,0.0,7839.TWO,2025,8.14,N/A,達人網,0.73,🚀 利潤擴張,⚪ 數據不足,18.52,44.6500015259,2.45
3.0700000000000003,35.9,2026-03,N/A,0.58,12.149999999999999,49.567903118395066,7777.TWO,2025,15.88,N/A,能率亞洲,-0.25,🚀 利潤擴張,⚠️ 追價風險,-16.92,40.1500015259,32.83
2.25,71.15,2026-03,2.03%,2.35,100.35000000000001,4.461883465097159,2941.TWO,2025,12.71,64.17%,米斯特,0.89,🏰 高護城河,✅ 穩健價值,-27.47,29.8500003815,68.9
