股票代碼         名稱              收盤價       最佳均線        實戰勝率%          區間報酬%     交易次數       外資5日買超 目前狀態                
1436.TW      華友聯            55.1         18          0.0            0.0        0          512 📉 建議賣出              
1438.TW      三地開發          29.85          3        35.71          -0.39        8          -18 📈 持有 → 繼續持有         
1439.TW      雋揚            27.65          3        56.25           1.41        6          -17 📈 持有 → 繼續持有         
1442.TW      名軒            27.45          6        61.54           0.19        3        -1171 📈 持有 → 繼續持有         
1443.TW      立益物流          24.45          3        46.67           -0.8        9          -40 📉 建議賣出              
1444.TW      力麗             6.13          3         50.0            6.2        7          259 📈 持有 → 繼續持有         
1455.TW      集盛             9.26          6         70.0          22.34        1         -117 📈 持有 → 繼續持有         
1456.TW      怡華            13.65          5         35.0          -5.24        8          -23 📈 持有 → 繼續持有         
1459.TW      聯發            11.85          5        45.45            4.7        3         -114 📈 持有 → 繼續持有         
1460.TW      宏遠              6.9          4        66.67           6.57        5         -361 📈 持有 → 繼續持有         
1466.TW      聚隆             18.2          6         62.5          30.17        2         -517 📈 持有 → 繼續持有         
1470.TW      大統新創          22.45          3         37.5           -4.9        7          -14 📈 持有 → 繼續持有         
1471.TW      首利             13.3          3         50.0          38.28        8          -11 📉 建議賣出              
1477.TW      聚陽            287.0          8         40.0          -2.15        4        -2938 📉 建議賣出              
1503.TW      士電            205.0          8        55.56          29.03        2        -1664 📉 建議賣出              
1504.TW      東元             70.3         20          0.0            0.0        0         -821 📉 建議賣出              
1512.TW      瑞利             7.86          3        33.33           4.28        7         -120 📉 建議賣出              
1513.TW      中興電           162.0          8        66.67          22.69        2         1451 📈 持有 → 繼續持有         
1514.TW      亞力            117.5          6        61.11          38.18        3         1214 📈 持有 → 繼續持有         
1516.TW      川飛             22.9          4        63.64           6.18        7          -79 📉 建議賣出              
1519.TW      華城            921.0          6        43.48          21.38        5        -1113 📈 持有 → 繼續持有         
1522.TW      堤維西            34.9          6        54.55           8.48        2        -3093 📉 建議賣出              
1525.TW      江申             61.4          9        42.86          -4.78        4          -26 📉 建議賣出              
1528.TW      恩德             22.7          4        52.94          12.05        6         1068 📈 持有 → 繼續持有         
1529.TW      樂事綠能          29.15          4         64.0          41.17        4        -2558 📈 持有 → 繼續持有         
1535.TW      中宇             52.7          3        58.82          10.62        7          -96 📉 建議賣出              
1536.TW      和大             52.5          8        53.33           5.34        2          -58 📉 建議賣出              
1537.TW      廣隆            125.0          9         50.0           1.22        3           63 📈 持有 → 繼續持有         
1538.TW      正峰             17.6          6        44.44          -2.86        3            0 📉 建議賣出              
1560.TW      中砂            451.5          6        42.11            4.4        6        -2412 📉 建議賣出              
1563.TW      巧新            40.85         19          0.0            0.0        0            9 📉 建議賣出              
1568.TW      倉佑            22.35          4        58.82          15.65        3           17 📈 持有 → 繼續持有         
1569.TWO     濱川             51.7          4         61.9          12.06        3          227 📈 持有 → 繼續持有         
1582.TW      信錦             94.5         10        60.71           44.5        1          928 📈 持有 → 繼續持有         
1583.TW      程泰            43.15          4        43.75           6.27        5          -18 📈 持有 → 繼續持有         
1584.TWO     精剛             22.8         15         30.0          -9.66        3          239 📉 建議賣出              
1587.TW      吉茂             37.8         15          0.0            0.0        0         -294 📉 建議賣出              
1589.TW      永冠-KY           7.9         16         50.0          -2.23        1          259 📉 建議賣出              
1590.TW      亞德客-KY       1025.0          7         70.0          17.21        4          -50 📈 持有 → 繼續持有         
1591.TWO     駿吉-KY          45.6         20        16.67          -2.75        2          -66 📉 建議賣出              
1593.TWO     祺驊             33.4          4        44.44          15.31        6           -6 📉 建議賣出              
1597.TW      直得             80.0          8        47.37           3.65        4          378 📈 持有 → 繼續持有         
1599.TWO     宏佳騰           25.85          9         20.0          -4.01        1            7 📉 建議賣出              
1603.TW      華電             34.6          9        45.45           1.79        2        -2314 📉 建議賣出              
1605.TW      華新             33.8          5         50.0           9.43        4        13274 📈 持有 → 繼續持有         
1608.TW      華榮             33.8          8         40.0           -3.5        4          124 📈 持有 → 繼續持有         
1609.TW      大亞             35.8          7        66.67           10.0        3        -3106 📉 建議賣出              
1611.TW      中電            13.45          8        42.11           6.58        4          291 📈 持有 → 繼續持有         
1612.TW      宏泰             35.9          8        55.56          12.34        3          560 📈 持有 → 繼續持有         
1616.TW      億泰            25.25         10         50.0           2.99        2        -2599 📉 建議賣出              
1623.TW      大東電           203.0          5        45.45           7.09        3          146 📈 持有 → 繼續持有         
1708.TW      東鹼             44.0          3        66.67          25.55        6         2820 📈 持有 → 繼續持有         
1709.TW      和益            18.05         18         37.5           3.41        1          742 📈 持有 → 繼續持有         
1710.TW      東聯             13.4          4         45.0          -3.31        8        -5200 📉 建議賣出              
1711.TW      永光            39.05         18         70.0          63.39        0        13210 📈 持有 → 繼續持有         
1714.TW      和桐             9.84          3        45.45           7.73       11          823 📈 持有 → 繼續持有         
1717.TW      長興             63.7          5        52.38          30.43        4        -5346 📉 建議賣出              
1718.TW      中纖             7.39         14        46.67          -3.38        2         1946 📈 持有 → 繼續持有         
1721.TW      三晃             20.6          4        55.56           46.2        4          631 📈 持有 → 繼續持有         
1722.TW      台肥            47.25          3         55.0          -1.16        7         1411 📉 建議賣出              
1723.TW      中碳             75.0          4        58.33           8.81        5           22 📈 持有 → 繼續持有         
1725.TW      元禎            30.55          8        46.15          -2.13        4          -55 📈 持有 → 繼續持有         
1726.TW      永記             76.0          8        53.85          -0.92        4          -51 📈 持有 → 繼續持有         
1727.TW      中華化            55.5          9        57.14          21.87        2         3505 📈 持有 → 繼續持有         
1735.TW      日勝化            28.7         18        58.82          48.47        1         -198 📈 持有 → 繼續持有         
1736.TW      喬山            132.0         19          0.0          -3.86        1          419 📉 建議賣出              
1762.TW      中化生            29.9          3        47.06          13.21        9           -2 📈 持有 → 繼續持有         
1773.TW      勝一            145.5          3        42.11           -1.6        6          128 📉 建議賣出              
1776.TW      展宇            16.55          7        45.45           8.95        3           -3 📈 持有 → 繼續持有         
1784.TWO     訊聯             86.7         14         40.0          -4.68        1         -109 📉 建議賣出              
1785.TWO     光洋科            90.6          4        65.22          48.15        4        19864 📈 持有 → 繼續持有         
1789.TW      神隆             22.5          3         61.9          15.47        8         -230 📈 持有 → 繼續持有         
1795.TW      美時            239.5          7        64.71           9.59        3        -3557 📉 建議賣出              
1799.TWO     易威            39.65          4         75.0          36.35        3           21 📈 持有 → 繼續持有         
1802.TW      台玻             62.0          3         56.0          79.55        6        -1963 📈 持有 → 繼續持有         
1805.TW      寶徠            10.25         16          0.0            0.0        0          -23 📉 建議賣出              
1808.TW      潤隆             32.0         15         50.0           3.39        0         1813 📈 持有 → 繼續持有         
1809.TW      中釉             26.9          7        56.52          40.04        3         -125 📈 持有 → 繼續持有         
1815.TWO     富喬            108.0          3         50.0          14.41        7         1340 📉 建議賣出              
1904.TW      正隆             17.7          4        61.11           0.32        5        -1282 📈 持有 → 繼續持有         
2002.TW      中鋼            19.25         18         60.0           4.65        1       -25848 📉 建議賣出              
2006.TW      東和鋼鐵           76.6          4        71.43          18.03        4        -1009 📉 建議賣出              
2009.TW      第一銅           43.25         18        66.67            0.0        1           38 📉 建議賣出              
2010.TW      春源            24.15         19        68.18          11.88        1           57 📈 持有 → 繼續持有         
2012.TW      春雨             15.2          4         40.0          -2.64        5         -111 📈 持有 → 繼續持有         
2013.TW      中鋼構            44.1          5         50.0           4.19        4          126 📈 持有 → 繼續持有         
2014.TW      中鴻             17.8          5         45.0           7.19        6         5553 📈 持有 → 繼續持有         
