status,prev_year,prev_rev_yoy,price,eps_yoy,gm,advice,rev_yoy,pe,eps,name,om,expansion,prev_eps,prev_eps_yoy,symbol,est_price,date
🏰 高護城河,2025,6.74,2260.0,29.13,100.00%,⚠️ 追價風險,19.99,35.77081354859133,7.98,力旺,60.64%,9.14,25.6,4.19,3529.TWO,947.7,2026-03
🔄 轉虧為盈,2025,-8.31,25.3500003815,283.33,24.77%,⚪ 數據不足,274.7,0.0,0.23,宏亞,-4.59%,8.629999999999995,-0.43,-53.57,1236.TW,-14.25,2026-03
🔄 轉虧為盈,2025,-15.19,19.6499996185,153.49,27.77%,⚪ 數據不足,145.6,0.0,0.25,岱宇,-13.99%,7.890000000000015,-3.35,-827.91,1598.TW,-89.10000000000001,2026-03
🚀 利潤擴張,2025,15.86,62.5,56.0,N/A,✅ 穩健價值,48.18,6.890848952590959,0.39,全景軟體,N/A,7.82,4.66,24.93,8272.TWO,136.05,2026-03
🏰 高護城河,2025,-2.15,23.25,37.5,84.77%,⚠️ 追價風險,30.02,25.833333333333332,0.11,欣欣,20.24%,7.48,0.38,-7.32,2901.TW,13.5,2026-03
🌑 雙重衰退,2025,-3.6,0.0,-5.56,N/A,⚪ 數據不足,-11.29,0.0,-0.19,未知,N/A,5.7299999999999995,-0.92,14.95,4178.TWO,0.0,2026-03
🌑 雙重衰退,2025,-3.6,17.0,-5.56,N/A,⚪ 數據不足,-11.29,0.0,-0.19,永笙-KY,N/A,5.7299999999999995,-0.92,14.95,4178.TW,0.0,2026-03
🚀 利潤擴張,2025,-3.57,27.6499996185,114.29,N/A,✅ 穩健價值,109.17,6.521226325117924,1.5,詩肯,N/A,5.1200000000000045,0.99,-38.13,6195.TWO,63.6,2026-03
🏰 高護城河,2025,-1.77,47.0499992371,16.67,83.45%,✅ 穩健價值,12.57,7.675366922854814,0.63,兆豐金,33.61%,4.100000000000001,2.36,0.85,2886.TW,91.94999999999999,2026-03
🏰 高護城河,2025,13.2,36.25,16.67,73.82%,⚠️ 追價風險,12.87,73.9795918367347,0.07,聯傑,-7.29%,3.8000000000000025,0.25,41.18,3094.TW,7.35,2026-03
🔄 轉虧為盈,2025,-8.05,60.5,300.0,N/A,⚪ 數據不足,296.51,0.0,0.24,亞電,N/A,3.490000000000009,-0.43,-326.32,4939.TWO,-22.2,2026-03
🚀 利潤擴張,2025,8.14,45.0,5.8,N/A,⚪ 數據不足,2.45,0.0,0.73,達人網,N/A,3.3499999999999996,2.56,18.52,7839.TWO,0.0,2026-03
🚀 利潤擴張,2025,15.88,37.5499992371,35.9,N/A,⚠️ 追價風險,32.83,46.35802374950618,-0.25,能率亞洲,N/A,3.0700000000000003,0.58,-16.92,7777.TWO,12.149999999999999,2026-03
🏰 高護城河,2025,12.71,30.0,71.15,64.17%,✅ 穩健價值,68.9,4.484304932735426,0.89,米斯特,2.03%,2.25,2.35,-27.47,2941.TWO,100.35000000000001,2026-03
