price,advice,symbol,gm,eps,prev_year,prev_rev_yoy,status,prev_eps_yoy,pe,est_price,eps_yoy,prev_eps,om,date,name,expansion,rev_yoy
28.4500007629,⚠️ 追價風險,8080.TWO,N/A,0.12,2025,34.06,🚀 利潤擴張,190.91,41.23188516362318,10.350000000000001,139.29,0.2,N/A,2025-12,泰霖,116.91,22.38
46.0,⚠️ 追價風險,4555.TW,31.93%,0.19,2025,8.77,🔄 轉虧為盈,97.22,1149.9999999999998,0.6000000000000001,122.09,-0.02,2.93%,2025-12,氣立,114.62,7.47
20.9500007629,⚪ 數據不足,6198.TWO,N/A,-0.23,2025,-92.7,🧐 疑業外收益,55.56,0.0,-7.5,23.33,-0.12,N/A,2025-12,瑞築,113.42999999999999,-90.1
10.1999998093,⚠️ 追價風險,4702.TWO,35.38%,0.88,2025,-60.26,🧐 疑業外收益,-14.81,29.142856597999987,5.250000000000002,51.72,0.23,-88.29%,2025-12,中美實,113.31,-61.59
423.0,💎 強力關注,3260.TWO,48.37%,23.18,2025,22.8,🚀 利潤擴張,19.56,10.71700025335698,592.05,144.7,10.08,35.36%,2025-12,威剛,112.57,32.13
15.0,⚪ 數據不足,2025.TW,-19.82%,-0.18,2025,-15.81,🧐 疑業外收益,28.07,0.0,-17.700000000000003,87.32,-0.41,14.50%,2025-12,千興,109.96,-22.64
32.9500007629,⚪ 數據不足,8455.TWO,N/A,0.02,2025,-7.04,🧐 疑業外收益,104.35,0.0,-4.95,102.7,0.02,N/A,2025-12,大拓-KY,109.10000000000001,-6.4
27.6000003815,⚪ 數據不足,9955.TW,N/A,0.54,2025,17.8,🔄 轉虧為盈,50.67,0.0,-5.399999999999999,134.62,-0.37,N/A,2025-12,佳龍,108.56,26.06
277.0,✅ 穩健價值,4967.TW,N/A,13.06,2025,-15.55,🚀 利潤擴張,-46.86,14.852546916890079,279.75000000000006,110.31,3.47,N/A,2025-12,十銓,107.85000000000001,2.46
16.7999992371,⚪ 數據不足,8477.TWO,N/A,-0.92,2025,-51.54,🧐 疑業外收益,80.0,0.0,-38.4,53.77,-0.62,N/A,2025-12,創業家,106.5,-52.73
27.0,💎 強力關注,2501.TW,26.51%,2.83,2025,7.39,🚀 利潤擴張,127.38,4.292527821939586,94.35,108.09,1.91,17.13%,2025-12,國建,106.29,1.8
66.7000045776,⚪ 數據不足,6465.TWO,N/A,0.86,2025,5.09,🔄 轉虧為盈,29.25,0.0,-14.549999999999999,168.25,-0.75,N/A,2025-12,威潤,104.65,63.6
195.5,⚠️ 追價風險,3135.TW,19.12%,6.33,2025,34.74,🚀 利潤擴張,-29.03,22.368421052631582,131.09999999999997,143.64,1.5,16.62%,2025-12,凌航,103.75999999999999,39.88
64.5999984741,✅ 穩健價值,6150.TWO,N/A,2.63,2025,77.79,🚀 利潤擴張,156.36,12.142856856033838,79.8,164.15,1.55,N/A,2025-12,撼訊,102.95,61.2
83.0,⚠️ 追價風險,2465.TW,10.44%,0.43,2025,32.51,🚀 利潤擴張,102.43,64.84375,19.2,107.41,0.09,2.26%,2025-12,麗臺,101.99,5.42
36.0,⚠️ 追價風險,2926.TWO,40.82%,0.54,2025,2.58,🚀 利潤擴張,241.67,28.346456692913385,19.05,100.0,0.34,-1.48%,2025-12,誠品生活,98.16,1.84
20.8500003815,💎 強力關注,1541.TW,19.55%,2.32,2025,28.08,🚀 利潤擴張,41.94,4.760274059703196,65.7,118.87,1.32,7.07%,2025-12,錩泰,97.42,21.45
6.3000001907,💎 強力關注,2380.TW,24.41%,0.72,2025,9.38,🚀 利潤擴張,133.57,3.24742277871134,29.099999999999998,110.31,0.47,0.24%,2025-12,虹光,96.7,13.61
551.0,⚪ 數據不足,4971.TWO,N/A,1.65,2025,54.63,🚀 利潤擴張,103.17,0.0,-7.0500000000000025,146.97,0.09,N/A,2025-12,IET-KY,96.47999999999999,50.49
10.8000001907,⚪ 數據不足,5516.TWO,N/A,0.16,2025,7.31,🚀 利潤擴張,116.43,0.0,-7.35,104.43,0.34,N/A,2025-12,雙喜,96.02000000000001,8.41
