symbol,prev_eps,name,price,est_price,expansion,eps,eps_yoy,gm,rev_yoy,om,prev_eps_yoy,status,prev_rev_yoy,advice,pe,prev_year,date
1512.TW,0.04,瑞利,6.7399997711,3.75,119.85,0.19,127.94,28.43%,8.09,-3.62%,111.76,🚀 利潤擴張,2.64,⚠️ 追價風險,26.9599990844,2025,2025-12
2596.TWO,1.04,綠意,27.25,67.5,117.96000000000001,1.86,177.61,32.97%,59.65,26.41%,425.0,🚀 利潤擴張,217.33,💎 強力關注,6.055555555555555,2025,2025-12
8080.TWO,0.2,泰霖,29.0,10.350000000000001,116.91,0.12,139.29,N/A,22.38,N/A,190.91,🚀 利潤擴張,34.06,⚠️ 追價風險,42.028985507246375,2025,2025-12
4555.TW,-0.02,氣立,58.0999984741,0.6000000000000001,114.62,0.19,122.09,31.93%,7.47,2.93%,97.22,🔄 轉虧為盈,8.77,⚠️ 追價風險,1452.4999618524996,2025,2025-12
6198.TWO,-0.12,瑞築,20.75,-7.5,113.42999999999999,-0.23,23.33,N/A,-90.1,N/A,55.56,🧐 疑業外收益,-92.7,⚪ 數據不足,0.0,2025,2025-12
4702.TWO,0.23,中美實,9.6899995804,5.250000000000002,113.31,0.88,51.72,35.38%,-61.59,-88.29%,-14.81,🧐 疑業外收益,-60.26,⚠️ 追價風險,27.68571308685713,2025,2025-12
3260.TWO,10.08,威剛,415.0,592.05,112.57,23.18,144.7,48.37%,32.13,35.36%,19.56,🚀 利潤擴張,22.8,💎 強力關注,10.514314669369142,2025,2025-12
2025.TW,-0.41,千興,11.8999996185,-17.700000000000003,109.96,-0.18,87.32,-19.82%,-22.64,14.50%,28.07,🧐 疑業外收益,-15.81,⚪ 數據不足,0.0,2025,2025-12
8455.TWO,0.02,大拓-KY,46.3499984741,-4.95,109.10000000000001,0.02,102.7,N/A,-6.4,N/A,104.35,🧐 疑業外收益,-7.04,⚪ 數據不足,0.0,2025,2025-12
9955.TW,-0.37,佳龍,27.9500007629,-5.399999999999999,108.56,0.54,134.62,N/A,26.06,N/A,50.67,🔄 轉虧為盈,17.8,⚪ 數據不足,0.0,2025,2025-12
4967.TW,3.47,十銓,276.0,279.75000000000006,107.85000000000001,13.06,110.31,N/A,2.46,N/A,-46.86,🚀 利潤擴張,-15.55,✅ 穩健價值,14.798927613941016,2025,2025-12
8477.TWO,-0.62,創業家,19.7999992371,-38.4,106.5,-0.92,53.77,N/A,-52.73,N/A,80.0,🧐 疑業外收益,-51.54,⚪ 數據不足,0.0,2025,2025-12
2501.TW,1.91,國建,22.6499996185,94.35,106.29,2.83,108.09,26.51%,1.8,17.13%,127.38,🚀 利潤擴張,7.39,💎 強力關注,3.600953834419714,2025,2025-12
6465.TWO,-0.75,威潤,47.9000015259,-14.549999999999999,104.65,0.86,168.25,N/A,63.6,N/A,29.25,🔄 轉虧為盈,5.09,⚪ 數據不足,0.0,2025,2025-12
3135.TW,1.5,凌航,260.5,131.09999999999997,103.75999999999999,6.33,143.64,19.12%,39.88,16.62%,-29.03,🚀 利潤擴張,34.74,⚠️ 追價風險,29.805491990846686,2025,2025-12
6150.TWO,1.55,撼訊,68.5,79.8,102.95,2.63,164.15,N/A,61.2,N/A,156.36,🚀 利潤擴張,77.79,✅ 穩健價值,12.875939849624062,2025,2025-12
2465.TW,0.09,麗臺,82.8000030518,19.2,101.99,0.43,107.41,10.44%,5.42,2.26%,102.43,🚀 利潤擴張,32.51,⚠️ 追價風險,64.68750238421875,2025,2025-12
2926.TWO,0.34,誠品生活,34.9500007629,19.05,98.16,0.54,100.0,40.82%,1.84,-1.48%,241.67,🚀 利潤擴張,2.58,⚠️ 追價風險,27.519685640078738,2025,2025-12
1541.TW,1.32,錩泰,21.8500003815,65.7,97.42,2.32,118.87,19.55%,21.45,7.07%,41.94,🚀 利潤擴張,28.08,💎 強力關注,4.988584561986301,2025,2025-12
2380.TW,0.47,虹光,5.3899998665,29.099999999999998,96.7,0.72,110.31,24.41%,13.61,0.24%,133.57,🚀 利潤擴張,9.38,💎 強力關注,2.7783504466494846,2025,2025-12
4971.TWO,0.09,IET-KY,750.0,-7.0500000000000025,96.47999999999999,1.65,146.97,N/A,50.49,N/A,103.17,🚀 利潤擴張,54.63,⚪ 數據不足,0.0,2025,2025-12
5516.TWO,0.34,雙喜,10.3999996185,-7.35,96.02000000000001,0.16,104.43,N/A,8.41,N/A,116.43,🚀 利潤擴張,7.31,⚪ 數據不足,0.0,2025,2025-12
3363.TWO,0.37,上詮,797.0,10.65,95.32,0.16,134.04,12.43%,38.72,-9.15%,317.65,🚀 利潤擴張,49.52,⚠️ 追價風險,1122.5352112676055,2025,2025-12
6739.TWO,10.13,竹陞科技,1235.0,520.3499999999999,95.30000000000001,16.13,191.99,N/A,96.69,N/A,167.2,🚀 利潤擴張,94.38,⚠️ 追價風險,35.601037763044104,2025,2025-12
6125.TWO,0.13,廣運,66.6999969482,4.65,94.49000000000001,0.1,118.18,N/A,23.69,N/A,123.21,🚀 利潤擴張,15.42,⚠️ 追價風險,215.1612804780645,2025,2025-12
