gm,symbol,om,est_price,prev_eps,expansion,prev_eps_yoy,prev_rev_yoy,name,status,eps_yoy,pe,advice,date,eps,price,prev_year,rev_yoy
N/A,6684.TWO,N/A,189.75000000000003,3.24,152.56,203.85,-15.66,安格,🧐 疑業外收益,137.2,3.6600789910750984,💎 強力關注,2025-12,1.57,46.2999992371,2025,-15.36
N/A,6838.TW,N/A,-13.5,-0.24,152.03,77.78,-95.44,台新藥,🧐 疑業外收益,58.65,0.0,⚪ 數據不足,2025-12,-0.55,26.0499992371,2025,-93.38
98.33%,4157.TWO,81.17%,-5.8500000000000005,-0.22,147.76,-1000.0,-79.84,太景*-KY,🔄 轉虧為盈,220.0,0.0,⚪ 數據不足,2025-12,0.06,9.2100000381,2025,72.24
43.11%,3252.TWO,22.84%,2.4,-0.1,145.65,54.55,-4.86,海灣,🔄 轉虧為盈,141.94,113.750004768125,⚠️ 追價風險,2025-12,0.13,18.2000007629,2025,-3.71
11.59%,3162.TWO,1.68%,67.05000000000001,1.25,143.77999999999997,292.31,89.71,精確,🚀 利潤擴張,209.26,19.709171918143173,⚪ 中性觀察,2025-12,1.7,88.0999984741,2025,65.48
5.83%,3673.TW,-0.68%,107.1,2.56,142.39000000000001,55.15,-8.66,TPK-KY,🧐 疑業外收益,133.62,10.392156435322129,💎 強力關注,2025-12,2.71,74.1999969482,2025,-8.77
N/A,6236.TWO,N/A,4.050000000000001,0.05,140.19,111.11,-18.24,中湛,🧐 疑業外收益,119.51,74.07407407407408,⚠️ 追價風險,2025-12,0.08,20.0,2025,-20.68
N/A,6708.TWO,N/A,6.449999999999999,0.05,138.32,119.23,48.16,天擎,🚀 利潤擴張,180.65,93.72092845837211,⚠️ 追價風險,2025-12,0.25,40.2999992371,2025,42.33
N/A,5227.TWO,N/A,9.450000000000005,2.99,137.15,199.67,-19.06,立凱-KY,🧐 疑業外收益,104.91,40.87301587301585,⚠️ 追價風險,2025-12,0.17,25.75,2025,-32.24
N/A,6485.TWO,N/A,18.9,-0.32,135.37,70.64,14.7,點序,🔄 轉虧為盈,152.21,82.93650793650794,⚠️ 追價風險,2025-12,0.71,104.5,2025,16.84
49.05%,2408.TW,39.15%,-28.5,-1.45,134.79,-28.32,32.43,南亞科,🔄 轉虧為盈,229.88,0.0,⚪ 數據不足,2025-12,2.13,293.0,2025,95.09
8.09%,3709.TWO,5.14%,205.50000000000003,3.61,133.87,167.46,55.41,鑫聯大投控,🚀 利潤擴張,178.19,6.350364963503649,💎 強力關注,2025-12,7.11,87.0,2025,44.32
-8.98%,3466.TWO,-223.66%,-57.45,-0.81,131.46,65.77,-68.41,德晉,🧐 疑業外收益,58.98,0.0,⚪ 數據不足,2025-12,-1.11,35.0999984741,2025,-72.48
54.76%,3081.TWO,41.27%,183.0,4.66,130.47000000000003,884.75,82.29,聯亞,🏰 高護城河,645.65,209.42622950819674,⚠️ 追價風險,2026-03,3.44,2555.0,2025,515.18
-156.07%,4934.TW,-456.27%,-35.85,-0.67,129.82,16.25,-81.44,太極,🧐 疑業外收益,54.11,0.0,⚪ 數據不足,2025-12,-0.95,16.9500007629,2025,-75.71
18.52%,2607.TW,6.32%,130.35,2.72,127.97999999999999,139.38,-19.69,榮運,🧐 疑業外收益,108.46,5.4948216340621405,💎 強力關注,2025-12,3.56,47.75,2025,-19.52
