eps,symbol,prev_year,name,expansion,status,eps_yoy,rev_yoy,prev_eps_yoy,prev_rev_yoy,price,est_price,date,om,advice,gm,pe,prev_eps
0.53,5703.TWO,2025,亞都,173.32999999999998,🚀 利潤擴張,178.95,5.62,175.0,4.04,14.3000001907,13.5,2025-12,N/A,✅ 穩健價值,N/A,15.888889100777778,0.09
0.92,6209.TW,2025,今國光,172.01999999999998,🚀 利潤擴張,222.67,50.65,190.57,39.08,81.0,22.800000000000004,2025-12,N/A,⚠️ 追價風險,N/A,53.28947368421052,0.49
0.89,6841.TWO,2025,長佳智能,171.64000000000001,🚀 利潤擴張,183.87,12.23,1700.0,2.1,60.7000007629,33.150000000000006,2025-12,N/A,⚠️ 追價風險,N/A,27.4660636936199,0.81
5.45,7610.TW,2025,聯友金屬-創,166.18,🚀 利潤擴張,194.08,27.9,3.33,-4.54,1725.0,107.1,2025-12,N/A,⚠️ 追價風險,N/A,241.5966386554622,1.75
0.37,1587.TW,2025,吉茂,164.99,🚀 利潤擴張,188.1,23.11,155.81,19.92,27.8999996185,10.35,2025-12,2.96%,⚠️ 追價風險,18.05%,40.43478205579711,0.24
0.22,2486.TW,2025,一詮,164.91,🚀 利潤擴張,175.0,10.09,300.0,13.26,246.0,4.65,2025-12,1.35%,⚠️ 追價風險,15.86%,793.5483870967741,0.16
6.34,6994.TW,2025,富威電力,164.37,🚀 利潤擴張,328.87,164.5,47.95,21.0,0.0,0.0,2025-12,N/A,⚪ 數據不足,N/A,0.0,1.13
18.83,6596.TWO,2025,寬宏藝術,164.31,🚀 利潤擴張,242.99,78.68,241.37,97.52,94.5,693.9,2025-12,N/A,💎 強力關注,N/A,2.0428015564202338,17.41
0.68,6265.TWO,2025,方土昶,160.96,🔄 轉虧為盈,223.81,62.85,-271.43,25.19,56.2999992371,-11.25,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.24
13.74,5439.TWO,2025,高技,160.61999999999998,🚀 利潤擴張,291.45,130.83,280.8,130.37,355.5,435.15,2025-12,N/A,✅ 穩健價值,N/A,12.254395036194417,9.52
-0.09,3489.TWO,2025,森寶,159.73000000000002,🧐 疑業外收益,89.89,-69.84,23.53,-54.34,22.4500007629,-4.95,2025-12,3.61%,⚪ 數據不足,10.14%,0.0,-0.13
1.81,4526.TW,2025,東台,157.18,🧐 疑業外收益,150.56,-6.62,271.05,-1.22,38.0,106.8,2025-12,-21.47%,💎 強力關注,7.66%,5.337078651685393,2.61
1.86,3630.TWO,2025,新鉅科,153.81,🚀 利潤擴張,173.02,19.21,219.44,18.28,30.3999996185,91.05,2025-12,-22.27%,💎 強力關注,4.18%,5.008237169439869,2.19
1.57,6684.TWO,2025,安格,152.56,🧐 疑業外收益,137.2,-15.36,203.85,-15.66,49.4000015259,189.75000000000003,2025-12,N/A,💎 強力關注,N/A,3.905138460545454,3.24
-0.55,6838.TW,2025,台新藥,152.03,🧐 疑業外收益,58.65,-93.38,77.78,-95.44,24.7999992371,-13.5,2025-12,N/A,⚪ 數據不足,N/A,0.0,-0.24
0.06,4157.TWO,2025,太景*-KY,147.76,🔄 轉虧為盈,220.0,72.24,-1000.0,-79.84,8.6000003815,-5.8500000000000005,2025-12,81.17%,⚪ 數據不足,98.33%,0.0,-0.22
0.13,3252.TWO,2025,海灣,145.65,🔄 轉虧為盈,141.94,-3.71,54.55,-4.86,18.0,2.4,2025-12,22.84%,⚠️ 追價風險,43.11%,112.5,-0.1
1.7,3162.TWO,2025,精確,143.77999999999997,🚀 利潤擴張,209.26,65.48,292.31,89.71,85.5,67.05000000000001,2025-12,1.68%,⚪ 中性觀察,11.59%,19.127516778523486,1.25
2.71,3673.TW,2025,TPK-KY,142.39000000000001,🧐 疑業外收益,133.62,-8.77,55.15,-8.66,80.8000030518,107.1,2025-12,-0.68%,💎 強力關注,5.83%,11.316527038067228,2.56
0.08,6236.TWO,2025,中湛,140.19,🧐 疑業外收益,119.51,-20.68,111.11,-18.24,19.0,4.050000000000001,2025-12,N/A,⚠️ 追價風險,N/A,70.37037037037037,0.05
0.25,6708.TWO,2025,天擎,138.32,🚀 利潤擴張,180.65,42.33,119.23,48.16,38.75,6.449999999999999,2025-12,N/A,⚠️ 追價風險,N/A,90.11627906976746,0.05
