prev_eps_yoy,om,pe,prev_rev_yoy,eps_yoy,gm,name,est_price,prev_year,price,date,rev_yoy,status,eps,prev_eps,expansion,symbol,advice
3.28,38.94%,10.065359227777778,4.6,127.27,90.85%,國票金,22.95,2025,15.3999996185,2026-03,58.58,🏰 高護城河,0.25,0.63,68.69,2889.TW,💎 強力關注
24.43,20.98%,5.530921998354726,-4.63,107.35,82.18%,麗豐-KY,257.1,2025,94.8000030518,2026-03,40.15,🏰 高護城河,1.41,7.13,67.19999999999999,4137.TW,💎 強力關注
-31.03,3.73%,0.0,-28.72,175.0,54.59%,研勤,-15.3,2025,7.7600002289,2026-03,110.52,🔄 轉虧為盈,0.06,-0.38,64.48,3632.TWO,⚪ 數據不足
-24.06,N/A,0.0,2.38,106.9,N/A,和迅,0.0,2025,43.6500015259,2026-03,42.91,🚀 利潤擴張,0.6,2.43,63.99000000000001,6986.TWO,⚪ 數據不足
-184.44,-45.46%,0.0,-7.78,175.0,31.44%,穎漢,-38.1,2025,28.25,2026-03,111.03,🔄 轉虧為盈,0.11,-1.28,63.97,4562.TW,⚪ 數據不足
-7120.0,-55.72%,0.0,-29.69,62.5,93.22%,泰偉,-122.4,2025,18.0,2026-03,-1.0,🏰 高護城河,-0.27,-3.51,63.5,3064.TWO,⚪ 數據不足
17.33,N/A,4.845132518303834,12.14,235.0,N/A,群益證,101.7,2025,32.8499984741,2026-03,171.79,🚀 利潤擴張,1.34,2.64,63.21000000000001,6005.TW,💎 強力關注
152.25,N/A,47.23880540074628,19.69,500.0,N/A,車王電,10.049999999999997,2025,31.6499996185,2026-03,438.18,🚀 利潤擴張,0.84,0.58,61.81999999999999,1533.TW,⚠️ 追價風險
34.55,7.12%,14.033332824733334,-4.85,600.0,20.98%,正隆,22.5,2025,21.0499992371,2026-03,538.23,🚀 利潤擴張,0.56,0.74,61.76999999999998,1904.TW,✅ 穩健價值
-26.32,N/A,10.48748332992095,-4.59,206.45,N/A,日揚,113.85,2025,79.5999984741,2026-03,150.03,🚀 利潤擴張,1.9,2.52,56.41999999999999,6208.TWO,💎 強力關注
-36.9,N/A,10.363070697697093,-6.81,204.17,N/A,強生,72.30000000000001,2025,49.9500007629,2026-03,148.33,🚀 利潤擴張,1.46,1.19,55.839999999999975,4747.TWO,💎 強力關注
49.15,N/A,0.0,2.65,244.44,N/A,九暘,-18.45,2025,64.5,2026-03,189.01,🔄 轉虧為盈,0.13,-0.6,55.43000000000001,8040.TWO,⚪ 數據不足
905.92,-106.23%,2.0911085880406146,-6.28,239.47,41.95%,晟德,273.29999999999995,2025,38.0999984741,2026-03,185.42,🚀 利潤擴張,2.62,12.33,54.05000000000001,4123.TWO,💎 強力關注
-48.08,N/A,0.0,-29.22,-2.96,N/A,心誠鎂,0.0,2025,74.5,2026-03,-55.48,🌑 雙重衰退,-1.43,-3.92,52.519999999999996,6934.TW,⚪ 數據不足
66.34,N/A,7.036817102137768,6.51,147.37,N/A,霈方,252.6,2025,118.5,2026-03,95.63,🚀 利潤擴張,3.29,6.82,51.74000000000001,6574.TWO,💎 強力關注
38.44,N/A,0.0,182.72,139.49,N/A,永擎,0.0,2025,0.0,2026-03,91.93,🚀 利潤擴張,7.68,13.04,47.56,7711.TW,⚪ 數據不足
-36.17,N/A,12.924528121933962,23.54,406.06,N/A,廣寰科,31.8,2025,27.3999996185,2026-03,359.48,🚀 利潤擴張,1.01,1.5,46.579999999999984,3287.TWO,✅ 穩健價值
544.54,N/A,2.333674435731832,-17.0,112.5,N/A,琉園,146.54999999999998,2025,22.7999992371,2026-03,66.65,🚀 利潤擴張,0.03,5.29,45.849999999999994,9949.TWO,💎 強力關注
31.64,N/A,7.624020754926023,108.17,55.17,N/A,漢達,172.35,2025,87.5999984741,2026-03,15.93,🚀 利潤擴張,0.46,4.85,39.24,6620.TWO,💎 強力關注
-93.75,-8.17%,0.0,-40.0,300.0,20.64%,威盛,-30.6,2025,67.4000015259,2026-03,264.14,🚀 利潤擴張,0.08,0.12,35.860000000000014,2388.TW,⚪ 數據不足
-5.7,14.95%,10.018315158040293,1.24,190.24,50.66%,禾瑞亞,81.9,2025,54.7000007629,2026-03,156.04,🏰 高護城河,1.19,2.15,34.20000000000002,3556.TWO,💎 強力關注
