prev_year,symbol,expansion,name,status,prev_eps_yoy,price,pe,rev_yoy,prev_eps,gm,date,eps,prev_rev_yoy,est_price,om,eps_yoy,advice
2025,1598.TW,7.890000000000015,岱宇,🔄 轉虧為盈,-827.91,20.6499996185,0.0,145.6,-3.35,27.77%,2026-03,0.25,-15.19,-89.10000000000001,-13.99%,153.49,⚪ 數據不足
2025,8272.TWO,7.82,全景軟體,🚀 利潤擴張,24.93,62.0,6.835722160970231,48.18,4.66,N/A,2026-03,0.39,15.86,136.05,N/A,56.0,✅ 穩健價值
2025,2901.TW,7.48,欣欣,🏰 高護城河,-7.32,23.8999996185,26.555555131666665,30.02,0.38,84.77%,2026-03,0.11,-2.15,13.5,20.24%,37.5,⚠️ 追價風險
2025,4178.TWO,5.7299999999999995,未知,🌑 雙重衰退,14.95,0.0,0.0,-11.29,-0.92,N/A,2026-03,-0.19,-3.6,0.0,N/A,-5.56,⚪ 數據不足
2025,4178.TW,5.7299999999999995,永笙-KY,🌑 雙重衰退,14.95,17.5,0.0,-11.29,-0.92,N/A,2026-03,-0.19,-3.6,0.0,N/A,-5.56,⚪ 數據不足
2025,6195.TWO,5.1200000000000045,詩肯,🚀 利潤擴張,-38.13,27.8500003815,6.568396316391509,109.17,0.99,N/A,2026-03,1.5,-3.57,63.6,N/A,114.29,✅ 穩健價值
2025,2886.TW,4.100000000000001,兆豐金,🏰 高護城河,0.85,46.1500015259,7.528548372903754,12.57,2.36,83.45%,2026-03,0.63,-1.77,91.94999999999999,33.61%,16.67,✅ 穩健價值
2025,3094.TW,3.8000000000000025,聯傑,🏰 高護城河,41.18,38.0999984741,77.75509892673469,12.87,0.25,73.82%,2026-03,0.07,13.2,7.35,-7.29%,16.67,⚠️ 追價風險
2025,4939.TWO,3.490000000000009,亞電,🔄 轉虧為盈,-326.32,86.5999984741,0.0,296.51,-0.43,N/A,2026-03,0.24,-8.05,-22.2,N/A,300.0,⚪ 數據不足
2025,7839.TWO,3.3499999999999996,達人網,🚀 利潤擴張,18.52,45.0,0.0,2.45,2.56,N/A,2026-03,0.73,8.14,0.0,N/A,5.8,⚪ 數據不足
2025,7777.TWO,3.0700000000000003,能率亞洲,🚀 利潤擴張,-16.92,41.5,51.23456790123457,32.83,0.58,N/A,2026-03,-0.25,15.88,12.149999999999999,N/A,35.9,⚠️ 追價風險
2025,2941.TWO,2.25,米斯特,🏰 高護城河,-27.47,29.7999992371,4.454409452481315,68.9,2.35,64.17%,2026-03,0.89,12.71,100.35000000000001,2.03%,71.15,✅ 穩健價值
