date,eps_yoy,gm,rev_yoy,advice,expansion,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,om,name,prev_year,pe,symbol,status,price,est_price
2025-12,119.51,N/A,-20.68,⚪ 數據不足,140.19,0.08,0.05,111.11,-18.24,N/A,中湛,2025,0.0,6236.TWO,🧐 疑業外收益,0.0,0.0
2025-12,180.65,N/A,42.33,⚠️ 追價風險,138.32,0.25,0.05,119.23,48.16,N/A,天擎,2025,96.27907331604654,6708.TWO,🚀 利潤擴張,41.4000015259,6.449999999999999
2025-12,104.91,N/A,-32.24,⚠️ 追價風險,137.15,0.17,2.99,199.67,-19.06,N/A,立凱-KY,2025,32.936507936507915,5227.TWO,🧐 疑業外收益,20.75,9.450000000000005
2025-12,152.21,N/A,16.84,⚠️ 追價風險,135.37,0.71,-0.32,70.64,14.7,N/A,點序,2025,65.55555434452381,6485.TWO,🔄 轉虧為盈,82.5999984741,18.9
2025-12,229.88,49.05%,95.09,⚪ 數據不足,134.79,2.13,-1.45,-28.32,32.43,39.15%,南亞科,2025,0.0,2408.TW,🔄 轉虧為盈,274.0,-28.5
2025-12,178.19,8.09%,44.32,💎 強力關注,133.87,7.11,3.61,167.46,55.41,5.14%,鑫聯大投控,2025,6.78102200918978,3709.TWO,🚀 利潤擴張,92.9000015259,205.50000000000003
2025-12,58.98,-8.98%,-72.48,⚪ 數據不足,131.46,-1.11,-0.81,65.77,-68.41,-223.66%,德晉,2025,0.0,3466.TWO,🧐 疑業外收益,41.0999984741,-57.45
2026-03,645.65,54.76%,515.18,⚠️ 追價風險,130.47000000000003,3.44,4.66,884.75,82.29,41.27%,聯亞,2025,214.75409836065575,3081.TWO,🏰 高護城河,2620.0,183.0
2025-12,54.11,-156.07%,-75.71,⚪ 數據不足,129.82,-0.95,-0.67,16.25,-81.44,-456.27%,太極,2025,0.0,4934.TW,🧐 疑業外收益,18.5,-35.85
2025-12,108.46,18.52%,-19.52,💎 強力關注,127.97999999999999,3.56,2.72,139.38,-19.69,6.32%,榮運,2025,5.512083029447641,2607.TW,🧐 疑業外收益,47.9000015259,130.35
2025-12,159.21,N/A,32.59,⚠️ 追價風險,126.62,8.61,3.03,103.38,12.38,N/A,青雲,2025,30.718954248366014,5386.TWO,🚀 利潤擴張,470.0,229.49999999999997
2025-12,161.27,N/A,35.14,💎 強力關注,126.13000000000001,3.76,2.46,128.3,13.11,N/A,美好證,2025,7.889390691399548,6021.TWO,🚀 利潤擴張,34.9500007629,66.44999999999999
2025-12,155.22,27.46%,29.09,⚪ 數據不足,126.13,0.74,0.47,147.47,30.74,-3.44%,曜越,2025,0.0,3540.TWO,🚀 利潤擴張,0.0,0.0
2025-12,177.17,N/A,51.31,💎 強力關注,125.85999999999999,2.55,2.05,130.34,62.88,N/A,山林水,2025,4.921763652076814,8473.TW,🚀 利潤擴張,34.5999984741,105.44999999999999
2025-12,120.99,31.80%,-4.69,⚠️ 追價風險,125.67999999999999,4.0,1.57,-40.53,-13.87,13.87%,穩懋,2025,105.91397849462365,3105.TWO,🧐 疑業外收益,492.5,69.75
