prev_eps_yoy,expansion,date,name,om,prev_year,gm,est_price,prev_rev_yoy,symbol,price,advice,prev_eps,pe,eps,eps_yoy,status,rev_yoy
152.25,61.81999999999999,2026-03,車王電,N/A,2025,N/A,10.049999999999997,19.69,1533.TW,31.4500007629,⚠️ 追價風險,0.58,46.94029964611941,0.84,500.0,🚀 利潤擴張,438.18
34.55,61.76999999999998,2026-03,正隆,7.12%,2025,20.98%,22.5,-4.85,1904.TW,21.25,✅ 穩健價值,0.74,14.166666666666666,0.56,600.0,🚀 利潤擴張,538.23
-26.32,56.41999999999999,2026-03,日揚,N/A,2025,N/A,113.85,-4.59,6208.TWO,79.0999984741,💎 強力關注,2.52,10.421607177088275,1.9,206.45,🚀 利潤擴張,150.03
-36.9,55.839999999999975,2026-03,強生,N/A,2025,N/A,72.30000000000001,-6.81,4747.TWO,48.5999984741,💎 強力關注,1.19,10.082987235290455,1.46,204.17,🚀 利潤擴張,148.33
49.15,55.43000000000001,2026-03,九暘,N/A,2025,N/A,-18.45,2.65,8040.TWO,61.2000007629,⚪ 數據不足,-0.6,0.0,0.13,244.44,🔄 轉虧為盈,189.01
905.92,54.05000000000001,2026-03,晟德,-106.23%,2025,41.95%,273.29999999999995,-6.28,4123.TWO,37.4500007629,💎 強力關注,12.33,2.0554336313336994,2.62,239.47,🚀 利潤擴張,185.42
-48.08,52.519999999999996,2026-03,心誠鎂,N/A,2025,N/A,0.0,-29.22,6934.TW,73.5,⚪ 數據不足,-3.92,0.0,-1.43,-2.96,🌑 雙重衰退,-55.48
66.34,51.74000000000001,2026-03,霈方,N/A,2025,N/A,252.6,6.51,6574.TWO,114.0,💎 強力關注,6.82,6.7695961995249405,3.29,147.37,🚀 利潤擴張,95.63
38.44,47.56,2026-03,永擎,N/A,2025,N/A,0.0,182.72,7711.TW,0.0,⚪ 數據不足,13.04,0.0,7.68,139.49,🚀 利潤擴張,91.93
-36.17,46.579999999999984,2026-03,廣寰科,N/A,2025,N/A,31.8,23.54,3287.TWO,27.0,✅ 穩健價值,1.5,12.735849056603772,1.01,406.06,🚀 利潤擴張,359.48
544.54,45.849999999999994,2026-03,琉園,N/A,2025,N/A,146.54999999999998,-17.0,9949.TWO,23.0,💎 強力關注,5.29,2.354145342886387,0.03,112.5,🚀 利潤擴張,66.65
31.64,39.24,2026-03,漢達,N/A,2025,N/A,172.35,108.17,6620.TWO,96.3000030518,💎 強力關注,4.85,8.381201309991297,0.46,55.17,🚀 利潤擴張,15.93
-93.75,35.860000000000014,2026-03,威盛,-8.17%,2025,20.64%,-30.6,-40.0,2388.TW,65.3000030518,⚪ 數據不足,0.12,0.0,0.08,300.0,🚀 利潤擴張,264.14
-5.7,34.20000000000002,2026-03,禾瑞亞,14.95%,2025,50.66%,81.9,1.24,3556.TWO,54.0999984741,💎 強力關注,2.15,9.908424628956043,1.19,190.24,🏰 高護城河,156.04
91.67,32.379999999999995,2026-03,神數,N/A,2025,N/A,0.0,19.28,7821.TW,39.9000015259,⚪ 數據不足,2.99,0.0,0.87,42.62,🚀 利潤擴張,10.24
-17.2,28.590000000000003,2025-12,未知,30.89%,2025,35.24%,0.0,15.19,2072.TWO,0.0,⚪ 數據不足,7.56,0.0,11.94,34.92,🚀 利潤擴張,6.33
-13.21,27.259999999999998,2026-03,向榮生技,N/A,2025,N/A,-70.05,-5.58,6794.TW,75.8000030518,⚪ 數據不足,-1.89,0.0,-0.36,23.4,🧐 疑業外收益,-3.86
-197.83,27.04000000000002,2026-03,南緯,1.90%,2025,23.39%,-28.950000000000003,2.23,1467.TW,9.4300003052,⚪ 數據不足,-0.45,0.0,0.11,450.0,🔄 轉虧為盈,422.96
-27.83,26.23,2026-03,頌勝科技,N/A,2025,N/A,0.0,3.08,7768.TW,234.0,⚪ 數據不足,3.24,0.0,1.62,42.86,🚀 利潤擴張,16.63
-27.83,26.23,2026-03,未知,N/A,2025,N/A,0.0,3.08,7768.TWO,0.0,⚪ 數據不足,3.24,0.0,1.62,42.86,🚀 利潤擴張,16.63
11.37,25.689999999999998,2026-03,大東電,16.93%,2025,21.29%,0.0,20.5,1623.TW,0.0,⚪ 數據不足,13.61,0.0,4.33,38.11,🚀 利潤擴張,12.42
-1.08,20.689999999999998,2026-03,元大金,33.03%,2025,80.00%,105.6,6.4,2885.TW,63.0999984741,💎 強力關注,2.74,8.963067965071023,1.08,83.05,🏰 高護城河,62.36
-66.0,19.960000000000004,2026-03,中連,N/A,2025,N/A,33.45,0.36,5604.TWO,30.1499996185,✅ 穩健價值,0.85,13.520179201121076,0.32,45.45,🚀 利潤擴張,25.49
