expansion,eps_yoy,est_price,date,prev_rev_yoy,prev_eps,prev_eps_yoy,symbol,rev_yoy,price,advice,eps,pe,name,om,gm,prev_year,status
89.48000000000002,1080.0,44.550000000000004,2026-03,14.16,1.39,104.41,6931.TW,990.52,40.0,✅ 穩健價值,0.49,13.468013468013467,青松健康,N/A,N/A,2025,🚀 利潤擴張
88.79000000000002,575.0,-24.299999999999994,2026-03,-18.58,-0.84,-169.49,1599.TWO,486.21,23.2999992371,⚪ 數據不足,0.28,0.0,宏佳騰,-21.33%,16.92%,2025,🔄 轉虧為盈
84.69999999999999,166.67,-18.3,2026-03,0.19,-0.61,17.57,4147.TWO,81.97,60.0999984741,⚪ 數據不足,0.06,0.0,中裕,-58.34%,28.91%,2025,🔄 轉虧為盈
83.63,186.6,97.8,2026-03,-14.02,2.41,-51.9,1339.TW,102.97,43.4000015259,💎 強力關注,2.78,6.656441951825154,昭輝,13.17%,33.66%,2025,🚀 利潤擴張
83.04000000000002,392.86,81.9,2026-03,15.32,3.02,78.06,2436.TW,309.82,70.8000030518,✅ 穩健價值,0.7,12.967033525970697,偉詮電,3.76%,30.84%,2025,🚀 利潤擴張
81.14999999999999,178.26,45.449999999999996,2026-03,-8.83,1.11,-50.67,6756.TW,97.11,94.6999969482,⚠️ 追價風險,0.64,31.254124405346534,威鋒電子,N/A,N/A,2025,🚀 利潤擴張
74.29000000000002,136.36,77.99999999999999,2026-03,2.09,1.97,-64.44,3546.TWO,62.07,81.5999984741,✅ 穩健價值,2.34,15.692307398865388,宇峻,20.17%,89.44%,2025,🏰 高護城河
73.29,99.93,0.0,2026-03,22.72,-1.49,96.29,7823.TW,26.64,79.0,⚪ 數據不足,-0.15,0.0,奧義賽博-KY創,N/A,N/A,2025,🚀 利潤擴張
71.78,-25.93,-96.44999999999999,2026-03,19.25,-2.43,-99.18,6169.TWO,-97.71,14.5500001907,⚪ 數據不足,-0.68,0.0,昱泉,N/A,N/A,2025,🌑 雙重衰退
71.62,650.0,-17.549999999999997,2026-03,0.63,0.14,-91.14,8354.TWO,578.38,16.2000007629,⚪ 數據不足,0.3,0.0,冠好,N/A,N/A,2025,🚀 利潤擴張
70.21000000000004,386.11,71.25,2026-03,22.56,2.76,-5.15,4905.TWO,315.9,68.4000015259,✅ 穩健價值,1.75,14.400000321242103,台聯電,0.20%,25.49%,2025,🚀 利潤擴張
69.89999999999999,121.74,0.0,2026-03,76.4,6.33,44.08,7828.TWO,51.84,2070.0,⚪ 數據不足,1.02,0.0,創新服務,N/A,N/A,2025,🚀 利潤擴張
68.69,127.27,22.95,2026-03,4.6,0.63,3.28,2889.TW,58.58,14.8000001907,💎 強力關注,0.25,9.673202739019608,國票金,38.94%,90.85%,2025,🏰 高護城河
67.19999999999999,107.35,257.1,2026-03,-4.63,7.13,24.43,4137.TW,40.15,108.0,💎 強力關注,1.41,6.301050175029172,麗豐-KY,20.98%,82.18%,2025,🏰 高護城河
64.48,175.0,-15.3,2026-03,-28.72,-0.38,-31.03,3632.TWO,110.52,7.9099998474,⚪ 數據不足,0.06,0.0,研勤,3.73%,54.59%,2025,🔄 轉虧為盈
63.99000000000001,106.9,0.0,2026-03,2.38,2.43,-24.06,6986.TWO,42.91,48.0,⚪ 數據不足,0.6,0.0,和迅,N/A,N/A,2025,🚀 利潤擴張
63.97,175.0,-38.1,2026-03,-7.78,-1.28,-184.44,4562.TW,111.03,33.2000007629,⚪ 數據不足,0.11,0.0,穎漢,-45.46%,31.44%,2025,🔄 轉虧為盈
63.5,62.5,-122.4,2026-03,-29.69,-3.51,-7120.0,3064.TWO,-1.0,20.0,⚪ 數據不足,-0.27,0.0,泰偉,-55.72%,93.22%,2025,🏰 高護城河
63.21000000000001,235.0,101.7,2026-03,12.14,2.64,17.33,6005.TW,171.79,37.7999992371,💎 強力關注,1.34,5.575221126415929,群益證,N/A,N/A,2025,🚀 利潤擴張
61.81999999999999,500.0,10.049999999999997,2026-03,19.69,0.58,152.25,1533.TW,438.18,35.7000007629,⚠️ 追價風險,0.84,53.28358322820897,車王電,N/A,N/A,2025,🚀 利潤擴張
61.76999999999998,600.0,22.5,2026-03,-4.85,0.74,34.55,1904.TW,538.23,21.25,✅ 穩健價值,0.56,14.166666666666666,正隆,7.12%,20.98%,2025,🚀 利潤擴張
56.41999999999999,206.45,113.85,2026-03,-4.59,2.52,-26.32,6208.TWO,150.03,97.3000030518,✅ 穩健價值,1.9,12.81949974332016,日揚,N/A,N/A,2025,🚀 利潤擴張
55.839999999999975,204.17,72.30000000000001,2026-03,-6.81,1.19,-36.9,4747.TWO,148.33,49.5,💎 強力關注,1.46,10.269709543568464,強生,N/A,N/A,2025,🚀 利潤擴張
55.43000000000001,244.44,-18.45,2026-03,2.65,-0.6,49.15,8040.TWO,189.01,107.0,⚪ 數據不足,0.13,0.0,九暘,N/A,N/A,2025,🔄 轉虧為盈
54.05000000000001,239.47,273.29999999999995,2026-03,-6.28,12.33,905.92,4123.TWO,185.42,37.2000007629,💎 強力關注,2.62,2.041712445823271,晟德,-106.23%,41.95%,2025,🚀 利潤擴張
52.519999999999996,-2.96,0.0,2026-03,-29.22,-3.92,-48.08,6934.TW,-55.48,66.0,⚪ 數據不足,-1.43,0.0,心誠鎂,N/A,N/A,2025,🌑 雙重衰退
51.74000000000001,147.37,252.6,2026-03,6.51,6.82,66.34,6574.TWO,95.63,109.5,💎 強力關注,3.29,6.502375296912114,霈方,N/A,N/A,2025,🚀 利潤擴張
47.56,139.49,0.0,2026-03,182.72,13.04,38.44,7711.TW,91.93,0.0,⚪ 數據不足,7.68,0.0,永擎,N/A,N/A,2025,🚀 利潤擴張
