advice,status,prev_eps_yoy,rev_yoy,prev_eps,expansion,prev_year,est_price,eps_yoy,gm,date,pe,name,price,symbol,eps,prev_rev_yoy,om
⚪ 數據不足,🚀 利潤擴張,11.37,12.42,13.61,25.689999999999998,2025,0.0,38.11,21.29%,2026-03,0.0,大東電,0.0,1623.TW,4.33,20.5,16.93%
💎 強力關注,🏰 高護城河,-1.08,62.36,2.74,20.689999999999998,2025,105.6,83.05,80.00%,2026-03,9.801136363636363,元大金,69.0,2885.TW,1.08,6.4,33.03%
✅ 穩健價值,🚀 利潤擴張,-66.0,25.49,0.85,19.960000000000004,2025,33.45,45.45,N/A,2026-03,13.654708862286995,中連,30.4500007629,5604.TWO,0.32,0.36,N/A
💎 強力關注,🚀 利潤擴張,-11.63,451.29,0.76,19.539999999999964,2025,24.599999999999998,470.83,N/A,2026-03,9.481707433353659,宏遠證,15.5500001907,6015.TWO,0.89,0.56,N/A
⚪ 數據不足,🚀 利潤擴張,-134.86,26.81,-0.61,18.900000000000002,2025,-30.900000000000002,45.71,N/A,2026-03,0.0,力新,11.8999996185,5202.TWO,-0.19,-8.35,N/A
💎 強力關注,🏰 高護城河,13.1,22.97,1.9,18.060000000000002,2025,70.8,41.03,97.25%,2026-03,9.163135593220339,華南金,43.25,2880.TW,0.55,4.06,45.93%
⚠️ 追價風險,🚀 利潤擴張,35.0,216.8,0.81,17.97999999999999,2025,9.75,234.78,31.93%,2026-03,171.53846153846152,博磊,111.5,3581.TWO,0.31,13.9,8.13%
💎 強力關注,🏰 高護城河,28.3,16.1,0.68,17.229999999999997,2025,25.200000000000003,33.33,89.95%,2026-03,7.08333310625,高雄銀,11.8999996185,2836.TW,0.2,14.52,32.37%
⚠️ 追價風險,🚀 利潤擴張,107.11,316.27,0.15,15.160000000000025,2025,11.999999999999998,331.43,N/A,2026-03,533.125,環宇-KY,426.5,4991.TWO,1.67,25.43,N/A
⚪ 數據不足,🧐 疑業外收益,14.12,-1.82,2.91,12.35,2025,0.0,10.53,N/A,2026-03,0.0,精誠金融,34.75,7819.TWO,0.42,10.14,N/A
💎 強力關注,🏰 高護城河,-10.99,22.04,1.74,12.0,2025,57.14999999999999,34.04,78.38%,2026-03,8.018372503175854,凱基金,30.5499992371,2883.TW,0.69,-12.26,39.14%
⚪ 數據不足,🚀 利潤擴張,-14.12,41.94,-2.92,10.350000000000001,2025,-109.2,52.29,N/A,2026-03,0.0,華安,30.6499996185,6657.TW,-0.53,-0.97,N/A
⚠️ 追價風險,🏰 高護城河,4.19,19.99,25.6,9.14,2025,947.7,29.13,100.00%,2026-03,40.756568534346314,力旺,2575.0,3529.TWO,7.98,6.74,60.64%
⚪ 數據不足,🔄 轉虧為盈,-53.57,274.7,-0.43,8.629999999999995,2025,-14.25,283.33,24.77%,2026-03,0.0,宏亞,24.8500003815,1236.TW,0.23,-8.31,-4.59%
⚪ 數據不足,🔄 轉虧為盈,-827.91,145.6,-3.35,7.890000000000015,2025,-89.10000000000001,153.49,27.77%,2026-03,0.0,岱宇,20.4500007629,1598.TW,0.25,-15.19,-13.99%
✅ 穩健價值,🚀 利潤擴張,24.93,48.18,4.66,7.82,2025,136.05,56.0,N/A,2026-03,7.045204137364939,全景軟體,63.9000015259,8272.TWO,0.39,15.86,N/A
⚠️ 追價風險,🏰 高護城河,-7.32,30.02,0.38,7.48,2025,13.5,37.5,84.77%,2026-03,26.99999915233333,欣欣,24.2999992371,2901.TW,0.11,-2.15,20.24%
⚪ 數據不足,🌑 雙重衰退,14.95,-11.29,-0.92,5.7299999999999995,2025,0.0,-5.56,N/A,2026-03,0.0,未知,0.0,4178.TWO,-0.19,-3.6,N/A
⚪ 數據不足,🌑 雙重衰退,14.95,-11.29,-0.92,5.7299999999999995,2025,0.0,-5.56,N/A,2026-03,0.0,永笙-KY,17.6499996185,4178.TW,-0.19,-3.6,N/A
✅ 穩健價值,🚀 利潤擴張,-38.13,109.17,0.99,5.1200000000000045,2025,63.6,114.29,N/A,2026-03,6.356132255400943,詩肯,26.9500007629,6195.TWO,1.5,-3.57,N/A
✅ 穩健價值,🏰 高護城河,0.85,12.57,2.36,4.100000000000001,2025,91.94999999999999,16.67,83.45%,2026-03,8.27079947192496,兆豐金,50.7000007629,2886.TW,0.63,-1.77,33.61%
⚠️ 追價風險,🏰 高護城河,41.18,12.87,0.25,3.8000000000000025,2025,7.35,16.67,73.82%,2026-03,72.24490107326531,聯傑,35.4000015259,3094.TW,0.07,13.2,-7.29%
⚪ 數據不足,🔄 轉虧為盈,-326.32,296.51,-0.43,3.490000000000009,2025,-22.2,300.0,N/A,2026-03,0.0,亞電,56.2999992371,4939.TWO,0.24,-8.05,N/A
⚪ 數據不足,🚀 利潤擴張,18.52,2.45,2.56,3.3499999999999996,2025,0.0,5.8,N/A,2026-03,0.0,達人網,45.75,7839.TWO,0.73,8.14,N/A
⚠️ 追價風險,🚀 利潤擴張,-16.92,32.83,0.58,3.0700000000000003,2025,12.149999999999999,35.9,N/A,2026-03,48.888887005061726,能率亞洲,39.5999984741,7777.TWO,-0.25,15.88,N/A
