gm,advice,pe,eps_yoy,eps,prev_eps,est_price,prev_rev_yoy,om,prev_eps_yoy,symbol,name,rev_yoy,status,price,date,prev_year,expansion
N/A,⚪ 數據不足,0.0,45.71,-0.19,-0.61,-30.900000000000002,-8.35,N/A,-134.86,5202.TWO,力新,26.81,🚀 利潤擴張,13.6499996185,2026-03,2025,18.900000000000002
97.25%,💎 強力關注,8.315677966101696,41.03,0.55,1.9,70.8,4.06,45.93%,13.1,2880.TW,華南金,22.97,🏰 高護城河,39.25,2026-03,2025,18.060000000000002
31.93%,⚠️ 追價風險,193.07692307692307,234.78,0.31,0.81,9.75,13.9,8.13%,35.0,3581.TWO,博磊,216.8,🚀 利潤擴張,125.5,2026-03,2025,17.97999999999999
89.95%,💎 強力關注,7.47023820875,33.33,0.2,0.68,25.200000000000003,14.52,32.37%,28.3,2836.TW,高雄銀,16.1,🏰 高護城河,12.5500001907,2026-03,2025,17.229999999999997
N/A,⚠️ 追價風險,521.25,331.43,1.67,0.15,11.999999999999998,25.43,N/A,107.11,4991.TWO,環宇-KY,316.27,🚀 利潤擴張,417.0,2026-03,2025,15.160000000000025
N/A,⚪ 數據不足,0.0,10.53,0.42,2.91,0.0,10.14,N/A,14.12,7819.TWO,精誠金融,-1.82,🧐 疑業外收益,37.6500015259,2026-03,2025,12.35
78.38%,💎 強力關注,7.742782152230972,34.04,0.69,1.74,57.14999999999999,-12.26,39.14%,-10.99,2883.TW,凱基金,22.04,🏰 高護城河,29.5,2026-03,2025,12.0
N/A,⚪ 數據不足,0.0,52.29,-0.53,-2.92,-109.2,-0.97,N/A,-14.12,6657.TW,華安,41.94,🚀 利潤擴張,33.5999984741,2026-03,2025,10.350000000000001
100.00%,⚠️ 追價風險,38.22412155745489,29.13,7.98,25.6,947.7,6.74,60.64%,4.19,3529.TWO,力旺,19.99,🏰 高護城河,2415.0,2026-03,2025,9.14
24.77%,⚪ 數據不足,0.0,283.33,0.23,-0.43,-14.25,-8.31,-4.59%,-53.57,1236.TW,宏亞,274.7,🔄 轉虧為盈,22.9500007629,2026-03,2025,8.629999999999995
27.77%,⚪ 數據不足,0.0,153.49,0.25,-3.35,-89.10000000000001,-15.19,-13.99%,-827.91,1598.TW,岱宇,145.6,🔄 轉虧為盈,19.25,2026-03,2025,7.890000000000015
N/A,✅ 穩健價值,7.530320071863286,56.0,0.39,4.66,136.05,15.86,N/A,24.93,8272.TWO,全景軟體,48.18,🚀 利潤擴張,68.3000030518,2026-03,2025,7.82
84.77%,⚠️ 追價風險,26.333334180999998,37.5,0.11,0.38,13.5,-2.15,20.24%,-7.32,2901.TW,欣欣,30.02,🏰 高護城河,23.7000007629,2026-03,2025,7.48
N/A,⚪ 數據不足,0.0,-5.56,-0.19,-0.92,0.0,-3.6,N/A,14.95,4178.TWO,未知,-11.29,🌑 雙重衰退,0.0,2026-03,2025,5.7299999999999995
N/A,⚪ 數據不足,0.0,-5.56,-0.19,-0.92,0.0,-3.6,N/A,14.95,4178.TW,永笙-KY,-11.29,🌑 雙重衰退,18.25,2026-03,2025,5.7299999999999995
N/A,✅ 穩健價值,6.2028300087499995,114.29,1.5,0.99,63.6,-3.57,N/A,-38.13,6195.TWO,詩肯,109.17,🚀 利潤擴張,26.2999992371,2026-03,2025,5.1200000000000045
83.45%,✅ 穩健價值,7.667210440456771,16.67,0.63,2.36,91.94999999999999,-1.77,33.61%,0.85,2886.TW,兆豐金,12.57,🏰 高護城河,47.0,2026-03,2025,4.100000000000001
73.82%,⚠️ 追價風險,75.10203925938777,16.67,0.07,0.25,7.35,13.2,-7.29%,41.18,3094.TW,聯傑,12.87,🏰 高護城河,36.7999992371,2026-03,2025,3.8000000000000025
