expansion,name,eps,gm,status,prev_year,symbol,om,prev_rev_yoy,est_price,eps_yoy,rev_yoy,date,pe,prev_eps_yoy,price,prev_eps,advice
125.85999999999999,山林水,2.55,N/A,🚀 利潤擴張,2025,8473.TW,N/A,62.88,105.44999999999999,177.17,51.31,2025-12,5.15647226173542,130.34,36.25,2.05,💎 強力關注
125.67999999999999,穩懋,4.0,31.80%,🧐 疑業外收益,2025,3105.TWO,13.87%,-13.87,69.75,120.99,-4.69,2025-12,105.91397849462365,-40.53,492.5,1.57,⚠️ 追價風險
122.4,安鈦克,0.92,N/A,🚀 利潤擴張,2025,6276.TWO,N/A,28.81,43.650000000000006,142.59,20.19,2025-12,10.996563573883162,128.33,32.0,0.66,💎 強力關注
119.85,瑞利,0.19,28.43%,🚀 利潤擴張,2025,1512.TW,-3.62%,2.64,3.75,127.94,8.09,2025-12,29.0799999236,111.76,7.2699999809,0.04,⚠️ 追價風險
117.96000000000001,綠意,1.86,32.97%,🚀 利潤擴張,2025,2596.TWO,26.41%,217.33,67.5,177.61,59.65,2025-12,6.488889058422222,425.0,29.2000007629,1.04,💎 強力關注
116.91,泰霖,0.12,N/A,🚀 利潤擴張,2025,8080.TWO,N/A,34.06,10.350000000000001,139.29,22.38,2025-12,40.94202898550724,190.91,28.25,0.2,⚠️ 追價風險
114.62,氣立,0.19,31.93%,🔄 轉虧為盈,2025,4555.TW,2.93%,8.77,0.6000000000000001,122.09,7.47,2025-12,997.5000381474998,97.22,39.9000015259,-0.02,⚠️ 追價風險
113.42999999999999,瑞築,-0.23,N/A,🧐 疑業外收益,2025,6198.TWO,N/A,-92.7,-7.5,23.33,-90.1,2025-12,0.0,55.56,21.3999996185,-0.12,⚪ 數據不足
113.31,中美實,0.88,35.38%,🧐 疑業外收益,2025,4702.TWO,-88.29%,-60.26,5.250000000000002,51.72,-61.59,2025-12,27.57142748142856,-14.81,9.6499996185,0.23,⚠️ 追價風險
112.57,威剛,23.18,48.37%,🚀 利潤擴張,2025,3260.TWO,35.36%,22.8,592.05,144.7,32.13,2025-12,11.147707119331137,19.56,440.0,10.08,💎 強力關注
109.96,千興,-0.18,-19.82%,🧐 疑業外收益,2025,2025.TW,14.50%,-15.81,-17.700000000000003,87.32,-22.64,2025-12,0.0,28.07,11.1499996185,-0.41,⚪ 數據不足
