     Stock       Name  Score    Close                          BuyReason
   2633.TW       台灣高鐵    2.0    27.25                              ADX轉強
 00715L.TW          ?    2.0    32.29                              ADX轉強
   1303.TW         南亞    2.0    89.50                              ADX轉強
  8038.TWO        長園科    2.0    43.80                    【營收爆發(643.82%)】
   8476.TW        台境*    2.0    19.65                    【營收爆發(126.49%)】
  8048.TWO         德勝    2.0    66.20                              ADX轉強
   3694.TW         海華    2.0    60.60                     【營收爆發(58.57%)】
   6672.TW    騰輝電子-KY    2.0    99.10                              ADX轉強
   6166.TW         凌華    2.0    64.00                     【營收爆發(58.39%)】
   6491.TW         晶碩    2.0   293.00                     【營收爆發(31.38%)】
00968B.TWO          ?    2.0     9.44                              ADX轉強
  3691.TWO         碩禾    2.0   135.00                    【營收爆發(195.71%)】
   6668.TW        中揚光    2.0    36.55                     【營收爆發(41.28%)】
   2478.TW         大毅    2.0    72.00                     【營收爆發(37.97%)】
   2867.TW        三商壽    2.0     8.22                              ADX轉強
   3266.TW         昇陽    2.0    14.10                    【營收爆發(222.03%)】
   2845.TW        遠東銀    2.0    12.70                              ADX轉強
  6419.TWO        京晨科    2.0    74.20                              ADX轉強
   4977.TW      眾達-KY    2.0   174.00                              ADX轉強
   5876.TW       上海商銀    2.0    39.50                              ADX轉強
   2543.TW         皇昌    2.0    67.50                     【營收爆發(34.97%)】
  3360.TWO         尚立    2.0    16.60                    【營收爆發(152.72%)】
  3260.TWO         威剛    2.0   291.50                    【營收爆發(198.92%)】
  5230.TWO      雷笛克光學    2.0    17.35                     【營收爆發(41.17%)】
  4931.TWO        新盛力    2.0   147.00                     【營收爆發(42.29%)】
   3013.TW        晟銘電    2.0   111.00                     【營收爆發(49.92%)】
   6805.TW        富世達    2.0  1745.00                    【營收爆發(115.76%)】
  00965.TW   元大航太防衛科技    2.0    26.51                              ADX轉強
   2308.TW        台達電    2.0  1425.00                     【營收爆發(32.87%)】
  6788.TWO        華景電    2.0   338.00                     【營收爆發(35.54%)】
   2883.TW        凱基金    2.0    21.15                              ADX轉強
   6526.TW         達發    2.0   552.00                              ADX轉強
   6235.TW         華孚    2.0    57.00                     【營收爆發(58.19%)】
   2383.TW        台光電    2.0  2380.00                     【營收爆發(55.49%)】
   3014.TW         聯陽    2.0   122.00                              ADX轉強
   2360.TW         致茂    2.0  1515.00                      【營收爆發(72.1%)】
