om,name,prev_rev_yoy,price,eps_yoy,rev_yoy,date,gm,prev_eps_yoy,status,prev_year,advice,pe,prev_eps,est_price,symbol,expansion,eps
3.61%,森寶,-54.34,22.1499996185,89.89,-69.84,2025-12,10.14%,23.53,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.13,-4.95,3489.TWO,159.73000000000002,-0.09
-21.47%,東台,-1.22,36.9500007629,150.56,-6.62,2025-12,7.66%,271.05,🧐 疑業外收益,2025,💎 強力關注,5.189606848721909,2.61,106.8,4526.TW,157.18,1.81
-22.27%,新鉅科,18.28,26.2999992371,173.02,19.21,2025-12,4.18%,219.44,🚀 利潤擴張,2025,💎 強力關注,4.332784058830313,2.19,91.05,3630.TWO,153.81,1.86
N/A,安格,-15.66,46.9500007629,137.2,-15.36,2025-12,N/A,203.85,🧐 疑業外收益,2025,💎 強力關注,3.711462510901185,3.24,189.75000000000003,6684.TWO,152.56,1.57
N/A,台新藥,-95.44,26.3999996185,58.65,-93.38,2025-12,N/A,77.78,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.24,-13.5,6838.TW,152.03,-0.55
81.17%,太景*-KY,-79.84,9.2299995422,220.0,72.24,2025-12,98.33%,-1000.0,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-0.22,-5.8500000000000005,4157.TWO,147.76,0.06
22.84%,海灣,-4.86,18.8999996185,141.94,-3.71,2025-12,43.11%,54.55,🔄 轉虧為盈,2025,⚠️ 追價風險,118.124997615625,-0.1,2.4,3252.TWO,145.65,0.13
1.68%,精確,89.71,88.1999969482,209.26,65.48,2025-12,11.59%,292.31,🚀 利潤擴張,2025,⚪ 中性觀察,19.731542941431762,1.25,67.05000000000001,3162.TWO,143.77999999999997,1.7
-0.68%,TPK-KY,-8.66,60.5999984741,133.62,-8.77,2025-12,5.83%,55.15,🧐 疑業外收益,2025,💎 強力關注,8.48739474427171,2.56,107.1,3673.TW,142.39000000000001,2.71
N/A,中湛,-18.24,19.0499992371,119.51,-20.68,2025-12,N/A,111.11,🧐 疑業外收益,2025,⚠️ 追價風險,70.55555272999999,0.05,4.050000000000001,6236.TWO,140.19,0.08
N/A,天擎,48.16,41.7000007629,180.65,42.33,2025-12,N/A,119.23,🚀 利潤擴張,2025,⚠️ 追價風險,96.97674596023256,0.05,6.449999999999999,6708.TWO,138.32,0.25
N/A,立凱-KY,-19.06,21.0499992371,104.91,-32.24,2025-12,N/A,199.67,🧐 疑業外收益,2025,⚠️ 追價風險,33.41269720174601,2.99,9.450000000000005,5227.TWO,137.15,0.17
N/A,點序,14.7,84.9000015259,152.21,16.84,2025-12,N/A,70.64,🔄 轉虧為盈,2025,⚠️ 追價風險,67.38095359198412,-0.32,18.9,6485.TWO,135.37,0.71
39.15%,南亞科,32.43,321.0,229.88,95.09,2025-12,49.05%,-28.32,🔄 轉虧為盈,2025,⚪ 數據不足,0.0,-1.45,-28.5,2408.TW,134.79,2.13
5.14%,鑫聯大投控,55.41,82.0,178.19,44.32,2025-12,8.09%,167.46,🚀 利潤擴張,2025,💎 強力關注,5.985401459854014,3.61,205.50000000000003,3709.TWO,133.87,7.11
-223.66%,德晉,-68.41,39.0499992371,58.98,-72.48,2025-12,-8.98%,65.77,🧐 疑業外收益,2025,⚪ 數據不足,0.0,-0.81,-57.45,3466.TWO,131.46,-1.11
