status,symbol,om,advice,prev_year,date,prev_eps,rev_yoy,prev_rev_yoy,eps_yoy,pe,est_price,prev_eps_yoy,eps,gm,name,price,expansion
🚀 利潤擴張,6276.TWO,N/A,💎 強力關注,2025,2025-12,0.66,20.19,28.81,142.59,9.74226817233677,43.650000000000006,128.33,0.92,N/A,安鈦克,28.3500003815,122.4
🚀 利潤擴張,1512.TW,-3.62%,⚠️ 追價風險,2025,2025-12,0.04,8.09,2.64,127.94,28.3999996184,3.75,111.76,0.19,28.43%,瑞利,7.0999999046,119.85
🚀 利潤擴張,2596.TWO,26.41%,💎 強力關注,2025,2025-12,1.04,59.65,217.33,177.61,6.388888888888889,67.5,425.0,1.86,32.97%,綠意,28.75,117.96000000000001
🚀 利潤擴張,8080.TWO,N/A,⚠️ 追價風險,2025,2025-12,0.2,22.38,34.06,139.29,39.56521628565217,10.350000000000001,190.91,0.12,N/A,泰霖,27.2999992371,116.91
🔄 轉虧為盈,4555.TW,2.93%,⚠️ 追價風險,2025,2025-12,-0.02,7.47,8.77,122.09,1060.0000381475,0.6000000000000001,97.22,0.19,31.93%,氣立,42.4000015259,114.62
🧐 疑業外收益,6198.TWO,N/A,⚪ 數據不足,2025,2025-12,-0.12,-90.1,-92.7,23.33,0.0,-7.5,55.56,-0.23,N/A,瑞築,22.2999992371,113.42999999999999
🧐 疑業外收益,4702.TWO,-88.29%,⚠️ 追價風險,2025,2025-12,0.23,-61.59,-60.26,51.72,27.59999956399999,5.250000000000002,-14.81,0.88,35.38%,中美實,9.6599998474,113.31
🚀 利潤擴張,3260.TWO,35.36%,💎 強力關注,2025,2025-12,10.08,32.13,22.8,144.7,10.273625538383582,592.05,19.56,23.18,48.37%,威剛,405.5,112.57
🧐 疑業外收益,2025.TW,14.50%,⚪ 數據不足,2025,2025-12,-0.41,-22.64,-15.81,87.32,0.0,-17.700000000000003,28.07,-0.18,-19.82%,千興,11.6499996185,109.96
🧐 疑業外收益,8455.TWO,N/A,⚪ 數據不足,2025,2025-12,0.02,-6.4,-7.04,102.7,0.0,-4.95,104.35,0.02,N/A,大拓-KY,43.6500015259,109.10000000000001
🔄 轉虧為盈,9955.TW,N/A,⚪ 數據不足,2025,2025-12,-0.37,26.06,17.8,134.62,0.0,-5.399999999999999,50.67,0.54,N/A,佳龍,27.75,108.56
🚀 利潤擴張,4967.TW,N/A,✅ 穩健價值,2025,2025-12,3.47,2.46,-15.55,110.31,13.994638069705092,279.75000000000006,-46.86,13.06,N/A,十銓,261.0,107.85000000000001
🧐 疑業外收益,8477.TWO,N/A,⚪ 數據不足,2025,2025-12,-0.62,-52.73,-51.54,53.77,0.0,-38.4,80.0,-0.92,N/A,創業家,15.3999996185,106.5
🚀 利潤擴張,2501.TW,17.13%,💎 強力關注,2025,2025-12,1.91,1.8,7.39,108.09,3.545309894610493,94.35,127.38,2.83,26.51%,國建,22.2999992371,106.29
