advice,est_price,rev_yoy,eps,om,prev_eps,prev_year,date,prev_eps_yoy,prev_rev_yoy,status,gm,symbol,price,eps_yoy,expansion,pe,name
⚪ 數據不足,0.0,42.91,0.6,N/A,2.43,2025,2026-03,-24.06,2.38,🚀 利潤擴張,N/A,6986.TWO,50.5999984741,106.9,63.99000000000001,0.0,和迅
⚪ 數據不足,-38.1,111.03,0.11,-45.46%,-1.28,2025,2026-03,-184.44,-7.78,🔄 轉虧為盈,31.44%,4562.TW,36.6500015259,175.0,63.97,0.0,穎漢
⚪ 數據不足,-122.4,-1.0,-0.27,-55.72%,-3.51,2025,2026-03,-7120.0,-29.69,🏰 高護城河,93.22%,3064.TWO,19.7000007629,62.5,63.5,0.0,泰偉
💎 強力關注,101.7,171.79,1.34,N/A,2.64,2025,2026-03,17.33,12.14,🚀 利潤擴張,N/A,6005.TW,38.1500015259,235.0,63.21000000000001,5.6268438828761065,群益證
⚠️ 追價風險,10.049999999999997,438.18,0.84,N/A,0.58,2025,2026-03,152.25,19.69,🚀 利潤擴張,N/A,1533.TW,37.5,500.0,61.81999999999999,55.97014925373136,車王電
✅ 穩健價值,22.5,538.23,0.56,7.12%,0.74,2025,2026-03,34.55,-4.85,🚀 利潤擴張,20.98%,1904.TW,23.2000007629,600.0,61.76999999999998,15.466667175266666,正隆
✅ 穩健價值,113.85,150.03,1.9,N/A,2.52,2025,2026-03,-26.32,-4.59,🚀 利潤擴張,N/A,6208.TWO,96.8000030518,206.45,56.41999999999999,12.753623590487484,日揚
💎 強力關注,72.30000000000001,148.33,1.46,N/A,1.19,2025,2026-03,-36.9,-6.81,🚀 利潤擴張,N/A,4747.TWO,50.2000007629,204.17,55.839999999999975,10.414937917614106,強生
⚪ 數據不足,-18.45,189.01,0.13,N/A,-0.6,2025,2026-03,49.15,2.65,🔄 轉虧為盈,N/A,8040.TWO,102.5,244.44,55.43000000000001,0.0,九暘
💎 強力關注,273.29999999999995,185.42,2.62,-106.23%,12.33,2025,2026-03,905.92,-6.28,🚀 利潤擴張,41.95%,4123.TWO,39.6500015259,239.47,54.05000000000001,2.176180105702525,晟德
⚪ 數據不足,0.0,-55.48,-1.43,N/A,-3.92,2025,2026-03,-48.08,-29.22,🌑 雙重衰退,N/A,6934.TW,69.5,-2.96,52.519999999999996,0.0,心誠鎂
💎 強力關注,252.6,95.63,3.29,N/A,6.82,2025,2026-03,66.34,6.51,🚀 利潤擴張,N/A,6574.TWO,122.0,147.37,51.74000000000001,7.244655581947743,霈方
⚪ 數據不足,0.0,91.93,7.68,N/A,13.04,2025,2026-03,38.44,182.72,🚀 利潤擴張,N/A,7711.TW,0.0,139.49,47.56,0.0,永擎
✅ 穩健價值,31.8,359.48,1.01,N/A,1.5,2025,2026-03,-36.17,23.54,🚀 利潤擴張,N/A,3287.TWO,33.2999992371,406.06,46.579999999999984,15.70754680995283,廣寰科
💎 強力關注,146.54999999999998,66.65,0.03,N/A,5.29,2025,2026-03,544.54,-17.0,🚀 利潤擴張,N/A,9949.TWO,26.7999992371,112.5,45.849999999999994,2.743091017103378,琉園
💎 強力關注,172.35,15.93,0.46,N/A,4.85,2025,2026-03,31.64,108.17,🚀 利潤擴張,N/A,6620.TWO,102.5,55.17,39.24,8.920800696257615,漢達
⚪ 數據不足,-30.6,264.14,0.08,-8.17%,0.12,2025,2026-03,-93.75,-40.0,🚀 利潤擴張,20.64%,2388.TW,71.1999969482,300.0,35.860000000000014,0.0,威盛
✅ 穩健價值,81.9,156.04,1.19,14.95%,2.15,2025,2026-03,-5.7,1.24,🏰 高護城河,50.66%,3556.TWO,72.3000030518,190.24,34.20000000000002,13.24175880069597,禾瑞亞
⚪ 數據不足,0.0,10.24,0.87,N/A,2.99,2025,2026-03,91.67,19.28,🚀 利潤擴張,N/A,7821.TW,42.1500015259,42.62,32.379999999999995,0.0,神數
⚪ 數據不足,0.0,6.33,11.94,30.89%,7.56,2025,2025-12,-17.2,15.19,🚀 利潤擴張,35.24%,2072.TWO,0.0,34.92,28.590000000000003,0.0,未知
⚪ 數據不足,-70.05,-3.86,-0.36,N/A,-1.89,2025,2026-03,-13.21,-5.58,🧐 疑業外收益,N/A,6794.TW,82.5999984741,23.4,27.259999999999998,0.0,向榮生技
⚪ 數據不足,-28.950000000000003,422.96,0.11,1.90%,-0.45,2025,2026-03,-197.83,2.23,🔄 轉虧為盈,23.39%,1467.TW,9.7100000381,450.0,27.04000000000002,0.0,南緯
⚪ 數據不足,0.0,16.63,1.62,N/A,3.24,2025,2026-03,-27.83,3.08,🚀 利潤擴張,N/A,7768.TW,362.0,42.86,26.23,0.0,頌勝科技
⚪ 數據不足,0.0,16.63,1.62,N/A,3.24,2025,2026-03,-27.83,3.08,🚀 利潤擴張,N/A,7768.TWO,0.0,42.86,26.23,0.0,未知
⚪ 數據不足,0.0,12.42,4.33,16.93%,13.61,2025,2026-03,11.37,20.5,🚀 利潤擴張,21.29%,1623.TW,0.0,38.11,25.689999999999998,0.0,大東電
💎 強力關注,105.6,62.36,1.08,33.03%,2.74,2025,2026-03,-1.08,6.4,🏰 高護城河,80.00%,2885.TW,67.1999969482,83.05,20.689999999999998,9.545454111960227,元大金
✅ 穩健價值,33.45,25.49,0.32,N/A,0.85,2025,2026-03,-66.0,0.36,🚀 利潤擴張,N/A,5604.TWO,31.0,45.45,19.960000000000004,13.90134529147982,中連
💎 強力關注,24.599999999999998,451.29,0.89,N/A,0.76,2025,2026-03,-11.63,0.56,🚀 利潤擴張,N/A,6015.TWO,17.8500003815,470.83,19.539999999999964,10.884146574085365,宏遠證
⚪ 數據不足,-30.900000000000002,26.81,-0.19,N/A,-0.61,2025,2026-03,-134.86,-8.35,🚀 利潤擴張,N/A,5202.TWO,15.3500003815,45.71,18.900000000000002,0.0,力新
💎 強力關注,70.8,22.97,0.55,45.93%,1.9,2025,2026-03,13.1,4.06,🏰 高護城河,97.25%,2880.TW,37.6500015259,41.03,18.060000000000002,7.976695238538136,華南金
⚠️ 追價風險,9.75,216.8,0.31,8.13%,0.81,2025,2026-03,35.0,13.9,🚀 利潤擴張,31.93%,3581.TWO,143.5,234.78,17.97999999999999,220.76923076923077,博磊
💎 強力關注,25.200000000000003,16.1,0.2,32.37%,0.68,2025,2026-03,28.3,14.52,🏰 高護城河,89.95%,2836.TW,12.4499998093,33.33,17.229999999999997,7.41071417220238,高雄銀
⚠️ 追價風險,11.999999999999998,316.27,1.67,N/A,0.15,2025,2026-03,107.11,25.43,🚀 利潤擴張,N/A,4991.TWO,578.0,331.43,15.160000000000025,722.5000000000001,環宇-KY
⚪ 數據不足,0.0,-1.82,0.42,N/A,2.91,2025,2026-03,14.12,10.14,🧐 疑業外收益,N/A,7819.TWO,39.0,10.53,12.35,0.0,精誠金融
💎 強力關注,57.14999999999999,22.04,0.69,39.14%,1.74,2025,2026-03,-10.99,-12.26,🏰 高護城河,78.38%,2883.TW,28.4500007629,34.04,12.0,7.4671918012860905,凱基金
⚪ 數據不足,-109.2,41.94,-0.53,N/A,-2.92,2025,2026-03,-14.12,-0.97,🚀 利潤擴張,N/A,6657.TW,37.1500015259,52.29,10.350000000000001,0.0,華安
