expansion,prev_eps,est_price,gm,symbol,advice,rev_yoy,date,name,price,prev_rev_yoy,prev_year,eps,status,prev_eps_yoy,pe,om,eps_yoy
102.95,1.55,79.8,N/A,6150.TWO,💎 強力關注,61.2,2025-12,撼訊,61.7999992371,77.79,2025,2.63,🚀 利潤擴張,156.36,11.616541209981206,N/A,164.15
101.99,0.09,19.2,10.44%,2465.TW,⚠️ 追價風險,5.42,2025-12,麗臺,75.9000015259,32.51,2025,0.43,🚀 利潤擴張,102.43,59.29687619210937,2.26%,107.41
98.16,0.34,19.05,40.82%,2926.TWO,⚠️ 追價風險,1.84,2025-12,誠品生活,35.0999984741,2.58,2025,0.54,🚀 利潤擴張,241.67,27.637794074094487,-1.48%,100.0
97.42,1.32,65.7,19.55%,1541.TW,💎 強力關注,21.45,2025-12,錩泰,20.5499992371,28.08,2025,2.32,🚀 利潤擴張,41.94,4.691780647739726,7.07%,118.87
96.7,0.47,29.099999999999998,24.41%,2380.TW,💎 強力關注,13.61,2025-12,虹光,5.8499999046,9.38,2025,0.72,🚀 利潤擴張,133.57,3.0154638683505155,0.24%,110.31
96.47999999999999,0.09,-7.0500000000000025,N/A,4971.TWO,⚪ 數據不足,50.49,2025-12,IET-KY,518.0,54.63,2025,1.65,🚀 利潤擴張,103.17,0.0,N/A,146.97
96.02000000000001,0.34,-7.35,N/A,5516.TWO,⚪ 數據不足,8.41,2025-12,雙喜,10.9499998093,7.31,2025,0.16,🚀 利潤擴張,116.43,0.0,N/A,104.43
95.32,0.37,10.65,12.43%,3363.TWO,⚠️ 追價風險,38.72,2025-12,上詮,728.0,49.52,2025,0.16,🚀 利潤擴張,317.65,1025.3521126760563,-9.15%,134.04
95.30000000000001,10.13,520.3499999999999,N/A,6739.TWO,⚠️ 追價風險,96.69,2025-12,竹陞科技,1100.0,94.38,2025,16.13,🚀 利潤擴張,167.2,31.709426347650624,N/A,191.99
94.49000000000001,0.13,4.65,N/A,6125.TWO,⚠️ 追價風險,23.69,2025-12,廣運,59.9000015259,15.42,2025,0.1,🚀 利潤擴張,123.21,193.22581137387098,N/A,118.18
