=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
3481.TW    | bias_reversion |   47.6% |    0.60% | 觀望
6841.TWO   |   rebound    |   33.3% |   -0.68% | 觀望
2067.TWO   | bias_reversion |   37.0% |   -0.17% | 觀望
2409.TW    | short_swing  |   47.1% |    0.59% | ⏱️ 短線撤退
3236.TWO   | bias_reversion |   53.5% |    0.39% | 觀望
3289.TWO   |   rebound    |   52.7% |    0.80% | 觀望
0050.TW    | short_swing  |   55.9% |    0.25% | ⏱️ 短線撤退
3710.TWO   |   rebound    |   46.4% |    0.40% | 觀望
4526.TW    |   rebound    |   39.5% |    0.31% | 觀望
3090.TW    | bias_reversion |   53.9% |    0.80% | 觀望
5309.TWO   | short_swing  |   42.6% |    0.27% | ⏱️ 短線撤退
6719.TW    | bias_reversion |   52.6% |   -0.55% | 觀望
