eps_yoy,prev_rev_yoy,rev_yoy,status,prev_eps,prev_eps_yoy,symbol,date,price,prev_year,name,pe,om,eps,expansion,advice,est_price,gm
600.0,-4.85,538.23,🚀 利潤擴張,0.74,34.55,1904.TW,2026-03,22.2999992371,2025,正隆,14.866666158066666,7.12%,0.56,61.76999999999998,✅ 穩健價值,22.5,20.98%
206.45,-4.59,150.03,🚀 利潤擴張,2.52,-26.32,6208.TWO,2026-03,88.4000015259,2025,日揚,11.646904021857708,N/A,1.9,56.41999999999999,💎 強力關注,113.85,N/A
204.17,-6.81,148.33,🚀 利潤擴張,1.19,-36.9,4747.TWO,2026-03,49.0,2025,強生,10.16597510373444,N/A,1.46,55.839999999999975,💎 強力關注,72.30000000000001,N/A
244.44,2.65,189.01,🔄 轉虧為盈,-0.6,49.15,8040.TWO,2026-03,85.5999984741,2025,九暘,0.0,N/A,0.13,55.43000000000001,⚪ 數據不足,-18.45,N/A
239.47,-6.28,185.42,🚀 利潤擴張,12.33,905.92,4123.TWO,2026-03,38.0499992371,2025,晟德,2.0883643928155875,-106.23%,2.62,54.05000000000001,💎 強力關注,273.29999999999995,41.95%
-2.96,-29.22,-55.48,🌑 雙重衰退,-3.92,-48.08,6934.TW,2026-03,81.5,2025,心誠鎂,0.0,N/A,-1.43,52.519999999999996,⚪ 數據不足,0.0,N/A
147.37,6.51,95.63,🚀 利潤擴張,6.82,66.34,6574.TWO,2026-03,131.0,2025,霈方,7.779097387173397,N/A,3.29,51.74000000000001,💎 強力關注,252.6,N/A
139.49,182.72,91.93,🚀 利潤擴張,13.04,38.44,7711.TW,2026-03,0.0,2025,永擎,0.0,N/A,7.68,47.56,⚪ 數據不足,0.0,N/A
406.06,23.54,359.48,🚀 利潤擴張,1.5,-36.17,3287.TWO,2026-03,29.8999996185,2025,廣寰科,14.10377340495283,N/A,1.01,46.579999999999984,✅ 穩健價值,31.8,N/A
112.5,-17.0,66.65,🚀 利潤擴張,5.29,544.54,9949.TWO,2026-03,25.75,2025,琉園,2.635619242579325,N/A,0.03,45.849999999999994,💎 強力關注,146.54999999999998,N/A
55.17,108.17,15.93,🚀 利潤擴張,4.85,31.64,6620.TWO,2026-03,87.1999969482,2025,漢達,7.5892077413577015,N/A,0.46,39.24,💎 強力關注,172.35,N/A
300.0,-40.0,264.14,🚀 利潤擴張,0.12,-93.75,2388.TW,2026-03,75.8000030518,2025,威盛,0.0,-8.17%,0.08,35.860000000000014,⚪ 數據不足,-30.6,20.64%
190.24,1.24,156.04,🏰 高護城河,2.15,-5.7,3556.TWO,2026-03,68.6999969482,2025,禾瑞亞,12.582417023479852,14.95%,1.19,34.20000000000002,✅ 穩健價值,81.9,50.66%
42.62,19.28,10.24,🚀 利潤擴張,2.99,91.67,7821.TW,2026-03,40.7999992371,2025,神數,0.0,N/A,0.87,32.379999999999995,⚪ 數據不足,0.0,N/A
